Datetime Slot,Actual Datetime,Device ID,Base Station,Volumetric Water Content
2019-12-25 00:00:00-06:00,2019-12-25 00:00:01-06:00,3DE430,66ED,0.3774866
2019-12-25 00:00:00-06:00,2019-12-25 00:04:51-06:00,3DF628,66ED,0.3833051
2019-12-25 00:00:00-06:00,2019-12-25 00:07:47-06:00,3DF58A,66ED,0.3568503
2019-12-25 00:00:00-06:00,2019-12-25 00:08:34-06:00,3DFF73,66ED,0.3751204
2019-12-25 00:00:00-06:00,2019-12-25 00:10:05-06:00,3DF593,66ED,0.3625912
2019-12-25 00:00:00-06:00,2019-12-25 00:11:23-06:00,3DFFF0,66ED,0.3689140
2019-12-25 00:00:00-06:00,2019-12-25 00:12:34-06:00,3DFF9A,66ED,0.3662375
2019-12-25 00:00:00-06:00,2019-12-25 00:12:53-06:00,3DFF5B,66ED,0.3690691
2019-12-25 00:00:00-06:00,2019-12-25 00:18:23-06:00,3DF5FF,66ED,0.3715905
2019-12-25 00:00:00-06:00,2019-12-25 00:27:10-06:00,3DF58B,66ED,0.3447866
2019-12-25 00:00:00-06:00,2019-12-25 00:29:04-06:00,3DE868,66ED,0.3380371
2019-12-25 00:30:00-06:00,2019-12-25 00:30:05-06:00,3DE430,66ED,0.3776029
2019-12-25 00:30:00-06:00,2019-12-25 00:34:55-06:00,3DF628,66ED,0.3831499
2019-12-25 00:30:00-06:00,2019-12-25 00:36:06-06:00,3DE9BB,66ED,0.3891236
2019-12-25 00:30:00-06:00,2019-12-25 00:37:50-06:00,3DF58A,66ED,0.3565012
2019-12-25 00:30:00-06:00,2019-12-25 00:38:30-06:00,3DF675,66ED,0.3758186
2019-12-25 00:30:00-06:00,2019-12-25 00:38:38-06:00,3DFF73,66ED,0.3751592
2019-12-25 00:30:00-06:00,2019-12-25 00:40:09-06:00,3DF593,66ED,0.3626688
2019-12-25 00:30:00-06:00,2019-12-25 00:41:27-06:00,3DFFF0,66ED,0.3689528
2019-12-25 00:30:00-06:00,2019-12-25 00:42:38-06:00,3DFF9A,66ED,0.3660435
2019-12-25 00:30:00-06:00,2019-12-25 00:42:56-06:00,3DFF5B,66ED,0.3691467
2019-12-25 00:30:00-06:00,2019-12-25 00:59:07-06:00,3DE868,66ED,0.3380759
2019-12-25 01:00:00-06:00,2019-12-25 01:00:09-06:00,3DE430,66ED,0.3775641
2019-12-25 01:00:00-06:00,2019-12-25 01:07:54-06:00,3DF58A,66ED,0.3565787
2019-12-25 01:00:00-06:00,2019-12-25 01:08:34-06:00,3DF675,66ED,0.3752367
2019-12-25 01:00:00-06:00,2019-12-25 01:08:41-06:00,3DFF73,66ED,0.3750816
2019-12-25 01:00:00-06:00,2019-12-25 01:10:12-06:00,3DF593,66ED,0.3626300
2019-12-25 01:00:00-06:00,2019-12-25 01:12:42-06:00,3DFF9A,66ED,0.3661211
2019-12-25 01:00:00-06:00,2019-12-25 01:13:01-06:00,3DFF5B,66ED,0.3693019
2019-12-25 01:00:00-06:00,2019-12-25 01:18:30-06:00,3DF5FF,66ED,0.3716293
2019-12-25 01:00:00-06:00,2019-12-25 01:23:39-06:00,3DE9B7,66ED,0.3580916
2019-12-25 01:00:00-06:00,2019-12-25 01:29:11-06:00,3DE868,66ED,0.3380371
2019-12-25 01:30:00-06:00,2019-12-25 01:30:13-06:00,3DE430,66ED,0.3773314
2019-12-25 01:30:00-06:00,2019-12-25 01:36:14-06:00,3DE9BB,66ED,0.3893563
2019-12-25 01:30:00-06:00,2019-12-25 01:37:58-06:00,3DF58A,66ED,0.3570830
2019-12-25 01:30:00-06:00,2019-12-25 01:38:38-06:00,3DF675,66ED,0.3754307
2019-12-25 01:30:00-06:00,2019-12-25 01:38:45-06:00,3DFF73,66ED,0.3754695
2019-12-25 01:30:00-06:00,2019-12-25 01:40:16-06:00,3DF593,66ED,0.3626300
2019-12-25 01:30:00-06:00,2019-12-25 01:41:34-06:00,3DFFF0,66ED,0.3689140
2019-12-25 01:30:00-06:00,2019-12-25 01:42:46-06:00,3DFF9A,66ED,0.3661987
2019-12-25 01:30:00-06:00,2019-12-25 01:43:04-06:00,3DFF5B,66ED,0.3692631
2019-12-25 01:30:00-06:00,2019-12-25 01:48:34-06:00,3DF5FF,66ED,0.3711638
2019-12-25 01:30:00-06:00,2019-12-25 01:59:15-06:00,3DE868,66ED,0.3380371
2019-12-25 02:00:00-06:00,2019-12-25 02:00:16-06:00,3DE430,66ED,0.3774090
2019-12-25 02:00:00-06:00,2019-12-25 02:06:19-06:00,3DE9BB,66ED,0.3891236
2019-12-25 02:00:00-06:00,2019-12-25 02:08:02-06:00,3DF58A,66ED,0.3568115
2019-12-25 02:00:00-06:00,2019-12-25 02:08:41-06:00,3DF675,66ED,0.3753919
2019-12-25 02:00:00-06:00,2019-12-25 02:08:49-06:00,3DFF73,66ED,0.3750040
2019-12-25 02:00:00-06:00,2019-12-25 02:10:20-06:00,3DF593,66ED,0.3625912
2019-12-25 02:00:00-06:00,2019-12-25 02:11:39-06:00,3DFFF0,66ED,0.3689528
2019-12-25 02:00:00-06:00,2019-12-25 02:12:50-06:00,3DFF9A,66ED,0.3660047
2019-12-25 02:00:00-06:00,2019-12-25 02:13:08-06:00,3DFF5B,66ED,0.3692243
2019-12-25 02:00:00-06:00,2019-12-25 02:29:19-06:00,3DE868,66ED,0.3381923
2019-12-25 02:30:00-06:00,2019-12-25 02:30:20-06:00,3DE430,66ED,0.3776805
2019-12-25 02:30:00-06:00,2019-12-25 02:30:39-06:00,3E0442,66ED,0.3764004
2019-12-25 02:30:00-06:00,2019-12-25 02:35:10-06:00,3DF628,66ED,0.3833051
2019-12-25 02:30:00-06:00,2019-12-25 02:36:22-06:00,3DE9BB,66ED,0.3888520
2019-12-25 02:30:00-06:00,2019-12-25 02:38:07-06:00,3DF58A,66ED,0.3565787
2019-12-25 02:30:00-06:00,2019-12-25 02:38:54-06:00,3DFF73,66ED,0.3752367
2019-12-25 02:30:00-06:00,2019-12-25 02:40:24-06:00,3DF593,66ED,0.3625912
2019-12-25 02:30:00-06:00,2019-12-25 02:41:42-06:00,3DFFF0,66ED,0.3689916
2019-12-25 02:30:00-06:00,2019-12-25 02:42:53-06:00,3DFF9A,66ED,0.3667417
2019-12-25 02:30:00-06:00,2019-12-25 02:43:12-06:00,3DFF5B,66ED,0.3691855
2019-12-25 02:30:00-06:00,2019-12-25 02:48:42-06:00,3DF5FF,66ED,0.3715905
2019-12-25 02:30:00-06:00,2019-12-25 02:53:50-06:00,3DE9B7,66ED,0.3573933
2019-12-25 02:30:00-06:00,2019-12-25 02:57:29-06:00,3DF58B,66ED,0.3453684
2019-12-25 02:30:00-06:00,2019-12-25 02:59:23-06:00,3DE868,66ED,0.3380759
2019-12-25 03:00:00-06:00,2019-12-25 03:00:24-06:00,3DE430,66ED,0.3773314
2019-12-25 03:00:00-06:00,2019-12-25 03:00:44-06:00,3E0442,66ED,0.3762841
2019-12-25 03:00:00-06:00,2019-12-25 03:06:25-06:00,3DE9BB,66ED,0.3892787
2019-12-25 03:00:00-06:00,2019-12-25 03:08:10-06:00,3DF58A,66ED,0.3564236
2019-12-25 03:00:00-06:00,2019-12-25 03:08:49-06:00,3DF675,66ED,0.3751204
2019-12-25 03:00:00-06:00,2019-12-25 03:08:57-06:00,3DFF73,66ED,0.3750428
2019-12-25 03:00:00-06:00,2019-12-25 03:10:28-06:00,3DF593,66ED,0.3624748
2019-12-25 03:00:00-06:00,2019-12-25 03:11:46-06:00,3DFFF0,66ED,0.3687588
2019-12-25 03:00:00-06:00,2019-12-25 03:12:57-06:00,3DFF9A,66ED,0.3658884
2019-12-25 03:00:00-06:00,2019-12-25 03:13:16-06:00,3DFF5B,66ED,0.3691467
2019-12-25 03:00:00-06:00,2019-12-25 03:18:45-06:00,3DF5FF,66ED,0.3710862
2019-12-25 03:00:00-06:00,2019-12-25 03:23:53-06:00,3DE9B7,66ED,0.3575873
2019-12-25 03:00:00-06:00,2019-12-25 03:29:26-06:00,3DE868,66ED,0.3380371
2019-12-25 03:30:00-06:00,2019-12-25 03:30:28-06:00,3DE430,66ED,0.3774866
2019-12-25 03:30:00-06:00,2019-12-25 03:35:17-06:00,3DF628,66ED,0.3831887
2019-12-25 03:30:00-06:00,2019-12-25 03:36:28-06:00,3DE9BB,66ED,0.3897442
2019-12-25 03:30:00-06:00,2019-12-25 03:38:13-06:00,3DF58A,66ED,0.3569279
2019-12-25 03:30:00-06:00,2019-12-25 03:38:53-06:00,3DF675,66ED,0.3756634
2019-12-25 03:30:00-06:00,2019-12-25 03:39:00-06:00,3DFF73,66ED,0.3752755
2019-12-25 03:30:00-06:00,2019-12-25 03:40:32-06:00,3DF593,66ED,0.3625524
2019-12-25 03:30:00-06:00,2019-12-25 03:41:49-06:00,3DFFF0,66ED,0.3689916
2019-12-25 03:30:00-06:00,2019-12-25 03:43:01-06:00,3DFF9A,66ED,0.3661211
2019-12-25 03:30:00-06:00,2019-12-25 03:43:19-06:00,3DFF5B,66ED,0.3691467
2019-12-25 03:30:00-06:00,2019-12-25 03:48:49-06:00,3DF5FF,66ED,0.3709311
2019-12-25 03:30:00-06:00,2019-12-25 03:53:57-06:00,3DE9B7,66ED,0.3577037
2019-12-25 03:30:00-06:00,2019-12-25 03:59:30-06:00,3DE868,66ED,0.3380371
2019-12-25 04:00:00-06:00,2019-12-25 04:00:33-06:00,3DE430,66ED,0.3772150
2019-12-25 04:00:00-06:00,2019-12-25 04:00:50-06:00,3E045F,66ED,0.3904424
2019-12-25 04:00:00-06:00,2019-12-25 04:05:20-06:00,3DF628,66ED,0.3834602
