FID,ID,Lat,Long,POINT_X,POINT_Y,TWI,TPI,Slope,ProfCurv,PlnCurv,DEM,05022020,06192020,07052020,08062020,08222020,09072020,10092020,05052021,06222021,08252021,09102021,09262021,05162022,06092022,06172022,07032022,07192022,09212022,09292022,10232022,10152022,05032023,05112023,05272023,06042023,06202023,07142023,07222023,07302023,08232023,08312023
0,3DE430,41.85831311,-88.22019203,896780.666984,4645101.77806,9.46115016937256,0.0190657004714012,0.249882996082306,-0.000485902011860162,0.0126058999449015,225.429000854492,0.126733005046844,0.184064000844955,0.352863997220993,0.513306021690369,0.498019009828568,0.377916008234024,0.125250995159149,0.0973035991191864,0.371100008487701,0.412413001060486,0.362464994192123,0.183372005820274,0.117283999919891,0.126941993832588,0.166539996862412,0.301180005073547,0.471886992454529,0.161362007260323,0.228147000074387,0.123447000980377,0.131066992878914,0.111524000763893,0.0989895015954971,0.197751998901367,0.127810999751091,0.219336003065109,0.419052988290787,0.452356994152069,0.493322998285294,0.450257003307343,0.445275992155075
1,3DE868,41.85948317,-88.222711,896564.262276,4645220.06744,9.33763027191162,-0.0837737992405891,0.152517005801201,-0.000397183990571648,-0.120555996894836,225.617004394531,0.131944999098778,0.190443992614746,0.323385000228882,0.537492990493774,0.46382200717926,0.338899999856949,0.127645000815392,0.134020999073982,0.343948006629944,0.395393997430801,0.349462002515793,0.194700002670288,0.152462005615234,0.163828000426292,0.20567299425602,0.264899998903275,0.434671014547348,0.162073999643326,0.209391996264458,0.133327007293701,0.143895000219345,0.145593002438545,0.140167996287346,0.163762003183365,0.148500993847847,0.219543993473053,0.38858899474144,0.439606994390488,0.47613599896431,0.417939990758896,0.438109010457993
2,3DE9A0,41.86179628,-88.22057489,896727.291452,4645486.87499,8.46115970611572,0.0854644998908043,1.1379599571228,-5.46273004147224E-05,-0.0065693398937583,225.408004760742,0.120651997625828,0.199165999889374,0.36335900425911,0.508222997188568,0.45974400639534,0.335987001657486,0.11523199826479,0.111024998128414,0.349913001060486,0.402855008840561,0.364414989948273,0.182904005050659,0.123903997242451,0.128885000944138,0.166119992733002,0.272828012704849,0.443542987108231,0.160725995898247,0.17765499651432,0.118873000144959,0.122932001948357,0.120173998177052,0.110950998961926,0.162982001900673,0.142682000994682,0.216664999723434,0.41049799323082,0.451952993869782,0.483814001083374,0.432857990264893,0.447667986154556
3,3DE9B7,41.86144356,-88.22467042,896389.430805,4645428.73352,8.84665012359619,0.10716400295496,1.12390995025635,0.000145161000546068,-0.0127280000597239,225.339996337891,0.12372799962759,0.210901007056236,0.39529100060463,0.263265013694763,0.483112990856171,0.247287005186081,0.104561999440193,0.0930221006274223,0.411127001047134,0.426221996545792,0.339060992002487,0.168566003441811,0.11345399916172,0.132195994257927,0.166323006153107,0.287431001663208,0.475318998098373,0.146491006016731,0.160016998648644,0.11999399960041,0.121330998837948,0.105774000287056,0.0919694975018501,0.166594997048378,0.126544997096062,0.239804998040199,0.439310997724533,0.466015011072159,0.498688012361527,0.461578011512756,0.45515900850296
4,3DE9BB,41.85721434,-88.22174429,896658.585694,4644972.54876,9.74429988861084,-0.00977309979498386,0.0519519001245499,3.69990011677146E-05,-0.260955005884171,225.522003173828,0.119345001876354,0.167742997407913,0.308542996644974,0.0549621991813183,0.521143972873688,0.41712498664856,0.129604995250702,0.105587996542454,0.340719014406204,0.410881996154785,0.375120997428894,0.186620995402336,0.124228999018669,0.128834992647171,0.161327004432678,0.280930012464523,0.467076003551483,0.147956997156143,0.134296998381615,0.120332002639771,0.124982997775078,0.119245000183582,0.106508001685143,0.19131900370121,0.132680997252464,0.213340997695923,0.422904014587402,0.459253013134003,0.29423800110817,0.455370992422104,0.456535011529923
5,3DF58A,41.85832891,-88.22383238,896478.300702,4645086.67344,8.96278953552246,-0.0744275972247124,0.620675981044769,-0.000349237001501024,0.00213617994450033,225.546997070313,0.12083899974823,0.190761998295784,0.352272003889084,0.096671499311924,0.496793001890183,0.291819989681244,0.111378997564316,0.109406001865864,0.373349010944366,0.418563008308411,0.376186013221741,0.183575004339218,0.125957995653152,0.134129002690315,0.168283998966217,0.284141004085541,0.475268989801407,0.15786799788475,0.17959700524807,0.123070001602173,0.129118993878365,0.12406600266695,0.111717998981476,0.172162994742394,0.132671996951103,0.209398999810219,0.429385989904404,0.467545986175537,0.22087199985981,0.315454006195068,0.463088005781174
6,3DF593,41.85856094,-88.22256478,896582.11576,4645118.31382,9.1367301940918,-0.00901865959167481,0.45940700173378,-0.000296279002213851,-0.0386027991771698,225.544006347656,0.118877999484539,0.177924007177353,0.333000987768173,0.12652899324894,0.502000987529755,0.395750999450684,0.123179003596306,0.108280003070831,0.338813006877899,0.407202988862991,0.384288012981415,0.193116992712021,0.137633994221687,0.129749998450279,0.162720993161201,0.261801987886429,0.449366003274918,0.164088994264603,0.195432007312775,0.122689999639988,0.128709003329277,0.123103000223637,0.10988599807024,0.172545000910759,0.133619993925095,0.2012609988451,0.417342990636826,0.457560986280441,0.350511014461517,0.430139988660812,0.459266990423203
7,3DF594,41.86030628,-88.22014742,896772.018254,4645323.36327,8.97360992431641,0.0780922994017601,0.396676987409592,3.07314003293868E-05,-0.0736019983887672,225.912002563477,0.127413004636765,0.190433993935585,0.355203986167908,0.526430010795593,0.472707986831665,0.342606991529465,0.116461001336575,0.10963000357151,0.342195987701416,0.412896007299423,0.384232014417648,0.192365005612373,0.133494004607201,0.127254992723465,0.159465000033379,0.266140997409821,0.444849997758865,0.167145997285843,0.185755997896194,0.121298998594284,0.126568004488945,0.122676998376846,0.112738996744156,0.169297993183136,0.1424870043993,0.208602994680405,0.406819999217987,0.448083013296127,0.483420997858048,0.444799989461899,0.44532299041748
8,3DF5FF,41.86218337,-88.22677299,896210.278359,4645501.17296,9.43360996246338,0.0714355036616325,0.63764101266861,-0.000397844996768981,0.0751757025718689,224.326995849609,0.127499997615814,0.205265000462532,0.360128998756409,0.243957996368408,0.486862987279892,0.257663995027542,0.107749000191689,0.111138999462128,0.405295997858048,0.431324988603592,0.376085013151169,0.176990002393723,0.1492840051651,0.131775006651878,0.165044993162155,0.26469698548317,0.465115010738373,0.138441994786263,0.185615003108978,0.122763998806477,0.123626999557018,0.119671002030373,0.109084002673626,0.198819994926453,0.137544006109238,0.225860998034477,0.439642012119293,0.472479999065399,0.49855300784111,0.445582002401352,0.461208999156952
9,3DF617,41.85918825,-88.23558688,895496.984658,4645127.76856,9.17632007598877,0.0387861989438534,0.728460013866425,-1.44010000440176E-05,-0.0280604008585215,225.10400390625,0.135165005922318,0.173534005880356,0.333474010229111,0.277016013860703,0.503453016281128,0.315916001796722,0.117857001721859,0.103143997490406,0.434819996356964,0.435416013002396,0.365009009838104,0.153240993618965,0.127663001418114,0.122273996472359,0.176366001367569,0.299095988273621,0.452050000429153,0.189988002181053,0.242706999182701,0.122899003326893,0.132071003317833,0.111023999750614,0.0966318994760513,0.174031004309654,0.128187000751495,0.232196003198624,0.465602993965149,0.487491011619568,0.509518980979919,0.472020000219345,0.467759996652603
