,R2 (Validation),RMSE,MAE,Input Parameters,Class Quantity
0,0.33558419134090767,0.04289705955499297,0.03400458354654774,"['PlnCurv', 'TWI']",2
1,0.3040137390737392,0.04390438302075443,0.03654977640923717,"['ProfCurv', 'PlnCurv', 'TWI']",2
2,0.24126659060164324,0.045840795875530686,0.03836872318200994,"['DEM_QGIS', 'PlnCurv', 'TWI']",2
3,0.22072838040701137,0.04645708704524527,0.03519465630166059,"['ProfCurv', 'PlnCurv', 'TWI', 'Texture']",2
4,0.21872060942371785,0.046516896222208205,0.03856823012869641,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI']",2
5,0.19994100087057132,0.04707263964609778,0.03869374343125788,"['DEM_QGIS', 'PlnCurv', 'TPI', 'TWI']",2
6,0.1971258998779979,0.04715538221424618,0.036569036461909524,"['ProfCurv', 'TWI']",2
7,0.16540962133467008,0.04807776076702995,0.03946495619205055,"['DEM_QGIS', 'ProfCurv', 'PlnCurv']",2
8,0.16316496558541227,0.04814237064039028,0.03649122634545875,['TWI'],2
9,0.1508400061050129,0.04849559675467075,0.038669829873607134,['PlnCurv'],2
10,0.13323890660309579,0.04899561908740819,0.040914226392994635,"['ProfCurv', 'PlnCurv']",2
11,0.1126914267387612,0.049572963731727406,0.04008005298528254,"['DEM_QGIS', 'PlnCurv']",2
12,0.0905542459382308,0.05018754419552276,0.0383743269142824,"['TPI', 'TWI']",2
13,0.07985146617460848,0.0504819955768998,0.040746608555426715,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI']",2
14,0.0772118120621651,0.05055435322957141,0.04311117379403688,"['DEM_QGIS', 'TWI']",2
15,0.06195963124273485,0.05097043142651936,0.04271745895726771,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'NDVI']",2
16,0.04310206230805158,0.051480215296824464,0.042387521824741016,"['DEM_QGIS', 'ProfCurv', 'TWI']",2
17,0.03807917676052874,0.05161515172925241,0.0402486345673297,"['TWI', 'Texture']",2
18,0.019949104676020513,0.05209929662723962,0.04411182131276814,"['DEM_QGIS', 'PlnCurv', 'TWI', 'NDVI']",2
19,0.014129833822541182,0.052253743300054716,0.040253890397023595,"['ProfCurv', 'PlnCurv', 'TWI', 'NDVI']",2
20,0.009370292430357474,0.052379725612239865,0.044828320031475945,"['ProfCurv', 'PlnCurv', 'TPI', 'TWI']",2
21,0.0010795719625137368,0.05259845559507685,0.04368060690456504,"['DEM_QGIS', 'TWI', 'Texture']",2
22,-0.0077940568922987286,0.052831560856586454,0.04545508131544168,"['ProfCurv', 'TPI', 'TWI']",2
23,-0.009597415511935825,0.0528788084399995,0.041214020564720205,"['PlnCurv', 'TPI', 'TWI']",2
24,-0.01415541606169124,0.05299803924091682,0.04053812269744918,['ProfCurv'],2
25,-0.017435740932868704,0.0530836821456548,0.042413605600699365,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'Texture']",2
26,-0.024150535171686638,0.05325856288269346,0.03868261984639881,"['DEM_QGIS', 'PlnCurv', 'TPI']",2
27,-0.0269324539103033,0.053330847430865955,0.0421734881677672,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI', 'Texture']",2
28,-0.043923772839877806,0.053770235560300125,0.040055379524380375,"['DEM_QGIS', 'ProfCurv']",2
29,-0.05467937446130988,0.054046524513754475,0.04472940403810323,"['PlnCurv', 'TWI', 'Texture', 'NDVI']",2
30,-0.05661682374492649,0.05409614355324833,0.04636205043154111,"['PlnCurv', 'TWI', 'NDVI']",2
31,-0.05983303260615336,0.0541784119294124,0.04553323201102383,['DEM_QGIS'],2
32,-0.062459615116034595,0.054245505521473204,0.04153283608332128,"['DEM_QGIS', 'PlnCurv', 'TPI', 'TWI', 'Texture']",2
33,-0.06608403914716332,0.054337952011200175,0.04264024348317128,"['DEM_QGIS', 'ProfCurv', 'TWI', 'Texture']",2
34,-0.07968393738451729,0.05468344481587587,0.03899757926905978,"['PlnCurv', 'Texture']",2
35,-0.10811655529186459,0.055398788435122,0.04658697949108537,"['DEM_QGIS', 'TWI', 'NDVI']",2
36,-0.11396032892071029,0.055544672134010174,0.04528001538250129,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'Texture', 'NDVI']",2
37,-0.11706282912604116,0.05562196731743781,0.03925452445159537,"['PlnCurv', 'TPI']",2
38,-0.12698828201615342,0.05586853012670383,0.046433066808212964,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'TWI']",2
39,-0.1362330036483499,0.0560972078092299,0.04213454851536751,"['DEM_QGIS', 'PlnCurv', 'TWI', 'Texture']",2
40,-0.138772134153331,0.05615985281408231,0.04282188840598615,['Texture'],2
41,-0.139404402136049,0.056175441160715184,0.04613747694345576,"['ProfCurv', 'TWI', 'NDVI']",2
42,-0.14386894824501884,0.056285390117663314,0.045620496958580184,"['ProfCurv', 'TWI', 'Texture', 'NDVI']",2
