,R2 (Validation),RMSE,MAE,Input Parameters,Class Quantity
0,0.17750869237948108,0.04772799644280539,0.037529999999999994,"['TWI', 'Texture']",2
1,0.16046654601091292,0.048219927001189045,0.03643066666666668,"['DEM_QGIS', 'ProfCurv', 'PlnCurv']",2
2,0.15845489786635925,0.048277663526268076,0.03630733333333334,"['PlnCurv', 'TWI']",2
3,0.15554098298834096,0.04836117386683018,0.03791733333333333,"['ProfCurv', 'PlnCurv', 'TPI', 'TWI']",2
4,0.15477085306024796,0.04838322105854467,0.03949266666666668,"['TWI', 'NDVI']",2
5,0.15447501117043616,0.04839168771597038,0.034525999999999994,"['ProfCurv', 'PlnCurv']",2
6,0.1481284519405467,0.048572963581720134,0.03744399999999999,"['ProfCurv', 'TPI']",2
7,0.13567892049708552,0.048926606849216285,0.03932999999999999,"['PlnCurv', 'TPI', 'TWI']",2
8,0.13528485860559902,0.048937758905232526,0.038612999999999995,"['TPI', 'TWI']",2
9,0.13259730154360083,0.04901374981687395,0.03835333333333335,"['PlnCurv', 'TPI']",2
10,0.12600608253435241,0.04919962021081961,0.03842033333333335,"['DEM_QGIS', 'PlnCurv', 'TWI', 'NDVI']",2
11,0.12584072377404754,0.049204274249748305,0.03922866666666667,"['PlnCurv', 'TPI', 'TWI', 'NDVI']",2
12,0.11707380491378816,0.04945039285317492,0.03868033333333333,"['ProfCurv', 'PlnCurv', 'TWI', 'Texture']",2
13,0.11405566272153445,0.049534839882876595,0.04046833333333334,"['TPI', 'TWI', 'NDVI']",2
14,0.1134759887528376,0.04955104257228097,0.03677633333333334,"['ProfCurv', 'PlnCurv', 'TPI']",2
15,0.10773234562106349,0.04971129994500467,0.04128866666666666,['PlnCurv'],2
16,0.10519255063554867,0.04978200002678345,0.04175566666666667,"['ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'Texture', 'NDVI']",2
17,0.09947072382921007,0.049940911351983426,0.042792666666666666,"['ProfCurv', 'TPI', 'TWI', 'NDVI']",2
18,0.09817207797190075,0.04997690806762657,0.03738233333333332,['TWI'],2
19,0.09411688844558197,0.050089145952214253,0.03929133333333333,"['ProfCurv', 'TPI', 'TWI']",2
20,0.08891171138100673,0.05023284518674566,0.04244766666666668,"['ProfCurv', 'TPI', 'TWI', 'Texture', 'NDVI']",2
21,0.08730289418350023,0.050277176686400686,0.03828233333333332,"['PlnCurv', 'TWI', 'Texture']",2
22,0.08272042116179623,0.05040323457433613,0.038006999999999985,"['ProfCurv', 'TWI']",2
23,0.08080433478110172,0.05045585024994073,0.041660333333333334,"['PlnCurv', 'TPI', 'TWI', 'Texture', 'NDVI']",2
24,0.07549925274672364,0.050601242211366054,0.040405,"['ProfCurv', 'TPI', 'TWI', 'Texture']",2
25,0.06616040675932933,0.05085617430012255,0.03764766666666667,"['ProfCurv', 'PlnCurv', 'TPI', 'Texture']",2
26,0.0616523892697618,0.05097877806826419,0.04334200000000001,"['ProfCurv', 'TPI', 'NDVI']",2
27,0.04998866999347551,0.05129463426562709,0.04404633333333333,"['ProfCurv', 'PlnCurv', 'TPI', 'NDVI']",2
28,0.04448046344647172,0.051443123587554866,0.04106333333333334,"['PlnCurv', 'TPI', 'TWI', 'Texture']",2
29,0.03978000414221361,0.05156949968516057,0.03826533333333334,['ProfCurv'],2
30,0.03596823474013133,0.051671755598844,0.04127500000000002,"['DEM_QGIS', 'PlnCurv', 'TPI', 'TWI', 'Texture']",2
31,0.03059913675472159,0.05181544666731469,0.04206766666666668,"['ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'NDVI']",2
32,0.028664118553554885,0.05186713521639263,0.041215999999999996,"['ProfCurv', 'PlnCurv', 'TWI']",2
33,0.020898666117045828,0.052074051268895485,0.040427000000000005,"['ProfCurv', 'TPI', 'Texture']",2
34,0.01192469917551875,0.05231214966164383,0.04084166666666668,"['ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'Texture']",2
35,0.010308288388312659,0.05235492138599134,0.03939300000000001,"['PlnCurv', 'Texture']",2
36,0.005661553891649351,0.052477684124884086,0.04234033333333334,"['PlnCurv', 'TPI', 'NDVI']",2
37,-0.0040295691847416215,0.0527327957199734,0.04249966666666668,"['ProfCurv', 'PlnCurv', 'NDVI']",2
38,-0.007856459972227947,0.05283319650876078,0.042513333333333334,"['DEM_QGIS', 'ProfCurv']",2
39,-0.009483866380021633,0.052875834724170324,0.03963266666666666,"['TPI', 'TWI', 'Texture']",2
40,-0.010283800184845315,0.05289678047333736,0.040527000000000014,['Texture'],2
41,-0.0126243043614096,0.052958017481355514,0.04244166666666667,"['PlnCurv', 'TWI', 'NDVI']",2
42,-0.012872393452093345,0.05296450434017107,0.04391200000000001,"['ProfCurv', 'PlnCurv', 'TWI', 'NDVI']",2
43,-0.027994035614007817,0.05335840544010952,0.04297933333333332,"['PlnCurv', 'TWI', 'Texture', 'NDVI']",2
