,R2 (Validation),RMSE,MAE,Input Parameters,Class Quantity
0,0.22981124972574063,0.046185551154015805,0.03515337623879865,['TWI'],2
1,0.21039262022215244,0.046764160731702226,0.03458719819315041,"['PlnCurv', 'TWI']",2
2,0.20402840794797217,0.046952241391677925,0.03511174127999607,"['DEM_QGIS', 'PlnCurv', 'TWI']",2
3,0.19533869238332802,0.047207837265742104,0.03616156806360501,"['TWI', 'Texture']",2
4,0.18888764414592119,0.04739669441922092,0.03760559031654659,"['DEM_QGIS', 'TWI']",2
5,0.18640318740233897,0.04746922752910905,0.0356013684493932,"['ProfCurv', 'PlnCurv', 'TWI']",2
6,0.18245533892461407,0.04758425657721391,0.03688602582617676,"['DEM_QGIS', 'ProfCurv']",2
7,0.17644932267865998,0.04775872340762173,0.037915804628823956,"['ProfCurv', 'TWI']",2
8,0.17456561561918627,0.0478133114629315,0.0349057157636632,"['ProfCurv', 'PlnCurv', 'TWI', 'Texture']",2
9,0.17116301593683736,0.04791175795771885,0.036161224185351275,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI']",2
10,0.16703603123117805,0.048030892099278334,0.03453067160463276,"['PlnCurv', 'TWI', 'Texture']",2
11,0.15625433453328597,0.04834074314960199,0.037198945333044665,"['DEM_QGIS', 'TWI', 'Texture']",2
12,0.1548159582554185,0.04838193006914122,0.036705652449093636,"['DEM_QGIS', 'ProfCurv', 'TWI', 'Texture']",2
13,0.14645337420781623,0.048620695855378385,0.036596055593040536,['DEM_QGIS'],2
14,0.1382608429519816,0.04885347477529853,0.03920035448219536,"['DEM_QGIS', 'ProfCurv', 'TWI']",2
15,0.13321620634120124,0.04899626067487178,0.035914988098776454,"['DEM_QGIS', 'PlnCurv', 'TWI', 'Texture']",2
16,0.11697655337507551,0.04945311618067469,0.03624195285094041,"['ProfCurv', 'PlnCurv']",2
17,0.10239454620898603,0.049859771808056036,0.03827525281261003,['ProfCurv'],2
18,0.10169005932973985,0.049879334225770226,0.037122179070796596,"['ProfCurv', 'TWI', 'Texture']",2
19,0.09704073140441016,0.050008246353091486,0.037301248608571314,"['DEM_QGIS', 'ProfCurv', 'PlnCurv']",2
20,0.09483198452854791,0.05006937208563275,0.03798912159112165,"['ProfCurv', 'PlnCurv', 'TWI', 'NDVI']",2
21,0.09418146854491471,0.05008736050129175,0.03832400812341825,"['PlnCurv', 'TWI', 'NDVI']",2
22,0.09227462382274532,0.050140052406168464,0.036267021007275725,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI', 'Texture']",2
23,0.0889226772684033,0.050232542883780984,0.03766633096778169,"['PlnCurv', 'TWI', 'Texture', 'NDVI']",2
24,0.08711973154933073,0.05028222131626264,0.04099475450614127,"['TWI', 'NDVI']",2
25,0.08491865993355552,0.05034280326850376,0.03742604374543671,"['DEM_QGIS', 'PlnCurv', 'TPI', 'TWI']",2
26,0.07770317508335856,0.0505408919349354,0.038255820125321124,"['DEM_QGIS', 'PlnCurv', 'TWI', 'Texture', 'NDVI']",2
27,0.071466968890039,0.05071147282715478,0.039795939134907574,"['TWI', 'Texture', 'NDVI']",2
28,0.06923560881445157,0.05077236869865936,0.041602684394865544,"['ProfCurv', 'TWI', 'NDVI']",2
29,0.06786949691270283,0.050809615130596,0.038177896145161275,"['DEM_QGIS', 'PlnCurv']",2
30,0.0636571936269944,0.05092429019874106,0.037070008750091435,['PlnCurv'],2
31,0.057837416275094644,0.05108230334325382,0.041152495388311935,"['DEM_QGIS', 'ProfCurv', 'TWI', 'NDVI']",2
32,0.057146096073669606,0.05110104095456926,0.04000841575481638,"['DEM_QGIS', 'TWI', 'Texture', 'NDVI']",2
33,0.056721616350947746,0.05111254269134552,0.03537384154803695,"['ProfCurv', 'PlnCurv', 'Texture']",2
34,0.05409434351356057,0.051183673982864254,0.038263504383966904,"['DEM_QGIS', 'ProfCurv', 'TPI', 'TWI', 'Texture']",2
35,0.05063234625438018,0.05127725408715053,0.03859662326585532,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'TWI']",2
36,0.04999369219022021,0.051294498681935856,0.037697503943473105,"['TPI', 'TWI']",2
37,0.04971216754548524,0.051302098418759816,0.0373111721164831,"['DEM_QGIS', 'ProfCurv', 'Texture']",2
38,0.044411200063570355,0.051444988049798746,0.03959749941039899,"['DEM_QGIS', 'PlnCurv', 'TWI', 'NDVI']",2
39,0.04001924952317171,0.05156307483811688,0.04024714654090772,"['DEM_QGIS', 'TPI', 'TWI']",2
40,0.038015577707986026,0.05161685801339213,0.040984420323715985,"['ProfCurv', 'TWI', 'Texture', 'NDVI']",2
41,0.03562592077447768,0.051680928737272286,0.03741333678848931,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'Texture']",2
42,0.033902970280876965,0.05172707470268554,0.03940640633383558,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'NDVI']",2
43,0.02728634189101964,0.05190390725733377,0.03943829999182267,"['ProfCurv', 'PlnCurv', 'TWI', 'Texture', 'NDVI']",2
44,0.026780024032350913,0.051917414036046716,0.04020557790238227,"['DEM_QGIS', 'ProfCurv', 'TPI', 'TWI']",2
45,0.0248610216314491,0.05196857440080792,0.04171462399669901,"['DEM_QGIS', 'TWI', 'NDVI']",2
46,0.024080548775962107,0.05198936730829636,0.03945259876376049,"['DEM_QGIS', 'Texture']",2
47,0.016028674904577822,0.05220339722989987,0.04010344366797436,"['ProfCurv', 'PlnCurv', 'TPI', 'TWI']",2
48,0.012440324407741565,0.05229849838211775,0.038459136603222956,"['PlnCurv', 'TPI', 'TWI']",2
49,-0.003791315140058593,0.052726538659582683,0.04169337274133038,"['ProfCurv', 'TPI', 'TWI']",2
50,-0.008705460112890417,0.05285544469125588,0.0408365600162412,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI', 'NDVI']",2
51,-0.017457152898572526,0.05308424071655801,0.04173506564689201,"['DEM_QGIS', 'ProfCurv', 'TWI', 'Texture', 'NDVI']",2
52,-0.01866215360236345,0.053115665931438585,0.04020667435995112,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI', 'Texture', 'NDVI']",2
53,-0.026259854497179713,0.05331337979126072,0.03930919359320745,"['ProfCurv', 'Texture']",2
54,-0.028623862069005357,0.05337474862318361,0.041842234996397054,"['DEM_QGIS', 'ProfCurv', 'Texture', 'NDVI']",2
55,-0.035364547907069444,0.05354934836042892,0.040392958640821305,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'Texture', 'NDVI']",2
56,-0.049989043629791174,0.05392621375893197,0.04096877192883588,"['ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'NDVI']",2
57,-0.05082191124710933,0.05394759707453246,0.04022528875671884,"['DEM_QGIS', 'PlnCurv', 'TPI']",2
58,-0.05221070186232746,0.05398323450150175,0.03934677270286589,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'Texture']",2
59,-0.05499107297058581,0.05405451034197722,0.03937708725859381,"['TPI', 'TWI', 'Texture']",2
60,-0.05593236682749403,0.05407861947212449,0.03919203318535861,"['ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'Texture']",2
61,-0.059126703695528526,0.05416035523767675,0.039983355854615654,"['DEM_QGIS', 'PlnCurv', 'TPI', 'TWI', 'Texture']",2
62,-0.05919360476994595,0.05416206576424853,0.041664983259272294,"['DEM_QGIS', 'ProfCurv', 'TPI', 'TWI', 'NDVI']",2
63,-0.060947381316481364,0.05420688706660676,0.03978383682169538,"['PlnCurv', 'TPI']",2
64,-0.06151931470712846,0.0542214959681253,0.04016765513698036,"['DEM_QGIS', 'TPI', 'TWI', 'Texture']",2
65,-0.062044704252419036,0.05423491253186176,0.040556361990815706,"['ProfCurv', 'PlnCurv', 'NDVI']",2
66,-0.06735463010632192,0.05437032316999405,0.041894433307179346,"['ProfCurv', 'TPI', 'TWI', 'Texture']",2
67,-0.06853345306632486,0.054400339106887276,0.042421229561846706,"['DEM_QGIS', 'TPI', 'TWI', 'Texture', 'NDVI']",2
68,-0.06934359660713829,0.05442095789645908,0.040978977177259,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'NDVI']",2
69,-0.07066942237550977,0.05445468436088333,0.041767471399834055,"['DEM_QGIS', 'Texture', 'NDVI']",2
70,-0.07465866446558689,0.05455603728159317,0.04009751841476654,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'Texture', 'NDVI']",2
71,-0.07602366722242149,0.0545906740977191,0.042054413758951435,"['TPI', 'TWI', 'NDVI']",2
72,-0.07974691538666012,0.05468503963625199,0.04254057927800131,"['TPI', 'TWI', 'Texture', 'NDVI']",2
73,-0.08092889962431316,0.05471496293326216,0.042859418510385716,"['DEM_QGIS', 'NDVI']",2
74,-0.0829260604504225,0.054765486215752106,0.038429193909946605,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI']",2
75,-0.08293391064405431,0.054765684714480546,0.0439462512146121,"['ProfCurv', 'TPI', 'TWI', 'NDVI']",2
76,-0.08549448701570284,0.05483039269016412,0.041138836697777015,"['ProfCurv', 'PlnCurv', 'TPI']",2
77,-0.0966048271344806,0.055110280544298784,0.042241470080939265,"['ProfCurv', 'NDVI']",2
78,-0.0973776314660213,0.05512969590781269,0.042367836387532,"['DEM_QGIS', 'PlnCurv', 'NDVI']",2
79,-0.10149989352359312,0.05523314526943287,0.04241141134046032,"['ProfCurv', 'TPI', 'TWI', 'Texture', 'NDVI']",2
80,-0.10473528899794182,0.0553142029429837,0.04082461548726666,"['ProfCurv', 'PlnCurv', 'Texture', 'NDVI']",2
81,-0.10631207507762097,0.055353663783294774,0.04188914465131449,"['ProfCurv', 'Texture', 'NDVI']",2
82,-0.10649288327458817,0.055358186913556505,0.04259446741068486,"['DEM_QGIS', 'ProfCurv', 'NDVI']",2
83,-0.11107402627265195,0.055472666555154954,0.04166195874250646,"['PlnCurv', 'TPI', 'TWI', 'NDVI']",2
84,-0.11666800491418283,0.0556121366974895,0.04100205336787139,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'NDVI']",2
85,-0.11768331871797488,0.055637413208018745,0.041945341924654524,"['DEM_QGIS', 'ProfCurv', 'TPI', 'TWI', 'Texture', 'NDVI']",2
86,-0.11957465970026604,0.05568446805728336,0.041500934693863914,"['ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'Texture', 'NDVI']",2
87,-0.11995718385004794,0.05569398007797876,0.03986725993490249,"['ProfCurv', 'PlnCurv', 'TPI', 'Texture']",2
88,-0.12073115812119228,0.05571322110947255,0.04222245831046723,"['DEM_QGIS', 'PlnCurv', 'TPI', 'TWI', 'NDVI']",2
89,-0.121481307952225,0.05573186352516962,0.04400666246268771,"['DEM_QGIS', 'TPI', 'TWI', 'NDVI']",2
90,-0.12588650195413287,0.0558412140110769,0.04171518309340182,"['PlnCurv', 'NDVI']",2
91,-0.12949571335897558,0.055930646420568046,0.04170612665380601,"['DEM_QGIS', 'PlnCurv', 'TPI', 'TWI', 'Texture', 'NDVI']",2
92,-0.13269691018306284,0.05600984916719231,0.04238558428085595,"['DEM_QGIS', 'PlnCurv', 'Texture', 'NDVI']",2
93,-0.13394248824007415,0.05604063651626921,0.041638217522147726,"['DEM_QGIS', 'PlnCurv', 'Texture']",2
94,-0.14296706439563134,0.05626319662498598,0.04204725318441336,"['DEM_QGIS', 'ProfCurv', 'TPI']",2
95,-0.14637901552557153,0.05634711165323319,0.04211246557103293,['NDVI'],2
96,-0.1512684217390936,0.056467146465828434,0.04072348268424378,"['DEM_QGIS', 'PlnCurv', 'TPI', 'Texture']",2
97,-0.15331420823955244,0.05651729482833251,0.04171417669788206,['Texture'],2
98,-0.15366604559283692,0.056525914933314894,0.0420353811916128,"['PlnCurv', 'TPI', 'TWI', 'Texture', 'NDVI']",2
99,-0.1582000165729649,0.05663688099110222,0.04160354542308516,"['PlnCurv', 'TPI', 'TWI', 'Texture']",2
100,-0.16095262761937312,0.05670414346012793,0.042365047833078505,"['TPI', 'NDVI']",2
101,-0.16234100520978045,0.056738039433579676,0.042828231156674466,"['DEM_QGIS', 'TPI', 'Texture']",2
102,-0.16971910466623363,0.05691783034159675,0.04312676511211699,"['ProfCurv', 'PlnCurv', 'TPI', 'NDVI']",2
103,-0.1864942832373777,0.057324512520175,0.04160735807534426,"['PlnCurv', 'Texture', 'NDVI']",2
104,-0.18711637390108327,0.057339538454732664,0.04340049327068807,"['Texture', 'NDVI']",2
105,-0.19152645655973322,0.05744594659335966,0.040534070079343655,"['PlnCurv', 'Texture']",2
106,-0.19351419884497867,0.057493843202499235,0.04252582864056745,"['DEM_QGIS', 'ProfCurv', 'TPI', 'Texture']",2
107,-0.1947231462665704,0.057522954477847915,0.04296666374233653,"['ProfCurv', 'TPI']",2
108,-0.19827145785889622,0.05760831234546604,0.04438528418749253,"['DEM_QGIS', 'TPI']",2
109,-0.2119002334219453,0.05793499579470514,0.04346371727330084,"['DEM_QGIS', 'ProfCurv', 'TPI', 'Texture', 'NDVI']",2
110,-0.21718885473687077,0.058061269683142076,0.0422650230317218,"['DEM_QGIS', 'ProfCurv', 'TPI', 'NDVI']",2
111,-0.2188104726404756,0.05809993330369797,0.04480921521988993,"['ProfCurv', 'TPI', 'NDVI']",2
112,-0.21951952605427993,0.05811683091296237,0.04430143020670385,"['DEM_QGIS', 'PlnCurv', 'TPI', 'NDVI']",2
113,-0.23994580796443876,0.058601522253399776,0.04564277030700571,"['DEM_QGIS', 'TPI', 'NDVI']",2
114,-0.24569304440408168,0.05873717634189176,0.0422355133682354,"['ProfCurv', 'PlnCurv', 'TPI', 'Texture', 'NDVI']",2
115,-0.24919329495524067,0.05881964072307691,0.04536944874987796,"['DEM_QGIS', 'TPI', 'Texture', 'NDVI']",2
116,-0.2502207602276336,0.05884382541751473,0.04338441657170283,"['DEM_QGIS', 'PlnCurv', 'TPI', 'Texture', 'NDVI']",2
117,-0.252192615255193,0.058890211536409776,0.04541889963129116,['TPI'],2
118,-0.2600921834566561,0.059075676552615634,0.04360365211517199,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'Texture']",2
119,-0.2605072013704719,0.05908540419236922,0.04340204006119114,"['PlnCurv', 'TPI', 'Texture']",2
120,-0.2611844939091703,0.059101275870531454,0.04353653848388678,"['PlnCurv', 'TPI', 'Texture', 'NDVI']",2
121,-0.26283211724274524,0.05913986850267797,0.043149852222102714,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'Texture', 'NDVI']",2
122,-0.2737615870010739,0.05939523692467551,0.04373389124331441,"['ProfCurv', 'TPI', 'Texture']",2
123,-0.279002871225152,0.05951731146993528,0.04339833924253565,"['ProfCurv', 'TPI', 'Texture', 'NDVI']",2
124,-0.32632029367328586,0.0606082511408625,0.04493984004008761,"['PlnCurv', 'TPI', 'NDVI']",2
125,-0.3321676195937071,0.0607417055006812,0.044916503393645085,"['TPI', 'Texture', 'NDVI']",2
126,-0.380769356901711,0.06183980555643765,0.04493454816189324,"['TPI', 'Texture']",2
