,R2 (Validation),RMSE,MAE,Input Parameters,Class Quantity
0,0.23079401223645635,0.04615607531663696,0.035492410623593144,"['ProfCurv', 'TWI']",2
1,0.21980570743864203,0.0464845819627248,0.035999807815959003,"['PlnCurv', 'TWI']",2
2,0.2090519557565792,0.04680384403535702,0.03627617314150254,['TWI'],2
3,0.14238895727912004,0.04873631934996441,0.03797435565022296,"['ProfCurv', 'TWI', 'NDVI']",2
4,0.12326445093770477,0.04927672693562926,0.03865216837853299,"['TWI', 'NDVI']",2
5,0.10638285392622004,0.04974887815369926,0.03660241992298132,"['ProfCurv', 'TPI', 'TWI']",2
6,0.07127156968846993,0.05071680837242652,0.03942811901564132,"['ProfCurv', 'PlnCurv', 'TWI']",2
7,0.03903644270379969,0.05158946264735745,0.03826561333138134,"['DEM_QGIS', 'PlnCurv']",2
8,-0.005201238474572989,0.05276355546268368,0.03840242461970289,['PlnCurv'],2
9,-0.007115628333393742,0.05281377524175689,0.04016365139868616,"['PlnCurv', 'TPI', 'TWI', 'NDVI']",2
10,-0.019462879613808104,0.05313653778797041,0.040417945327191306,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI']",2
11,-0.020857468950152613,0.053172869823679636,0.040057172389438025,"['DEM_QGIS', 'ProfCurv', 'PlnCurv']",2
12,-0.022446301706436023,0.05321423208717169,0.04034777897518916,"['ProfCurv', 'TPI', 'TWI', 'NDVI']",2
13,-0.023945233886609518,0.05325322450760075,0.045256271415528807,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'NDVI']",2
14,-0.029292566415005217,0.05339209516197991,0.0387772720589006,"['ProfCurv', 'PlnCurv', 'Texture']",2
15,-0.030019585534788673,0.053410948024279925,0.03805069156329625,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI']",2
16,-0.036103868134294226,0.053568463874619256,0.04185852041325265,"['ProfCurv', 'PlnCurv']",2
17,-0.037171422675659205,0.05359605403012168,0.044603095810700946,"['ProfCurv', 'PlnCurv', 'TWI', 'NDVI']",2
18,-0.040148718550220064,0.053672925102305605,0.04195399635856842,['ProfCurv'],2
19,-0.04972543975674881,0.05391944414014571,0.042744348658250754,"['DEM_QGIS', 'PlnCurv', 'TPI', 'NDVI']",2
20,-0.051593877144667566,0.053967409213491115,0.04011933671345517,"['DEM_QGIS', 'TWI']",2
21,-0.05655564884377684,0.05409457752947252,0.03877223627325245,['DEM_QGIS'],2
22,-0.06276992272835469,0.054253426558738355,0.042110639701768746,"['DEM_QGIS', 'PlnCurv', 'NDVI']",2
23,-0.07243611084667712,0.05449959309159629,0.04139703778754491,"['DEM_QGIS', 'ProfCurv', 'TPI']",2
24,-0.09077852412559162,0.05496368406217588,0.042339956688879916,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'NDVI']",2
25,-0.09707363935587954,0.05512205945118118,0.04476799375341547,"['DEM_QGIS', 'PlnCurv', 'TWI']",2
26,-0.10433762316122497,0.05530424646342302,0.042362166919791874,"['PlnCurv', 'TWI', 'NDVI']",2
27,-0.10701797068686103,0.055371320499783064,0.04116896120097215,['TPI'],2
28,-0.11161491496722364,0.055486167405100026,0.0383627568781836,"['PlnCurv', 'TPI', 'Texture']",2
29,-0.1129853876260698,0.0555203603847437,0.03834848458893218,"['ProfCurv', 'PlnCurv', 'TPI', 'Texture']",2
30,-0.11521294923253667,0.05557589265169357,0.04160421854957795,"['DEM_QGIS', 'ProfCurv', 'TWI']",2
31,-0.11825018327319148,0.055651520459607744,0.04472356226765943,"['DEM_QGIS', 'PlnCurv', 'TPI']",2
32,-0.12441648505742742,0.05580474748450159,0.04113765445423895,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI', 'Texture']",2
33,-0.12743954038639305,0.055879714190928874,0.04390449611387935,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI', 'NDVI']",2
34,-0.12783519763074924,0.05588951838599212,0.044174325736534834,"['DEM_QGIS', 'PlnCurv', 'TWI', 'Texture']",2
35,-0.12836191688184884,0.05590256756600726,0.041901441572922485,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'NDVI']",2
36,-0.13455578143591418,0.056055789266744246,0.04678842640919349,"['DEM_QGIS', 'PlnCurv', 'TWI', 'NDVI']",2
37,-0.13482264673782018,0.0560623814792235,0.04178848473831377,"['DEM_QGIS', 'TWI', 'Texture']",2
38,-0.1349254675317626,0.05606492119237863,0.04038465222914163,"['ProfCurv', 'TPI', 'Texture']",2
39,-0.1382574667982701,0.05614716067466059,0.04078549437775484,"['DEM_QGIS', 'PlnCurv', 'TPI', 'Texture']",2
40,-0.14492758779254222,0.056311429883775604,0.042308969091546356,"['ProfCurv', 'PlnCurv', 'NDVI']",2
41,-0.14631278205645648,0.05634548386759834,0.04314732805377762,"['DEM_QGIS', 'NDVI']",2
42,-0.16133310328530315,0.056713434441895555,0.04250014208803302,"['DEM_QGIS', 'ProfCurv', 'TWI', 'Texture']",2
43,-0.16686755533536646,0.05684841066742665,0.041227187720490166,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'Texture']",2
44,-0.16997660267361114,0.056924094846183555,0.042240026413118935,"['ProfCurv', 'PlnCurv', 'TPI', 'TWI']",2
45,-0.17308180391796113,0.05699958509154813,0.04409862955025577,"['DEM_QGIS', 'TWI', 'NDVI']",2
46,-0.17640914830242616,0.057080365030578124,0.04397202839271551,"['PlnCurv', 'NDVI']",2
47,-0.18069335296800904,0.05718420718794032,0.0423194957494492,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'Texture']",2
48,-0.18122501464363006,0.057197080653161966,0.044303501086789966,"['DEM_QGIS', 'ProfCurv', 'Texture']",2
49,-0.18805233824029344,0.05736213825631056,0.04702646856206754,"['DEM_QGIS', 'PlnCurv', 'TPI', 'TWI', 'NDVI']",2
50,-0.1967115134617594,0.05757080205095088,0.04064466278592353,"['TPI', 'TWI', 'Texture']",2
51,-0.19814826379853478,0.05760535091953806,0.04529223672231712,"['DEM_QGIS', 'ProfCurv', 'TPI', 'TWI']",2
52,-0.19984250920894242,0.057646065047613805,0.04342237878422279,"['ProfCurv', 'PlnCurv', 'TWI', 'Texture']",2
53,-0.20933587352121652,0.05787366861195116,0.045374949396747875,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'TWI']",2
54,-0.21905961465424606,0.05810587122228885,0.04229135471018316,"['DEM_QGIS', 'TPI', 'TWI', 'Texture']",2
55,-0.2272955461701871,0.05830182161372509,0.04265296001399358,"['DEM_QGIS', 'ProfCurv', 'TPI', 'TWI', 'Texture']",2
56,-0.23084331111203826,0.05838602785696687,0.04602567300810915,"['ProfCurv', 'TPI']",2
57,-0.24053802935545487,0.05861551517625262,0.04521791941008831,"['DEM_QGIS', 'ProfCurv']",2
58,-0.2473232755988588,0.05877559827477432,0.04842157094840166,"['DEM_QGIS', 'ProfCurv', 'TPI', 'NDVI']",2
59,-0.25162685941616747,0.0588769063768068,0.04780385145389667,"['ProfCurv', 'NDVI']",2
60,-0.2537152651589776,0.05892600552339764,0.0457314552945167,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'Texture', 'NDVI']",2
61,-0.25582774035889577,0.05897562896528738,0.04910700641177308,['NDVI'],2
