,R2 (Validation),RMSE,MAE,Input Parameters,Class Quantity
0,0.28391928117707255,0.04453367498694662,0.033686980554163436,"('PlnCurv', 'TWI', 'Texture', 'NDVI')",2
1,0.2533242829795348,0.04547508914134658,0.03297116114334102,"('PlnCurv', 'TWI', 'Texture')",3
2,0.24456685704290915,0.04574099025840686,0.038284186773529925,"('ProfCurv', 'PlnCurv', 'TWI', 'Texture', 'NDVI')",7
3,0.24455647782274492,0.04574130448487558,0.03788139174530902,"('PlnCurv', 'TPI', 'Texture', 'NDVI')",2
5,0.24068668066993693,0.0458583108912665,0.035512926543576254,"('ProfCurv', 'PlnCurv', 'TWI', 'Texture')",3
8,0.22804633858434586,0.04623843867645217,0.038394418586396764,"('TWI',)",2
9,0.22539876892532607,0.046317662797997795,0.03729765218622514,"('PlnCurv', 'TWI', 'Texture', 'NDVI')",2
10,0.22019996531654484,0.04647283538325227,0.03547371107728163,"('ProfCurv', 'PlnCurv', 'TPI', 'Texture', 'NDVI')",2
11,0.21111923135811328,0.046742639161914686,0.03799654867448508,"('ProfCurv', 'TWI')",2
12,0.19201478194875288,0.04730524030273506,0.035074667787055355,"('ProfCurv', 'PlnCurv', 'TWI', 'Texture')",4
13,0.18595401814252321,0.047482329089648646,0.03458290460730292,"('ProfCurv', 'PlnCurv', 'TWI', 'Texture')",10
14,0.17553029767114436,0.04778536367653509,0.03769548161278187,"('ProfCurv', 'PlnCurv', 'Texture')",8
15,0.17441929504943054,0.047817549086839294,0.033373808811595504,"('PlnCurv', 'TPI', 'TWI', 'NDVI')",2
17,0.1661431394988313,0.048056628446378556,0.03476574522202822,"('DEM_QGIS', 'PlnCurv', 'TPI', 'TWI')",2
21,0.165285443698876,0.04808133734828555,0.03217875212958779,"('ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'Texture', 'NDVI')",4
22,0.15597340869648213,0.04834879002562351,0.036040738839671425,"('PlnCurv', 'TPI', 'TWI', 'Texture', 'NDVI')",2
23,0.15525088519479213,0.048369479933120726,0.03691517171618595,"('PlnCurv', 'Texture')",3
24,0.1525720023143199,0.04844611428732224,0.03762022722638633,"('PlnCurv', 'TWI', 'Texture', 'NDVI')",1
91,0.15225682688122055,0.048455122489579026,0.03762541291321485,"('ProfCurv', 'PlnCurv', 'TWI')",1
156,0.15218644199524456,0.048457133969937755,0.037166513920827024,"('ProfCurv',)",1
228,0.1485499256548244,0.04856094606554189,0.038779388994086436,"('DEM_QGIS', 'PlnCurv', 'TPI', 'TWI')",5
229,0.1482736980244883,0.048568822503459994,0.036995549204088096,"('PlnCurv', 'TPI', 'TWI', 'Texture', 'NDVI')",3
230,0.14690994719586292,0.0486076902004269,0.03698362930671867,"('ProfCurv', 'Texture')",3
232,0.14148632134152905,0.0487619601020254,0.03784787245559088,"('PlnCurv', 'TWI', 'Texture')",2
233,0.13906346640367784,0.04883071842336239,0.03918369407823117,"('TPI', 'Texture')",2
234,0.1383898909444864,0.048849816662028395,0.03787685253997463,"('ProfCurv', 'TWI', 'Texture')",1
299,0.13451365124426695,0.048959576927650406,0.036937923245572823,"('PlnCurv', 'TPI', 'TWI', 'Texture')",2
300,0.13442564849001926,0.04896206597216511,0.036606914699104334,"('PlnCurv', 'TWI')",1
372,0.13311654122754224,0.04899907745430483,0.04172328181855003,"('ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'Texture', 'NDVI')",7
373,0.13258934968695846,0.049013974481507516,0.041023432676161396,"('ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'Texture')",7
374,0.130016083080705,0.04908662324402359,0.039579541637288766,"('PlnCurv', 'TPI', 'TWI', 'Texture', 'NDVI')",1
443,0.12547146637197715,0.04921466544770471,0.039654922132641046,"('ProfCurv', 'PlnCurv', 'TPI', 'Texture', 'NDVI')",2
444,0.12474470379212355,0.04923511072076646,0.04291474815151414,"('DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'TWI')",3
445,0.1246086995580663,0.04923893584667243,0.04275131539225861,"('DEM_QGIS', 'ProfCurv', 'TPI', 'TWI')",3
446,0.12281594756083425,0.04928932934048564,0.039171239942779476,"('ProfCurv',)",5
447,0.1223713297708916,0.04930181938537523,0.04067114741900775,"('TWI',)",1
522,0.11685088530506682,0.04945663503206778,0.038886627111284974,"('ProfCurv', 'TWI')",1
585,0.11476792923846524,0.04951492378849293,0.03532181614370789,"('PlnCurv', 'TPI', 'TWI', 'NDVI')",2
587,0.10900081718710031,0.04967595192071131,0.03593060534224347,"('PlnCurv', 'TWI', 'Texture')",3
588,0.10882628503125713,0.049680817035411086,0.037011186335569546,"('DEM_QGIS', 'PlnCurv', 'TPI', 'TWI', 'Texture', 'NDVI')",5
589,0.10714973664328642,0.049727526871587546,0.03292128703435474,"('DEM_QGIS', 'PlnCurv', 'TPI', 'TWI')",2
592,0.10589361399316322,0.04976249461547029,0.0378858248864418,"('DEM_QGIS', 'PlnCurv', 'TPI', 'TWI', 'Texture')",4
593,0.1048435507057347,0.04979170726646938,0.036959648127272725,"('DEM_QGIS', 'PlnCurv', 'TPI', 'TWI', 'NDVI')",5
594,0.10472457844707705,0.049795015981423336,0.03958100713919675,"('PlnCurv', 'TPI', 'TWI')",1
659,0.10456586403648682,0.04979942961558743,0.033814177711427106,"('ProfCurv', 'PlnCurv', 'TPI')",3
660,0.10441366587273193,0.049803661674315707,0.03318069616086328,"('DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'TWI')",2
662,0.10413302660057422,0.04981146425462598,0.03497111864767536,"('PlnCurv', 'TPI')",3
663,0.10178257120124046,0.049876765764062775,0.03498280879977804,"('DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'Texture', 'NDVI')",2
664,0.10162343228240933,0.049881183949897795,0.03416403065544876,"('ProfCurv', 'TPI', 'TWI')",4
665,0.10143577734785059,0.049886393325280685,0.035919680779685936,"('PlnCurv', 'TPI', 'TWI', 'NDVI')",2
667,0.10082339260632966,0.04990338958557742,0.03202696714795966,"('DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI')",2
670,0.10055751927486145,0.04991076689037481,0.034864305161471806,"('ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'NDVI')",2
671,0.09558943248479501,0.050048418582988384,0.03468024924982448,"('DEM_QGIS', 'TPI')",3
672,0.09542358847177113,0.05005300712408234,0.03966620691218662,"('PlnCurv', 'TWI', 'Texture')",4
673,0.09317532475616752,0.05011517021069447,0.0400955380426828,"('ProfCurv', 'PlnCurv', 'TWI')",3
674,0.09087030838376609,0.05017882252284498,0.03736118068195653,"('ProfCurv', 'PlnCurv')",1
737,0.08970641205395669,0.050210932499860146,0.040848130784143524,"('ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'NDVI')",1
800,0.08893247438336349,0.05023227279950377,0.03306187021588618,"('DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI')",2
802,0.0832961883709381,0.050387413288342196,0.03640950679364404,"('ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'NDVI')",2
803,0.07897737626666279,0.05050596742870147,0.041405519635828204,"('ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'Texture', 'NDVI')",1
869,0.07803213579014934,0.05053187778142921,0.034481498925379085,"('ProfCurv', 'PlnCurv', 'TPI', 'TWI')",2
871,0.07678002021442354,0.05056617956464958,0.041620892890340114,"('PlnCurv', 'TPI', 'TWI', 'NDVI')",1
940,0.07654017456412943,0.05057274749585362,0.04353518934709063,"('TWI', 'Texture')",1
1003,0.0762891064700355,0.050579621828701134,0.03322401329721432,"('PlnCurv', 'TPI', 'TWI')",2
1011,0.07620205177414008,0.05058200519880553,0.04279492965162599,"('PlnCurv', 'TWI', 'Texture')",2
1012,0.0745880284550311,0.05062617335668676,0.03425748032272191,"('DEM_QGIS', 'ProfCurv', 'TPI')",2
1017,0.07202325896273931,0.05069627976752864,0.039333026378450875,"('DEM_QGIS', 'ProfCurv', 'TPI', 'Texture')",12
1018,0.07001790751038961,0.050751027364803844,0.034895077925759785,"('PlnCurv', 'TPI', 'NDVI')",2
1022,0.06916998823170506,0.05077415843929194,0.04215844168079735,"('DEM_QGIS', 'ProfCurv', 'TWI')",3
1023,0.06570010125500758,0.05086870669493571,0.042332898217167,"('ProfCurv', 'PlnCurv', 'TPI', 'TWI')",1
1089,0.0648193548180318,0.05089267751983496,0.034112274257149924,"('DEM_QGIS', 'PlnCurv', 'TPI', 'NDVI')",2
1093,0.06253394319530103,0.050954825802867615,0.04165430149598663,"('ProfCurv', 'TPI', 'TWI', 'Texture')",3
1094,0.061554364628396474,0.05098144075204967,0.04292561503119252,"('DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'Texture', 'NDVI')",3
1095,0.06112978494754695,0.050992972179816944,0.041229512435991045,"('DEM_QGIS', 'PlnCurv', 'Texture')",5
1096,0.06107834854819627,0.05099436899639285,0.03441502265663893,"('PlnCurv', 'TPI')",2
1103,0.05869402246877309,0.051059076265104586,0.03447092309500711,"('DEM_QGIS', 'PlnCurv', 'TPI', 'NDVI')",2
1104,0.057606490168825686,0.05108856315174217,0.042848080781853246,"('DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'NDVI')",3
1105,0.05742205510511389,0.05109356215763944,0.034714247200845004,"('DEM_QGIS', 'PlnCurv', 'TPI')",2
1109,0.05539109841381096,0.05114857775365645,0.04187210202491807,"('ProfCurv', 'PlnCurv', 'TPI', 'NDVI')",2
1111,0.05304509258438583,0.051212053997491076,0.04009622952607781,"('DEM_QGIS', 'PlnCurv', 'TPI', 'TWI')",2
1112,0.05222610814812789,0.05123419486728856,0.036712177065172186,"('ProfCurv', 'TPI', 'TWI', 'Texture')",5
1113,0.04928160395649761,0.0513137192737199,0.04269831195336704,"('DEM_QGIS', 'TPI', 'TWI')",12
1114,0.04902455623146529,0.051320655703803,0.034748027759729225,"('DEM_QGIS', 'ProfCurv', 'TPI', 'TWI')",2
1118,0.04802420514252759,0.051347641248063375,0.04290527798848235,"('ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'Texture')",1
1179,0.04757953184532404,0.05135963223530069,0.04346656499560923,"('TWI', 'NDVI')",1
1251,0.04729534065410557,0.05136729422225923,0.034747255938634244,"('DEM_QGIS', 'ProfCurv', 'TPI', 'TWI')",2
1253,0.04715620176021573,0.05137104508434131,0.04212754449528745,"('PlnCurv', 'TWI', 'NDVI')",1
1320,0.04604049502839147,0.051401112054853,0.0400875826513166,"('ProfCurv', 'PlnCurv', 'TPI', 'Texture', 'NDVI')",3
1321,0.04602417121527469,0.05140155183167445,0.042544266046611705,"('PlnCurv', 'TPI', 'NDVI')",1
1389,0.045795742045027454,0.051407705504903325,0.04373578621113612,"('DEM_QGIS', 'PlnCurv', 'TWI', 'Texture', 'NDVI')",2
1391,0.045193980135620926,0.051423912896055815,0.03942096913467334,"('DEM_QGIS', 'PlnCurv', 'TPI')",2
1395,0.04453276030452746,0.05144171579292514,0.03542011772845982,"('DEM_QGIS', 'TPI', 'Texture')",7
1396,0.041102225656238334,0.05153398189156647,0.03665163827286498,"('TPI',)",2
1397,0.040817203216885534,0.05154164029389784,0.038528395171715545,"('PlnCurv',)",1
1469,0.04073352946596065,0.051543888347312265,0.04212504095115674,"('ProfCurv', 'PlnCurv', 'NDVI')",2
1470,0.03972056888623876,0.0515710956730588,0.03961373429009916,"('DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'NDVI')",4
1471,0.039678360294659654,0.051572229051180384,0.03680141228508728,"('PlnCurv', 'TPI', 'NDVI')",2
1475,0.03927904759499856,0.05158295009757571,0.04244073097244854,"('TPI', 'TWI', 'Texture')",4
1476,0.0383368292425722,0.05160823865372793,0.04197586864501392,"('DEM_QGIS', 'ProfCurv', 'TPI', 'TWI', 'Texture')",3
1478,0.03816448002995021,0.05161286305917401,0.040255058090836605,"('ProfCurv', 'TWI', 'Texture', 'NDVI')",2
1479,0.037129329146539214,0.05164062910260059,0.037229427659926984,"('DEM_QGIS', 'PlnCurv', 'TPI', 'NDVI')",2
1480,0.03681757362550797,0.05164898845385515,0.03838338396522863,"('DEM_QGIS', 'ProfCurv', 'Texture')",2
