,R2 (Validation),RMSE,MAE,Input Parameters,Class Quantity
0,0.30079927962634967,0.0440056538996736,0.03238832702750481,"('ProfCurv', 'TPI', 'Texture')",8
1,0.27830126185633874,0.04470802840574002,0.03372554653529032,"('PlnCurv', 'TWI')",1
73,0.2770298580836017,0.04474739174437861,0.03606067373283588,"('DEM_QGIS', 'PlnCurv', 'TWI')",1
137,0.25481915361359486,0.04542954498331682,0.036089019722278334,"('DEM_QGIS', 'PlnCurv', 'TWI')",2
138,0.24491170800508322,0.045730548814829144,0.03675224595919443,"('DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI')",1
204,0.23629392956203155,0.04599076849063426,0.038087749415913155,"('TWI',)",2
205,0.2321937190229909,0.046114061610482884,0.03942978754765999,"('TWI', 'NDVI')",8
206,0.226436758815721,0.04628661883572253,0.03555381216148201,"('ProfCurv', 'PlnCurv', 'TWI')",1
271,0.20583877335820278,0.04689881668327878,0.03494504488679122,"('PlnCurv',)",1
343,0.1983909582934188,0.04711821709060654,0.03535601853588123,"('PlnCurv',)",7
344,0.1941349231376417,0.047243135412084226,0.03744326702230751,"('ProfCurv', 'PlnCurv', 'TWI')",3
345,0.18628105726920663,0.047472790230830335,0.03958403079901438,"('DEM_QGIS', 'TPI', 'NDVI')",3
346,0.1850314613600168,0.04750922728808125,0.04016907556667317,"('DEM_QGIS', 'ProfCurv', 'PlnCurv')",31
347,0.16285074135960054,0.048151408311333084,0.03840999164315938,"('DEM_QGIS', 'ProfCurv', 'PlnCurv')",3
348,0.14461669444528102,0.048672979267485046,0.0371787918044471,"('ProfCurv', 'TWI', 'Texture')",5
349,0.14429476382373851,0.04868213764614616,0.03373561509961069,"('ProfCurv', 'PlnCurv', 'TWI', 'Texture')",9
350,0.13773107358639836,0.048868489236250486,0.0378514774297244,"('DEM_QGIS', 'ProfCurv', 'PlnCurv')",1
413,0.13505838600343578,0.048944166990099125,0.03864125629401188,"('TPI', 'TWI', 'Texture', 'NDVI')",7
414,0.13341914134247612,0.048990524735678685,0.03910971051567859,"('ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'Texture', 'NDVI')",7
415,0.12913248887668172,0.04911154419241216,0.04068643249590451,"('ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'Texture')",7
416,0.12886051669501597,0.04911921236866428,0.039355702590605064,"('DEM_QGIS', 'TWI')",5
417,0.12842809068177596,0.04913140202964787,0.038493376791358,"('PlnCurv', 'TPI', 'TWI')",5
418,0.12462082926779972,0.049238594710047004,0.035274076117885356,"('ProfCurv', 'Texture', 'NDVI')",11
419,0.12032913096460773,0.04935914751081667,0.04061224079850996,"('DEM_QGIS', 'TWI')",1
491,0.11983926751469665,0.04937288894405653,0.03899817109707647,"('DEM_QGIS', 'PlnCurv')",1
554,0.11752215952053657,0.04943783567288232,0.039553829221211624,"('TWI',)",1
629,0.11452395594167908,0.04952174656828426,0.03510684752057749,"('ProfCurv', 'TPI', 'NDVI')",2
631,0.10896353415827642,0.049676991231750484,0.03978312838261272,"('DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI')",4
632,0.10875803444385013,0.049682719403025266,0.04009494925226764,"('DEM_QGIS', 'PlnCurv', 'TPI', 'TWI')",1
698,0.10225083044532934,0.0498637631766195,0.03568113168680925,"('PlnCurv', 'Texture')",2
700,0.09502068505103722,0.05006415282855798,0.03296087936738319,"('TPI',)",2
