,R2 (Validation),RMSE,MAE,Input Parameters,Class Quantity
0,0.22097154419806753,0.046449838248731654,0.04151633333333334,"('TWI', 'NDVI')",7
1,0.2208614764633522,0.046453119546006325,0.039522666666666664,"('ProfCurv', 'PlnCurv', 'TWI', 'Texture', 'NDVI')",7
2,0.21952352671852948,0.04649298747601024,0.03471866666666666,"('ProfCurv', 'PlnCurv', 'TWI')",1
67,0.21831017635498262,0.046529113084653184,0.034328000000000004,"('PlnCurv', 'TWI')",1
139,0.20743045349212152,0.04685179515118806,0.03724366666666667,"('ProfCurv', 'TWI')",2
140,0.19839716042752065,0.04711803481093459,0.04041800000000001,"('TWI', 'NDVI')",8
141,0.19026883726668076,0.04735632277390916,0.036338666666666665,"('PlnCurv', 'TPI', 'TWI')",1
206,0.17908365616018818,0.047682278096211436,0.036362666666666675,"('ProfCurv', 'PlnCurv')",2
207,0.17668156158433113,0.04775198902198269,0.03650833333333334,"('ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'Texture')",1
268,0.17573774273445242,0.047779351653663586,0.03635733333333335,"('ProfCurv', 'PlnCurv', 'TPI', 'TWI')",1
334,0.17182014369368082,0.04789276122523922,0.039580000000000004,"('ProfCurv',)",5
335,0.17124712133726228,0.047909326997290766,0.040034666666666684,"('ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'Texture')",7
336,0.17041622102770027,0.047933337714417976,0.039026333333333336,"('PlnCurv', 'Texture')",2
338,0.1703423873290394,0.04793547072193338,0.03535433333333333,"('PlnCurv',)",1
410,0.17015626173773313,0.04794084734800215,0.040058000000000024,"('ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'Texture', 'NDVI')",7
411,0.16974262934261652,0.047952793824297194,0.03616866666666668,"('ProfCurv', 'PlnCurv', 'TWI')",3
412,0.1665438176463302,0.048045081168049286,0.03520233333333334,"('PlnCurv', 'TWI', 'Texture')",1
476,0.1646191339163522,0.048100523951870255,0.038117333333333336,"('ProfCurv', 'TPI')",2
477,0.1642655794610406,0.0481107015584313,0.036892,"('PlnCurv', 'TPI')",1
541,0.1618988387259832,0.04817877644772644,0.03457833333333334,"('ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'Texture', 'NDVI')",4
542,0.16077103900851664,0.04821118169055805,0.038274666666666665,"('PlnCurv', 'Texture')",2
543,0.1605918659166552,0.04821632789372864,0.037316666666666665,"('TPI', 'TWI')",1
606,0.16047456485447376,0.04821969671318049,0.038749333333333316,"('ProfCurv', 'TWI')",1
669,0.1603820183811966,0.048222354428902235,0.038582666666666675,"('ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'NDVI')",1
732,0.1578320309432366,0.048295526500908945,0.03770199999999999,"('TWI',)",1
807,0.15720327144585777,0.04831355176805412,0.038560666666666674,"('PlnCurv', 'TPI', 'TWI', 'NDVI')",1
876,0.15691661584180971,0.048321767374778654,0.03299833333333334,"('ProfCurv', 'PlnCurv', 'TWI', 'Texture')",4
877,0.1556743289589353,0.048357355432699624,0.03505833333333334,"('ProfCurv', 'PlnCurv', 'Texture')",8
878,0.15425939622978324,0.04839785743650689,0.03568733333333334,"('ProfCurv', 'PlnCurv')",1
941,0.15132189580979494,0.04848183442165622,0.03461166666666668,"('DEM_QGIS', 'PlnCurv', 'TPI', 'TWI')",2
945,0.15106574936199402,0.048489150218259024,0.03865666666666666,"('ProfCurv', 'TPI', 'TWI')",1
1011,0.1509890656600985,0.04849134016616896,0.03657866666666667,"('ProfCurv', 'PlnCurv', 'TPI')",1
1076,0.15077966744947446,0.04849731969684282,0.03646600000000001,"('ProfCurv', 'PlnCurv', 'TWI', 'Texture')",1
1142,0.14997648326089463,0.04852024841925963,0.03802733333333332,"('ProfCurv', 'TPI')",1
1207,0.14874916691865936,0.04855526404692561,0.03893333333333334,"('PlnCurv', 'TPI', 'TWI', 'Texture', 'NDVI')",1
1276,0.14861039053649683,0.048559221781243576,0.038807,"('ProfCurv', 'TWI', 'Texture')",1
1341,0.14605767585726515,0.048631964659744786,0.038169333333333326,"('TWI',)",2
1342,0.14530761871377762,0.048653317826799394,0.03759833333333333,"('PlnCurv', 'TPI', 'TWI', 'Texture')",1
