,R2 (Validation),RMSE,MAE,Input Parameters,Class Quantity
0,0.3172605081594777,0.04348455774591553,0.035391889695344,"('TWI', 'NDVI')",7
1,0.2892364054650267,0.04436802865667045,0.03347964460690915,"('TWI', 'NDVI')",8
2,0.2578969648465532,0.04533562936447498,0.03679020865318832,"('TWI',)",2
3,0.2214655895791623,0.04643510710035482,0.03955082930114948,"('ProfCurv', 'PlnCurv', 'TWI', 'Texture', 'NDVI')",7
4,0.22054089864740645,0.04646267516907928,0.037821579209136175,"('DEM_QGIS', 'TWI')",5
5,0.2087036102184433,0.04681414946289344,0.03759666702013014,"('TWI',)",1
80,0.20664284758966722,0.046875068558363216,0.036700503293183674,"('TWI', 'Texture')",6
81,0.20569544355098524,0.046903048629425306,0.037408730023268465,"('DEM_QGIS', 'TWI')",1
153,0.20067702946315702,0.04705098200528559,0.038413574631993797,"('DEM_QGIS', 'ProfCurv', 'TWI')",3
154,0.1810453787800128,0.04762527146377342,0.034297439014611006,"('PlnCurv', 'TWI')",1
226,0.17955679919988965,0.04766853504562497,0.03577692099219446,"('ProfCurv', 'PlnCurv', 'TWI')",3
227,0.1769782361293849,0.047743384771547215,0.04022633297642404,"('ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'Texture', 'NDVI')",7
228,0.17507664560443603,0.047798508457817225,0.03685588105749216,"('TWI', 'Texture')",3
229,0.17348446218284264,0.04784461413883674,0.03706510902671788,"('DEM_QGIS', 'TPI', 'TWI', 'Texture')",4
230,0.17316133525185762,0.047853965670601906,0.040175080631560875,"('ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'Texture')",7
231,0.17261965575747362,0.04786963817661251,0.035930655801382626,"('ProfCurv', 'PlnCurv', 'TWI')",1
296,0.1650415379486625,0.048088361580704835,0.037161746076064095,"('TWI', 'Texture')",1
359,0.16216176014528927,0.04817121875273251,0.03574561812909525,"('DEM_QGIS', 'PlnCurv', 'TWI')",2
360,0.16015630933298997,0.04822883564451061,0.039616463110293224,"('ProfCurv', 'TWI')",2
361,0.15752913572459826,0.048304210735828704,0.036215778929278096,"('DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI')",4
362,0.1573601216849989,0.048309055817545715,0.03901329592496551,"('DEM_QGIS', 'TPI', 'TWI')",4
363,0.15730776119523215,0.048310556723564047,0.039723041719132865,"('ProfCurv', 'TWI')",1
426,0.1547293808033472,0.04838440803651843,0.038997364002544,"('DEM_QGIS', 'ProfCurv', 'TWI')",2
427,0.15378909076434355,0.04841131227908109,0.037141899226640206,"('DEM_QGIS', 'TWI', 'Texture')",1
490,0.1517132558474158,0.04847065465847036,0.03596118189484554,"('DEM_QGIS', 'PlnCurv', 'TWI')",1
554,0.15016047004406718,0.04851499705422877,0.039094570245230345,"('DEM_QGIS', 'ProfCurv', 'TWI')",1
619,0.1460763133046239,0.04863143395608884,0.03798340755016454,"('DEM_QGIS', 'TWI', 'Texture')",4
620,0.13749639379082013,0.048875138940588876,0.03733587603812373,"('ProfCurv', 'PlnCurv')",18
621,0.12914432733549808,0.049111210383329953,0.04098565982163913,"('ProfCurv', 'TPI')",3
622,0.12868858813368467,0.049124059226740395,0.040069033506835425,"('DEM_QGIS', 'ProfCurv', 'TWI', 'Texture')",3
623,0.12626827836107835,0.04919223978032141,0.03872953449357387,"('ProfCurv', 'TWI', 'Texture')",1
688,0.1189545102528895,0.04939769807728874,0.03483805971138184,"('ProfCurv', 'PlnCurv', 'TWI', 'Texture')",4
689,0.11853006992026505,0.04940959522172497,0.03606809517039881,"('DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI')",1
755,0.1173628644934599,0.04944229745404959,0.037902566910404493,"('ProfCurv', 'TWI', 'Texture')",5
756,0.1107731878828353,0.04962651976014989,0.03793468170706396,"('DEM_QGIS', 'PlnCurv', 'TWI')",6
757,0.10772933449773003,0.04971138382495269,0.03873249344876151,"('DEM_QGIS', 'ProfCurv')",12
758,0.10690360726058856,0.04973438051917571,0.035240171420895375,"('PlnCurv', 'TWI', 'Texture')",1
822,0.10485067193669084,0.049791509212289795,0.03484657179171583,"('PlnCurv', 'TWI', 'Texture')",5
823,0.09995716143104616,0.04992742127493761,0.0380831265470329,"('DEM_QGIS', 'PlnCurv', 'TWI')",6
824,0.09834040406848954,0.04997224375737957,0.03780077038436264,"('ProfCurv', 'TPI', 'Texture')",8
825,0.09799847877669587,0.04998171803930962,0.03937065068265437,"('ProfCurv', 'Texture')",3
826,0.09754062995924939,0.049994401591805626,0.03619526851881357,"('DEM_QGIS', 'PlnCurv', 'TWI', 'Texture')",1
890,0.09601241400681237,0.050036713704258266,0.03814985766566413,"('DEM_QGIS', 'ProfCurv', 'TWI', 'Texture')",1
955,0.09390635527888147,0.05009496613681908,0.03954784580718028,"('DEM_QGIS', 'ProfCurv', 'TWI')",2
956,0.0937216487215895,0.05010007178858424,0.04157994374610376,"('TWI', 'NDVI')",14
957,0.09330731274036874,0.05011152295605955,0.03770149833566384,"('DEM_QGIS', 'ProfCurv', 'TWI', 'Texture')",5
958,0.08896968623775825,0.050231246939698625,0.03971304473391521,"('DEM_QGIS', 'PlnCurv', 'TPI', 'TWI', 'Texture')",3
959,0.08619926287778035,0.050307565027781706,0.038243419394215314,"('DEM_QGIS', 'ProfCurv', 'TWI', 'Texture', 'NDVI')",2
960,0.08456107866658447,0.050352638396994755,0.03854742021237455,"('DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'TWI')",2
961,0.08128279373491176,0.05044271692233389,0.03962226797755499,"('DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'NDVI')",3
963,0.07906984275752749,0.050503432080124866,0.03813140521574617,"('Texture', 'NDVI')",2
964,0.07641251373426539,0.05057624301110156,0.03867763593112846,"('ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'Texture')",3
965,0.07439609021663252,0.050631423231893666,0.040171051038390915,"('DEM_QGIS', 'TPI', 'Texture', 'NDVI')",10
966,0.07179427673618244,0.050702534143570455,0.035211394721177236,"('ProfCurv', 'PlnCurv', 'TWI', 'Texture')",1
1032,0.07174059163644286,0.05070400037631255,0.0388408093820129,"('PlnCurv', 'TPI', 'Texture')",3
1035,0.07050102755924126,0.05073784322707035,0.03999279729738481,"('TWI', 'Texture', 'NDVI')",3
1036,0.0702554542862891,0.05074454524381781,0.03915392843884366,"('ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'Texture', 'NDVI')",4
1037,0.06942637990529987,0.05076716523545539,0.03679940931843155,"('DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'Texture', 'NDVI')",6
1038,0.06919899457748568,0.05077336732584936,0.03928453515110879,"('ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'Texture', 'NDVI')",4
