,R2 (Validation),RMSE,MAE,Input Parameters,Class Quantity
0,0.12326445093770477,0.04927672693562926,0.03865216837853299,"('TWI', 'NDVI')",2
6,-0.00042651272921268024,0.052638092331727004,0.040053042495246764,"('ProfCurv',)",1
84,-0.0043056953511859675,0.052740046454506015,0.03937550047110612,"('PlnCurv',)",1
165,-0.004352216668743081,0.05274126794914057,0.03970870655629998,"('TWI',)",1
246,-0.0047935704240194,0.05275285501967389,0.03976503924389246,"('ProfCurv', 'TWI')",1
318,-0.009831067874454424,0.05288492698961341,0.039870198374562515,"('ProfCurv', 'PlnCurv')",1
390,-0.012142587574143215,0.05294541962023723,0.03929870372056177,"('PlnCurv', 'TWI')",1
462,-0.016331398881025416,0.05305486535840423,0.03979428252514677,"('ProfCurv', 'PlnCurv', 'TWI')",1
525,-0.02443370082630336,0.053265925058964936,0.03858888459734265,"('PlnCurv', 'Texture')",2
534,-0.057597467835421634,0.054121240996014085,0.04056305708761611,"('PlnCurv', 'NDVI')",1
606,-0.06153714550429079,0.05422195135712439,0.04110333077016803,"('NDVI',)",1
687,-0.0622797297778821,0.054240913166135024,0.041014638248044646,"('ProfCurv', 'NDVI')",1
759,-0.0628407219903393,0.05425523364722907,0.04090997573457453,"('ProfCurv', 'PlnCurv', 'NDVI')",1
831,-0.06420077154100978,0.054289936031923426,0.0412328979936897,"('DEM_QGIS', 'ProfCurv')",1
903,-0.0682043398782961,0.05439196068512956,0.03921873328564525,"('DEM_QGIS', 'ProfCurv', 'PlnCurv')",1
975,-0.06848981847829694,0.054399228350545184,0.04085400135984378,"('DEM_QGIS', 'PlnCurv')",1
1047,-0.06922394958345479,0.05441791327740312,0.04162607271933357,"('DEM_QGIS',)",1
1128,-0.0693621361047605,0.05442142964980838,0.040304240689556216,"('PlnCurv', 'TWI', 'NDVI')",1
1200,-0.07079690339346412,0.054457926132724196,0.04071649447861929,"('TWI', 'NDVI')",1
1272,-0.07089532265369924,0.05446042874813007,0.040681044571184447,"('ProfCurv', 'TWI', 'NDVI')",1
1344,-0.07290605675439221,0.05451153275648425,0.040836161785000644,"('ProfCurv', 'PlnCurv', 'TWI', 'NDVI')",1
1407,-0.07607575723111792,0.05459199544145953,0.04071387821023981,"('DEM_QGIS', 'PlnCurv', 'TPI', 'NDVI')",2
1408,-0.07888413351365586,0.05466318697375549,0.039655815055676995,"('PlnCurv', 'Texture')",1
1471,-0.07985510036743149,0.05468777914478593,0.04120800796756676,"('PlnCurv', 'TWI', 'NDVI')",2
1473,-0.08054022048034937,0.05470512487774448,0.0384470011319938,"('DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'NDVI')",2
1474,-0.0812006955801512,0.05472184144809175,0.040592857140258495,"('Texture',)",1
1537,-0.08214663883669271,0.05474577430349413,0.04047209578326914,"('ProfCurv', 'Texture')",1
1600,-0.08519745070418039,0.054822890242143964,0.040190904151389026,"('PlnCurv', 'Texture', 'NDVI')",1
1663,-0.08526662803364293,0.054824637592683884,0.04436940278053282,"('ProfCurv', 'PlnCurv', 'NDVI')",2
1665,-0.08734789089547368,0.05487718220513393,0.0402851576986021,"('TWI', 'Texture')",1
1728,-0.08763660702016884,0.05488446730492582,0.04023148925040254,"('ProfCurv', 'TWI', 'Texture')",1
1791,-0.08805782293552666,0.054895094003739965,0.04122686782882599,"('Texture', 'NDVI')",1
1854,-0.08870580708607045,0.0549114377382617,0.039715714907522126,"('PlnCurv', 'TWI', 'Texture')",1
1917,-0.08949659070506666,0.05493137663402738,0.040225689219414704,"('ProfCurv', 'PlnCurv', 'Texture')",1
1980,-0.08965029840998562,0.05493525139514305,0.04105519799585372,"('ProfCurv', 'Texture', 'NDVI')",1
2043,-0.08985349377710339,0.05494037325315867,0.03937348729736963,"('DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI')",1
2106,-0.09093007243498774,0.05496750214435832,0.03970428870605132,"('ProfCurv', 'PlnCurv', 'TPI')",1
2169,-0.09418737595952331,0.0550495020787227,0.04079730463722294,"('ProfCurv', 'PlnCurv', 'Texture', 'NDVI')",1
2232,-0.09534451602952654,0.05507860273998357,0.03994383633920223,"('PlnCurv', 'TPI')",1
2304,-0.09647419680222535,0.05510699800874644,0.04489730893699365,"('ProfCurv', 'PlnCurv', 'NDVI')",2
2307,-0.09709604953160977,0.05512262244380365,0.040258727441209244,"('PlnCurv', 'TWI', 'Texture', 'NDVI')",1
2370,-0.09727253106790101,0.05512705584501152,0.040902146094000835,"('TWI', 'Texture', 'NDVI')",1
2433,-0.09732985921739234,0.05512849591150886,0.04613248622392626,"('PlnCurv', 'TWI')",3
2436,-0.09733680534282607,0.05512867039361119,0.040143062239017216,"('ProfCurv', 'PlnCurv', 'TWI', 'Texture')",1
2499,-0.09736477421503298,0.055129372947697104,0.0421154644972335,"('PlnCurv', 'TWI', 'NDVI')",2
2500,-0.09755447313521604,0.05513413778562589,0.040972677156568604,"('TPI',)",1
2503,-0.09755447313521604,0.05513413778562589,0.040972677156568604,"('TPI',)",2
2581,-0.09783111650674026,0.05514108574727298,0.04080505268039907,"('ProfCurv', 'TWI', 'Texture', 'NDVI')",1
2644,-0.09997192847944292,0.055194823158223445,0.04061327024495639,"('DEM_QGIS', 'PlnCurv', 'Texture')",1
2707,-0.10008040751740022,0.05519754474299648,0.04085425358792262,"('DEM_QGIS', 'ProfCurv', 'Texture')",1
2770,-0.10146171231703249,0.05523218798999229,0.04131502632995038,"('DEM_QGIS', 'ProfCurv', 'TPI')",1
2833,-0.10232956320856812,0.055253942656998796,0.039336571843958376,"('DEM_QGIS', 'ProfCurv', 'PlnCurv', 'Texture')",1
2896,-0.10316873915258218,0.05527497037853347,0.0407618847834083,"('DEM_QGIS', 'ProfCurv', 'PlnCurv', 'NDVI')",1
2968,-0.1035558574853721,0.05528466793282988,0.03960443047128017,"('ProfCurv', 'PlnCurv', 'TPI', 'TWI')",1
3031,-0.1036018142145172,0.05528581906443865,0.04142692973184881,"('DEM_QGIS', 'Texture')",1
3094,-0.10392341877315592,0.055293873996957364,0.04071888867936142,"('ProfCurv', 'PlnCurv', 'TWI', 'Texture', 'NDVI')",1
3157,-0.10400867754349119,0.05529600919791575,0.0411110897705661,"('ProfCurv', 'TPI')",1
3164,-0.10400867754349119,0.05529600919791575,0.0411110897705661,"('ProfCurv', 'TPI')",2
3229,-0.10506970685333727,0.05532257447669683,0.0405591330418289,"('TPI', 'TWI')",1
3301,-0.10545940035572321,0.055332328136295746,0.042737077905174746,"('DEM_QGIS', 'ProfCurv', 'NDVI')",1
3373,-0.10576026678567096,0.05533985736235918,0.04252684091048623,"('DEM_QGIS', 'PlnCurv', 'NDVI')",1
3445,-0.10615078513964193,0.05534962861336956,0.04515039017791028,"('ProfCurv', 'PlnCurv', 'NDVI')",2
3446,-0.10714508094345443,0.05537449933739788,0.03945820881468483,"('PlnCurv', 'TPI', 'TWI')",2
3454,-0.10714508094345443,0.05537449933739788,0.03945820881468483,"('PlnCurv', 'TPI', 'TWI')",1
3517,-0.10718720406070936,0.05537555273337223,0.041270746458864895,"('DEM_QGIS', 'PlnCurv', 'TPI')",2
3525,-0.10718720406070936,0.05537555273337223,0.041270746458864895,"('DEM_QGIS', 'PlnCurv', 'TPI')",1
3588,-0.10903990295992405,0.05542186438797433,0.040571426988994255,"('DEM_QGIS', 'ProfCurv', 'PlnCurv', 'Texture', 'NDVI')",1
3651,-0.109098942148937,0.05542333954606957,0.042545283330060454,"('DEM_QGIS', 'ProfCurv', 'Texture', 'NDVI')",1
3714,-0.10939235567577388,0.055430670218527725,0.04233699684102664,"('DEM_QGIS', 'PlnCurv', 'Texture', 'NDVI')",1
3777,-0.10997620907275807,0.055445254386153706,0.043285903793560274,"('DEM_QGIS', 'NDVI')",2
3784,-0.10997620907275807,0.055445254386153706,0.043285903793560274,"('DEM_QGIS', 'NDVI')",1
3856,-0.1105330055449143,0.055459159121777395,0.04184086105985722,"('DEM_QGIS', 'TPI')",1
3864,-0.1105330055449143,0.055459159121777395,0.04184086105985722,"('DEM_QGIS', 'TPI')",2
3928,-0.11290588461180873,0.055518377378101634,0.04314280202960087,"('DEM_QGIS', 'Texture', 'NDVI')",1
3991,-0.11514613271813423,0.05557422774856601,0.040674728916689,"('ProfCurv', 'TPI', 'TWI')",1
4054,-0.11530072381339473,0.05557807970247379,0.04076726332200501,"('PlnCurv', 'TPI')",2
4057,-0.12310901170598543,0.055772293120852134,0.04546039637257117,"('ProfCurv', 'PlnCurv', 'NDVI')",2
4058,-0.1308426582188682,0.055963985657472154,0.046755403495471456,"('PlnCurv', 'NDVI')",2
4059,-0.13240565383134362,0.056002647649737204,0.03905637929706324,"('DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'Texture')",1
4122,-0.13443836025429445,0.056052888436554184,0.04264392660865554,"('DEM_QGIS', 'PlnCurv', 'TPI')",2
4123,-0.1349254675317626,0.05606492119237863,0.04038465222914163,"('ProfCurv', 'TPI', 'Texture')",2
4129,-0.1349254675317626,0.05606492119237863,0.04038465222914163,"('ProfCurv', 'TPI', 'Texture')",3
4132,-0.13700313540914832,0.05611621576059797,0.042740080082670974,"('DEM_QGIS', 'ProfCurv', 'TWI')",1
4195,-0.1382574667982701,0.05614716067466059,0.04078549437775484,"('DEM_QGIS', 'PlnCurv', 'TPI', 'Texture')",3
4198,-0.1427192330707998,0.0562570964761111,0.04319872352220464,"('DEM_QGIS', 'TWI')",1
4275,-0.14760210089881287,0.05637716234099664,0.041531494000642634,"('DEM_QGIS', 'ProfCurv', 'TPI', 'Texture')",1
4338,-0.148186203387644,0.05639150784094069,0.04187240662847622,"('DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'NDVI')",1
4404,-0.15107141448390804,0.05646231487604764,0.04131024140953843,"('DEM_QGIS', 'PlnCurv', 'TPI', 'Texture')",1
4467,-0.1523680697242924,0.056494107668920025,0.04167967898965506,"('DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI')",1
4530,-0.15317742457075045,0.05651394323857912,0.041524364362110544,"('DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'Texture', 'NDVI')",1
4597,-0.15407801814705602,0.05653600669559938,0.04249990300750337,"('DEM_QGIS', 'PlnCurv', 'TWI')",1
4669,-0.15445024883395964,0.05654512338427092,0.03894781132060698,"('DEM_QGIS', 'ProfCurv', 'NDVI')",2
4672,-0.15570873443548394,0.05657593538363583,0.043909727261295675,"('DEM_QGIS', 'PlnCurv', 'TPI', 'Texture', 'NDVI')",3
4674,-0.155842303066682,0.056579204612160226,0.04245695097609694,"('PlnCurv', 'TPI')",2
4675,-0.15729225251558798,0.05661468145643862,0.0376320934693777,"('PlnCurv', 'TPI')",2
4676,-0.15800063748892867,0.056632005885200364,0.04221201251891647,"('DEM_QGIS', 'TPI', 'Texture')",1
4739,-0.16320989405987207,0.05675924226471444,0.042435323502547244,"('DEM_QGIS', 'ProfCurv', 'TWI', 'Texture')",1
4802,-0.1665188899303227,0.05683991674927839,0.04371039030927768,"('DEM_QGIS', 'ProfCurv', 'TPI', 'NDVI')",1
4865,-0.16749366452427505,0.05686366027258204,0.040714558511571526,"('DEM_QGIS', 'ProfCurv', 'TPI', 'Texture')",2
4867,-0.16893555638432045,0.056898763653242576,0.043033614585936505,"('DEM_QGIS', 'TWI', 'Texture')",1
4930,-0.16981719286215635,0.05692021674797204,0.04352305382026443,"('DEM_QGIS', 'ProfCurv', 'TPI', 'Texture', 'NDVI')",1
4993,-0.17203406280559097,0.056974124740276445,0.04165164066130872,"('DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'TWI')",1
5059,-0.1724927021926459,0.05698527118329766,0.03893747550248615,"('ProfCurv', 'PlnCurv')",2
5061,-0.17312605125723368,0.05700066006184835,0.0434298422104355,"('DEM_QGIS', 'PlnCurv', 'TPI', 'NDVI')",2
5069,-0.17312605125723368,0.05700066006184835,0.0434298422104355,"('DEM_QGIS', 'PlnCurv', 'TPI', 'NDVI')",1
5132,-0.17331491949647537,0.05700524830751063,0.040539607891848295,"('DEM_QGIS', 'ProfCurv', 'NDVI')",2
5133,-0.17392313658467384,0.057020021440242416,0.043223874099780166,"('DEM_QGIS', 'ProfCurv', 'TPI', 'TWI')",1
5196,-0.1763428525547297,0.05707875664509452,0.04248563822242562,"('DEM_QGIS', 'PlnCurv', 'TWI', 'Texture')",1
5259,-0.17645606534193203,0.057081503246412466,0.0418789636903706,"('DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI', 'Texture')",1
5322,-0.17653355994276754,0.05708338322969294,0.04324821780423542,"('DEM_QGIS', 'PlnCurv', 'TPI', 'Texture', 'NDVI')",1
5385,-0.17918197648384293,0.057147595420060725,0.04348876667176177,"('DEM_QGIS', 'TPI', 'TWI')",2
5393,-0.17918197648384293,0.057147595420060725,0.04348876667176177,"('DEM_QGIS', 'TPI', 'TWI')",1
5456,-0.1799274524142851,0.057165656850188026,0.04202416455189404,"('DEM_QGIS', 'PlnCurv', 'TPI')",2
5457,-0.1801003447411753,0.057169844879454146,0.044139599174081064,"('DEM_QGIS', 'TPI', 'NDVI')",1
5463,-0.1801003447411753,0.057169844879454146,0.044139599174081064,"('DEM_QGIS', 'TPI', 'NDVI')",2
5529,-0.18122501464363006,0.057197080653161966,0.044303501086789966,"('DEM_QGIS', 'ProfCurv', 'Texture')",2
5538,-0.18142510877413298,0.05720192491032953,0.040063941997183966,"('ProfCurv', 'PlnCurv', 'TPI', 'Texture')",1
5601,-0.1828795816115616,0.05723712521813625,0.0439985325468904,"('DEM_QGIS', 'TPI', 'Texture', 'NDVI')",1
5664,-0.18406875418257362,0.05726588880585569,0.049725604826169535,"('DEM_QGIS', 'PlnCurv')",2
5665,-0.18575876235231092,0.057306741717065283,0.04059623943013744,"('PlnCurv', 'TPI', 'TWI')",2
5666,-0.18702484093217042,0.057337327820846586,0.042902655869787795,"('DEM_QGIS', 'PlnCurv', 'TPI', 'TWI')",2
5674,-0.18702484093217042,0.057337327820846586,0.042902655869787795,"('DEM_QGIS', 'PlnCurv', 'TPI', 'TWI')",1
5737,-0.1872111346350629,0.057341826953333855,0.039799971467065445,"('PlnCurv', 'TPI', 'Texture')",1
5800,-0.18853362001146112,0.057373755823664635,0.04251255068702613,"('ProfCurv', 'PlnCurv', 'TPI', 'NDVI')",1
5863,-0.18900804245174063,0.057385205513039765,0.04483092866665096,"('DEM_QGIS', 'ProfCurv', 'TWI', 'NDVI')",1
5926,-0.18946082234857453,0.05739613075213635,0.04475999280944519,"('DEM_QGIS', 'ProfCurv', 'TWI', 'Texture', 'NDVI')",1
5989,-0.19209772168681938,0.05745971587784169,0.04118966296051861,"('DEM_QGIS', 'ProfCurv', 'NDVI')",2
