,R2 (Validation),RMSE,MAE,Input Parameters,Class Quantity
0,0.4647611233941483,0.038501829854717416,0.029203428156176197,['TWI'],7
1,0.365334461198655,0.04192566926054932,0.03393767488037969,"['PlnCurv', 'TPI', 'TWI', 'Texture']",4
2,0.34022226833675107,0.042747071927710885,0.032928070967043255,"['ProfCurv', 'TWI']",3
3,0.31243184008147096,0.04363805886045298,0.03330879016737203,['TWI'],6
4,0.304639904502363,0.043884628612864685,0.029500434291365986,"['PlnCurv', 'TWI']",7
5,0.3030345940824686,0.04393525550354317,0.03422162028348173,"['TPI', 'TWI']",3
6,0.29622437221284414,0.044149384837435274,0.03412791681796105,"['PlnCurv', 'TPI', 'TWI']",2
7,0.28464319697839346,0.04451115882212688,0.03665569870149379,"['DEM_QGIS', 'PlnCurv', 'TWI']",6
8,0.2711987601983813,0.044927483834943015,0.036523819837982544,"['DEM_QGIS', 'TWI']",5
9,0.2584023647997724,0.045320189104637566,0.03472464752739603,"['PlnCurv', 'TWI']",4
10,0.25735876501920596,0.04535206589988343,0.03661619890734911,"['TWI', 'Texture', 'NDVI']",7
11,0.25711769026731857,0.045359426352267314,0.03398803093141931,['TWI'],3
12,0.23959177810930865,0.045891362000333835,0.03868842566059185,"['TWI', 'Texture', 'NDVI']",6
13,0.2270541105266386,0.046268145344954166,0.0368888470743581,"['DEM_QGIS', 'TWI']",4
14,0.22210087954151325,0.04641615753466479,0.03273398956541669,"['PlnCurv', 'TWI']",6
15,0.21973935625880014,0.04648655854811776,0.034183252793386465,"['ProfCurv', 'PlnCurv']",4
16,0.2175568894646004,0.046551526918028815,0.03814549899994811,"['TWI', 'NDVI']",6
17,0.21447969941053502,0.04664297595039176,0.03668225599624471,"['PlnCurv', 'TWI', 'Texture', 'NDVI']",8
18,0.2144542868331366,0.046643730423986556,0.03600922165055677,"['PlnCurv', 'TWI', 'Texture', 'NDVI']",9
19,0.20734299170848125,0.0468543801789287,0.03319251200948714,['Texture'],3
20,0.20193030575202175,0.04701408139396134,0.03718043829876358,['ProfCurv'],5
21,0.20098709976413054,0.04704185520185202,0.035976992737165106,"['ProfCurv', 'PlnCurv', 'TPI', 'TWI']",3
22,0.19795064804832074,0.04713115593265744,0.038804495587433104,"['DEM_QGIS', 'TPI', 'TWI']",5
23,0.1891561895138426,0.047388847654008526,0.03733634443339044,['TWI'],5
24,0.18453192148860753,0.047523785590945625,0.03888681436555665,"['TPI', 'NDVI']",4
25,0.18233477798391085,0.0475877650040479,0.03830419207770209,"['ProfCurv', 'PlnCurv', 'TWI']",9
26,0.17857603486065665,0.047697018209216825,0.03483579678704103,"['ProfCurv', 'TPI', 'TWI', 'Texture']",2
27,0.16779469939288272,0.048009013716126425,0.03670320139979024,"['ProfCurv', 'TPI', 'TWI']",2
