,R2 (Validation),RMSE,MAE,Input Parameters,Class Quantity
0,0.6394765305039546,0.0315990711030068,0.024974733026452513,"['PlnCurv', 'TWI']",7
1,0.5407058043006522,0.035665886547672804,0.02999377654416584,"['PlnCurv', 'TWI']",6
2,0.526594962735708,0.03620962128556743,0.02911409325039107,"['ProfCurv', 'PlnCurv', 'TWI']",9
3,0.5061907942603479,0.0369817225613068,0.03065722828777393,"['DEM_QGIS', 'PlnCurv', 'TWI']",8
4,0.5009243916357613,0.03717840188174434,0.03147863122278908,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI']",6
5,0.4751430802803077,0.03812659392266983,0.0317950894331915,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI']",9
6,0.4439581115497274,0.03924291864436524,0.034172792872255574,"['DEM_QGIS', 'PlnCurv', 'TWI']",9
7,0.4298041363709091,0.039739241770054376,0.03639992218728161,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI']",4
8,0.4228355660045162,0.03998133816968195,0.029816178571257644,"['PlnCurv', 'TWI']",9
9,0.40671630545925364,0.04053580028017048,0.030073144332713454,"['ProfCurv', 'PlnCurv', 'TWI']",4
10,0.4066266411770326,0.04053886329720044,0.03295625118679589,"['PlnCurv', 'TWI']",4
11,0.377734163917094,0.04151409015373292,0.03076890130463878,"['ProfCurv', 'TWI', 'Texture']",4
12,0.3756621554435855,0.04158314911187449,0.03270370144311509,"['DEM_QGIS', 'PlnCurv', 'TWI']",6
13,0.37374490091499724,0.04164694819836245,0.035596057062659246,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI']",5
14,0.3661747963693317,0.041897904018703046,0.03605509727304992,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'TWI']",4
15,0.35090309624487426,0.04239965413690186,0.03356787111243723,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI']",8
16,0.34810644016736936,0.04249089613838423,0.036225132599785825,"['ProfCurv', 'PlnCurv', 'TWI']",6
17,0.33597773376159057,0.04288435342051423,0.03375166248822771,"['DEM_QGIS', 'PlnCurv', 'TWI']",5
18,0.3147245377000083,0.04356524250411993,0.03506742724673374,['PlnCurv'],7
19,0.3142507124531869,0.04358030122570929,0.03399195623319828,"['ProfCurv', 'TWI', 'Texture']",5
20,0.3065596247779405,0.04382400934659361,0.02989720386668261,"['PlnCurv', 'TWI']",8
21,0.3000737097070598,0.044028480606497174,0.03434476102511539,"['ProfCurv', 'PlnCurv', 'TWI']",7
22,0.2974394318790393,0.04411125669781706,0.034960739413962896,"['PlnCurv', 'TWI']",2
23,0.28805793486027564,0.044404795285364916,0.036325419512904966,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI']",2
24,0.27830126185633874,0.04470802840574002,0.03372554653529032,"['PlnCurv', 'TWI']",1
25,0.2773600753256349,0.044737171372127044,0.03655174123673361,"['DEM_QGIS', 'PlnCurv', 'TPI', 'TWI']",6
26,0.2770298580836017,0.04474739174437861,0.03606067373283588,"['DEM_QGIS', 'PlnCurv', 'TWI']",1
27,0.27479868972818733,0.044816386332595284,0.03540106349818674,['TWI'],8
28,0.2647389538178041,0.04512615430925986,0.035265726049689014,"['ProfCurv', 'TWI']",3
29,0.2637803249106684,0.045155562330475664,0.03563976387996859,['TWI'],9
30,0.25981060516113863,0.0452771387742012,0.03698216447321119,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI']",7
31,0.2590902150834269,0.04529916642646562,0.03572824499462625,"['ProfCurv', 'TWI', 'Texture']",7
32,0.2589894444234937,0.045302246876868554,0.03724705795026049,['PlnCurv'],6
33,0.24988273108338477,0.04557976976165628,0.03674624916152017,['PlnCurv'],5
34,0.24952750871015517,0.04559056076613023,0.034675174314107375,"['ProfCurv', 'PlnCurv', 'TWI', 'NDVI']",3
35,0.24491170800508322,0.045730548814829144,0.03675224595919443,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI']",1
36,0.24172643810793226,0.045826902345639145,0.03646240259706305,"['DEM_QGIS', 'PlnCurv', 'TPI', 'TWI']",3
37,0.24006570435995356,0.04587705882056931,0.03809341745669162,"['DEM_QGIS', 'PlnCurv', 'TWI']",4
38,0.23939273333379152,0.04589736787842956,0.03742034588927512,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'NDVI']",9
39,0.2312761781282323,0.04614160690752191,0.036470932735046105,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI']",4
40,0.23117174674819863,0.04614474097720154,0.0366981604603287,"['DEM_QGIS', 'ProfCurv', 'TWI']",5
41,0.22831231392652163,0.04623047230185983,0.038277520405300317,['ProfCurv'],5
42,0.22715079367278346,0.046265251552637,0.03814526550473377,"['DEM_QGIS', 'TPI']",8
43,0.226436758815721,0.04628661883572253,0.03555381216148201,"['ProfCurv', 'PlnCurv', 'TWI']",1
44,0.22019789847035875,0.04647289697092516,0.03610678823844969,"['DEM_QGIS', 'PlnCurv', 'TWI', 'Texture']",6
45,0.20657078108316573,0.04687719751485606,0.0376782960037194,['TWI'],4
46,0.20653242268957028,0.04687833064193146,0.040644921565276236,"['ProfCurv', 'TWI']",5
47,0.20583877335820278,0.04689881668327878,0.03494504488679122,['PlnCurv'],1
48,0.20090124896708894,0.047044382365234234,0.03811668649440554,"['TWI', 'Texture']",3
49,0.2000634184320894,0.04706903820032033,0.04010776057031921,"['DEM_QGIS', 'PlnCurv', 'TWI']",2
50,0.19893817936976244,0.04710213164119802,0.04091709543152612,"['ProfCurv', 'TWI']",6
51,0.19769889040646615,0.0471385524212017,0.03774586027226974,"['DEM_QGIS', 'ProfCurv']",9
52,0.19583243898639824,0.047193351490318614,0.03540637659795244,"['PlnCurv', 'TWI']",5
53,0.19426526873597727,0.047239314559217475,0.03633940659867306,"['TPI', 'TWI']",5
54,0.1910668315516182,0.047332982070328426,0.03851829406725123,"['DEM_QGIS', 'TWI']",6
55,0.19077469889983178,0.04734152805530005,0.036449670254796424,['PlnCurv'],2
56,0.19058175381458708,0.04734717158296831,0.037407509961656524,"['PlnCurv', 'TWI', 'NDVI']",9
57,0.1898044589326794,0.04736990018034434,0.03726145879627299,"['DEM_QGIS', 'ProfCurv', 'TWI']",4
58,0.186731492908347,0.047459649086194294,0.04051042892446824,"['DEM_QGIS', 'ProfCurv', 'PlnCurv']",3
59,0.1850091099862743,0.04750987877900647,0.03873742689789335,"['DEM_QGIS', 'ProfCurv', 'TWI']",3
