,R2 (Validation),RMSE,MAE,Input Parameters,Class Quantity
0,0.4228264774688173,0.039981652958992725,0.031812666666666656,['TWI'],6
1,0.37802084486107357,0.04150452617887995,0.03294133333333331,['TWI'],7
2,0.3650678946874867,0.041934472957487146,0.03382533333333333,['TWI'],5
3,0.3492418411686854,0.042453876880942494,0.03469333333333335,"['PlnCurv', 'TPI', 'TWI', 'Texture']",4
4,0.2940502046283465,0.04421752739456255,0.03373000000000002,"['DEM_QGIS', 'ProfCurv', 'TWI', 'Texture']",8
5,0.2893174813938896,0.044365498081279334,0.03502966666666667,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI']",6
6,0.2813269926377926,0.04461421049147656,0.03597866666666666,"['TWI', 'Texture']",6
7,0.27825400072112627,0.04470949225587087,0.036562,"['TWI', 'Texture']",7
8,0.2767485322473312,0.044756097064472054,0.03468033333333334,"['ProfCurv', 'PlnCurv', 'TPI', 'TWI']",3
9,0.2767014959608406,0.044757552385665096,0.03594833333333334,"['TPI', 'TWI']",3
10,0.27022693130695874,0.044957428406092,0.034594666666666676,"['TWI', 'Texture']",3
11,0.263802129378473,0.04515489364398944,0.036011,['ProfCurv'],5
12,0.26349374651158985,0.045164350026689545,0.034013666666666664,['TWI'],3
13,0.24043239571877695,0.04586598894848144,0.035317999999999995,"['PlnCurv', 'TWI']",4
14,0.23491783523719711,0.046032184393096094,0.03737400000000002,"['DEM_QGIS', 'PlnCurv', 'TWI']",6
15,0.22960659103366265,0.04619168708280263,0.038118,"['TPI', 'TWI']",4
16,0.22657616141192283,0.04628244802898347,0.03349400000000002,"['PlnCurv', 'TWI']",9
17,0.21952352671852948,0.04649298747601024,0.03471866666666666,"['ProfCurv', 'PlnCurv', 'TWI']",1
18,0.21939949059802832,0.04649668174540343,0.03888933333333333,"['TPI', 'TWI', 'Texture']",3
19,0.21831017635498262,0.046529113084653184,0.034328000000000004,"['PlnCurv', 'TWI']",1
20,0.2162280724716833,0.046591039195679376,0.03644466666666666,['TWI'],4
21,0.2159090494322511,0.046600520335673884,0.037801666666666664,"['ProfCurv', 'TPI', 'TWI', 'Texture']",3
22,0.2147086861611459,0.04663617701598907,0.03577766666666667,"['PlnCurv', 'TPI', 'TWI']",3
23,0.20948697314030384,0.0467909713275732,0.03762099999999999,"['DEM_QGIS', 'PlnCurv', 'TPI', 'TWI', 'NDVI']",9
24,0.20856470663752025,0.046818258143117165,0.030227000000000004,"['PlnCurv', 'TWI']",6
25,0.20080782908405437,0.047047132183233725,0.03578033333333334,"['ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'Texture']",3
26,0.1976689990436804,0.04713943053443805,0.038993333333333324,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI', 'NDVI']",8
27,0.19255886621704066,0.04728931032602517,0.03668800000000001,"['TPI', 'TWI']",5
28,0.19161145357085319,0.047317045695323516,0.031059999999999997,"['PlnCurv', 'TWI']",7
29,0.19042121936529877,0.04735186660640856,0.0389,"['DEM_QGIS', 'TWI']",5
30,0.19026883726668076,0.04735632277390916,0.036338666666666665,"['PlnCurv', 'TPI', 'TWI']",1
31,0.18866126213139445,0.04740330818272778,0.037750000000000006,"['ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'NDVI']",4
32,0.18790836461306193,0.047425297492184694,0.034724333333333315,"['PlnCurv', 'TPI', 'TWI', 'Texture']",3
33,0.18719315261047165,0.047446176710504766,0.035903333333333336,"['ProfCurv', 'PlnCurv', 'TWI']",9
34,0.18518091552943838,0.047504870814592384,0.03660266666666667,"['PlnCurv', 'TWI', 'Texture']",7
