,R2 (Validation),RMSE,MAE,Input Parameters,Class Quantity
0,0.41267567471461997,0.04033170105210443,0.03165680341242095,"['DEM_QGIS', 'PlnCurv', 'TWI']",6
1,0.4026502660111345,0.04067446811433294,0.03247554235818192,['TWI'],7
2,0.3919716830326929,0.04103641829300763,0.03225188716616279,"['DEM_QGIS', 'PlnCurv', 'TWI']",7
3,0.38714131175005917,0.04119909904650141,0.03086298052582378,"['PlnCurv', 'TWI']",9
4,0.37730425366511544,0.04152842827933976,0.02987493634211536,"['PlnCurv', 'TWI', 'Texture']",7
5,0.36894556598380546,0.04180622528130022,0.029741270437642443,"['DEM_QGIS', 'PlnCurv', 'TWI', 'Texture']",6
6,0.3432520246873719,0.04264880986705448,0.03488989647542545,"['DEM_QGIS', 'TWI']",9
7,0.34094910859612904,0.042723519409056394,0.03176003216990977,"['DEM_QGIS', 'PlnCurv']",5
8,0.34058946878105845,0.04273517479351571,0.033567647977687985,['DEM_QGIS'],7
9,0.325735180416842,0.043213833618498475,0.03348058233971605,"['PlnCurv', 'TWI', 'NDVI']",6
10,0.3238171283759532,0.04327525423338452,0.03349375710460887,"['PlnCurv', 'TWI', 'NDVI']",7
11,0.3225606025968091,0.04331544397850968,0.03452591898010958,['TWI'],6
12,0.3211274069037251,0.043361239003654274,0.032699990471732235,"['DEM_QGIS', 'PlnCurv', 'TWI']",8
13,0.31921087218785205,0.043422402726293566,0.032726647713628085,"['PlnCurv', 'TWI', 'Texture']",8
14,0.31642330240841177,0.043511210933975884,0.03372875967165847,"['DEM_QGIS', 'PlnCurv', 'TWI']",9
15,0.3108969033956208,0.043686740809618436,0.03457174599810239,['TWI'],5
16,0.3077253685239235,0.04378715754537222,0.0332491979856018,"['DEM_QGIS', 'PlnCurv', 'TWI']",5
17,0.3009678379764419,0.04400034929450471,0.03520899647746144,"['DEM_QGIS', 'TWI']",8
18,0.3005028446325122,0.04401498128809499,0.03405151272059863,['ProfCurv'],9
19,0.29940826717514046,0.044049405283557136,0.03314738639268677,"['DEM_QGIS', 'TPI']",8
20,0.2911525700401283,0.04430818187901628,0.03168733594548552,"['DEM_QGIS', 'PlnCurv', 'TWI']",4
21,0.28828658215132263,0.04439766419144113,0.031903160669861305,"['DEM_QGIS', 'PlnCurv']",8
22,0.28078315676759624,0.04463108758260238,0.036322646202973694,"['DEM_QGIS', 'TWI', 'Texture']",4
23,0.28022723344250866,0.04464833319507063,0.0355774015750328,"['TWI', 'Texture']",7
24,0.27959384382902674,0.04466797381854448,0.03492438571897121,"['TWI', 'Texture']",6
25,0.27658330857181956,0.04476120894112274,0.03478502195391139,"['DEM_QGIS', 'TWI', 'Texture']",7
26,0.2757183757898578,0.0447879596866402,0.03462592855953775,"['DEM_QGIS', 'ProfCurv', 'PlnCurv']",8
27,0.27384445274540026,0.044845861868538096,0.03616918077212398,"['DEM_QGIS', 'ProfCurv', 'TWI']",5
28,0.27325401241135694,0.04486409034964,0.03385512538425926,"['DEM_QGIS', 'PlnCurv']",9
29,0.2706171339386565,0.044945407647029645,0.0355666681908628,['TWI'],9
30,0.26916347253133655,0.04499017349400442,0.03417194602705483,['ProfCurv'],5
31,0.2646513481590247,0.045128842598504755,0.03568258948598699,['TWI'],8
32,0.2556978306760407,0.04540275304849389,0.037023854419217544,"['DEM_QGIS', 'ProfCurv', 'TWI']",4
33,0.25558665979113016,0.04540614365783261,0.034355171470038394,"['ProfCurv', 'PlnCurv']",9
34,0.25056873288760895,0.045558923050305296,0.033755989167548295,"['PlnCurv', 'TWI']",6
35,0.24994974276396364,0.045577733783205045,0.03481552624028813,"['TWI', 'Texture']",5
36,0.24724321549046024,0.04565989247597736,0.03674723179526536,"['DEM_QGIS', 'TWI', 'Texture']",3
37,0.24624704466439207,0.04569009480385829,0.034302405234842716,"['PlnCurv', 'TWI']",4
38,0.24603241581023605,0.04569659939839253,0.035296626335968966,"['DEM_QGIS', 'ProfCurv', 'PlnCurv']",9
39,0.24560630528791283,0.04570951046503793,0.03528487652262953,"['DEM_QGIS', 'ProfCurv']",9
40,0.243745328202581,0.04576585502125721,0.03532596954570705,"['TWI', 'Texture']",3
41,0.24154938621160882,0.04583225217372211,0.034828274767395286,['PlnCurv'],5
42,0.24138529639873674,0.045837209779940394,0.035759931303639504,"['DEM_QGIS', 'TWI']",5
43,0.24127757824598395,0.04584046395118236,0.036122510196623284,"['DEM_QGIS', 'ProfCurv']",7
44,0.24028365373667215,0.04587047957190533,0.03424097953250281,"['DEM_QGIS', 'PlnCurv', 'TWI']",3
45,0.24005214085366544,0.04587746823162159,0.03358102072551761,"['PlnCurv', 'TWI']",5
46,0.2365741614769179,0.045982329862138856,0.03518471268118809,"['DEM_QGIS', 'TWI']",6
47,0.23541194045421288,0.0460173177441631,0.03427948154476714,"['PlnCurv', 'TWI']",3
48,0.23505280635187542,0.04602812385583325,0.03654814587777727,"['DEM_QGIS', 'TWI']",3
49,0.2337054946999776,0.04606864099577526,0.03402801172809623,"['PlnCurv', 'TWI']",8
50,0.23171817256702376,0.046128339941250075,0.03647240637366523,"['ProfCurv', 'TWI']",3
51,0.22949955926297538,0.046194895707315484,0.035344034632697294,"['DEM_QGIS', 'ProfCurv']",6
52,0.22875264532623418,0.04621728067414317,0.03388412075095219,"['PlnCurv', 'TPI', 'TWI']",9
53,0.22336672360645016,0.04637837658201955,0.035169172048379625,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI']",5
54,0.2231082342045808,0.046386094073546665,0.035362433118459415,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI']",3
55,0.22143181916858345,0.04643611419497146,0.034935563169553076,['TWI'],3
56,0.21850795558715919,0.04652322643105537,0.03590262670277029,"['ProfCurv', 'TWI', 'Texture']",5
57,0.2181570294822791,0.04653367079984931,0.038379006539010496,"['DEM_QGIS', 'TWI', 'Texture', 'NDVI']",6
58,0.21642146596376177,0.04658529073790448,0.03565385176664102,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI']",6
59,0.21597408824419262,0.04659858758455011,0.037492246098982426,"['ProfCurv', 'PlnCurv', 'TWI']",9
60,0.21536825545276805,0.04661658794679429,0.03580629824188331,"['ProfCurv', 'TWI', 'Texture']",4
61,0.21336443788721016,0.046676075455023586,0.03570647195841712,"['DEM_QGIS', 'PlnCurv', 'TWI', 'NDVI']",6
62,0.21190759960506944,0.046719277188102926,0.03667504435615578,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI']",9
63,0.21089944929307403,0.046749149954635735,0.03634360676413243,"['DEM_QGIS', 'TWI']",7
64,0.2087036102184433,0.04681414946289344,0.03759666702013014,['TWI'],1
65,0.20796526860243447,0.046835985007732624,0.03491319756261353,"['ProfCurv', 'PlnCurv', 'TWI']",4
66,0.20691041931991527,0.0468671632279126,0.034863757680528386,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI']",4
67,0.2059827348365666,0.046894565702017436,0.03792004117723382,"['ProfCurv', 'PlnCurv', 'TWI']",5
68,0.20569544355098524,0.046903048629425306,0.037408730023268465,"['DEM_QGIS', 'TWI']",1
69,0.20507716969210987,0.046921299366975686,0.03586184795422961,"['DEM_QGIS', 'ProfCurv', 'TWI', 'Texture']",8
70,0.20431066992394709,0.046943915712922904,0.03737111201979042,"['DEM_QGIS', 'ProfCurv', 'PlnCurv']",7
71,0.20414650299502124,0.04694875820654126,0.03812879357326739,"['DEM_QGIS', 'ProfCurv', 'TWI', 'Texture']",7
72,0.2034825022644844,0.04696833939218589,0.03481648720215724,"['PlnCurv', 'TWI']",7
73,0.2032651819193303,0.04697474633216231,0.035643979977332395,"['ProfCurv', 'PlnCurv', 'TWI', 'NDVI']",6
74,0.20076744488997822,0.047048320843849224,0.03871071962330004,"['DEM_QGIS', 'TWI', 'Texture', 'NDVI']",5
75,0.2004091329104677,0.047058866014868334,0.03803890031058576,"['ProfCurv', 'PlnCurv', 'TWI']",8
76,0.2001331137872535,0.047066987684774825,0.03647495823921263,['TWI'],4
77,0.19911415904407093,0.04709695758792206,0.035324063738397735,"['TWI', 'Texture']",9
78,0.19887888908681417,0.04710387473203529,0.036544915173603046,"['DEM_QGIS', 'ProfCurv']",5
79,0.1983697979888993,0.04711883898306938,0.03378126270280991,"['PlnCurv', 'TPI', 'TWI']",8
80,0.196943285710106,0.047160744668509655,0.03824156284019594,"['TWI', 'NDVI']",6
81,0.19597571266904734,0.0471891472256939,0.03672549475705976,"['DEM_QGIS', 'ProfCurv', 'TWI', 'Texture']",5
82,0.19507234788958228,0.04721564956335306,0.037801289049871956,"['DEM_QGIS', 'ProfCurv', 'TWI']",3
83,0.1947813096669644,0.04722418468870315,0.03699435378602126,"['DEM_QGIS', 'TPI', 'TWI']",6
84,0.19439705672534136,0.04723545111096858,0.03416583391855762,"['PlnCurv', 'TPI', 'TWI']",6
85,0.1899345361577448,0.047366097399291957,0.03572587155667214,"['ProfCurv', 'PlnCurv', 'TWI']",7
86,0.1897806106003349,0.047370597348344104,0.03982195574101688,"['ProfCurv', 'TWI', 'NDVI']",5
87,0.1897792732715443,0.04737063644271677,0.037052396277666266,"['DEM_QGIS', 'ProfCurv', 'TWI']",9
88,0.1894717673798516,0.04737962496117772,0.03576725443959831,"['DEM_QGIS', 'PlnCurv', 'TPI', 'TWI']",5
89,0.18854161988191653,0.047406803165213444,0.035307899192180726,"['DEM_QGIS', 'PlnCurv', 'TWI', 'Texture']",7
90,0.18852688953858276,0.047407233449338296,0.0360544270666211,"['ProfCurv', 'PlnCurv', 'TWI', 'NDVI']",7
91,0.1878905490181363,0.04742581769533586,0.035641385399785105,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI']",2
92,0.18765635317023288,0.04743265552300585,0.03397442550692133,"['DEM_QGIS', 'PlnCurv']",6
93,0.18552739546713293,0.04749476965526489,0.036206854658964435,"['DEM_QGIS', 'PlnCurv', 'TPI', 'TWI']",4
94,0.18535974015302548,0.04749965769001849,0.03516607154731678,"['PlnCurv', 'TWI', 'Texture']",4
95,0.1852591035700708,0.04750259153447449,0.035182544525200796,"['PlnCurv', 'TWI', 'Texture']",5
96,0.1850632177748004,0.047508301646566324,0.036174035452295215,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI']",8
97,0.18405082303215203,0.04753780223322739,0.03602934232242716,"['DEM_QGIS', 'TWI']",4
98,0.18404469219439457,0.04753798082646187,0.037107872549322664,"['ProfCurv', 'PlnCurv', 'TWI', 'NDVI']",5
99,0.1838645104088933,0.04754322927902467,0.0360169805694537,"['ProfCurv', 'PlnCurv']",6
100,0.1836449148559971,0.047549625018250836,0.03831115698205177,"['ProfCurv', 'PlnCurv', 'TWI']",6
101,0.18331258879315926,0.04755930240747677,0.034286468720404105,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI']",7
102,0.1827132538190378,0.04757675016369303,0.038725567018998,"['DEM_QGIS', 'ProfCurv', 'TWI', 'Texture', 'NDVI']",9
103,0.1810453787800128,0.04762527146377342,0.034297439014611006,"['PlnCurv', 'TWI']",1
104,0.17989989807961604,0.047658566816758355,0.03592270436738604,"['PlnCurv', 'TWI', 'Texture']",9
105,0.17962789340900187,0.04766646968009163,0.03747042574668207,"['ProfCurv', 'Texture']",7
106,0.1791005360182042,0.047681787867074374,0.03642510687479098,"['DEM_QGIS', 'ProfCurv', 'TPI']",8
107,0.17768856170994807,0.047722777377214226,0.035848807929898016,"['ProfCurv', 'PlnCurv']",8
108,0.17568789728146172,0.047780796307596,0.035726654471911284,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI', 'Texture']",5
109,0.1734065907879624,0.04784686796161317,0.03501801448663799,"['PlnCurv', 'TWI', 'Texture']",6
110,0.17261965575747362,0.04786963817661251,0.035930655801382626,"['ProfCurv', 'PlnCurv', 'TWI']",1
111,0.172005418774133,0.047887403795057584,0.03733804723115838,"['PlnCurv', 'TPI', 'TWI', 'Texture']",4
112,0.17170391877518598,0.047896121689122495,0.03651923328093801,"['ProfCurv', 'PlnCurv', 'TWI']",3
113,0.17102099250134517,0.04791586268586511,0.03899652169775449,"['DEM_QGIS', 'ProfCurv', 'TWI', 'Texture', 'NDVI']",8
114,0.1702716851339684,0.047937513173390886,0.037538564017355745,"['DEM_QGIS', 'ProfCurv', 'TWI']",8
115,0.16999651163578788,0.047945461582196876,0.035728951175585756,"['ProfCurv', 'PlnCurv']",7
116,0.16925267918631348,0.047966940650661434,0.03578153830584595,"['TWI', 'Texture']",4
117,0.16575428560400562,0.048067832305188435,0.03767304420662006,"['DEM_QGIS', 'PlnCurv', 'TWI', 'NDVI']",4
118,0.1650415379486625,0.048088361580704835,0.037161746076064095,"['TWI', 'Texture']",1
119,0.1618917062251809,0.048178981455454885,0.039144279732015105,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'TWI']",5
120,0.16168440251221472,0.048184939554358694,0.03476516284224149,"['DEM_QGIS', 'ProfCurv']",8
121,0.16158432374255838,0.04818781564635044,0.03673116029823442,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'TWI']",8
122,0.16123217143608293,0.0481979345345085,0.03816454044595728,['ProfCurv'],8
123,0.16092188241775085,0.048206848745581024,0.036063519651071116,"['DEM_QGIS', 'PlnCurv', 'TWI']",2
124,0.1598659057535763,0.04823717327693153,0.03759170081516344,"['DEM_QGIS', 'ProfCurv', 'TWI']",6
125,0.15931897374268034,0.04825287205762414,0.03790271750225138,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI', 'NDVI']",8
126,0.15730776119523215,0.048310556723564047,0.039723041719132865,"['ProfCurv', 'TWI']",1
127,0.157031743161129,0.048318467970722395,0.035740999418891396,"['PlnCurv', 'TWI']",2
128,0.15657709466370728,0.048331496312788394,0.03658602119083939,"['ProfCurv', 'PlnCurv', 'TWI', 'NDVI']",4
129,0.15625433453328597,0.04834074314960199,0.037198945333044665,"['DEM_QGIS', 'TWI', 'Texture']",2
130,0.15553847955828348,0.048361245551023314,0.03607296679653969,"['DEM_QGIS', 'PlnCurv', 'TWI', 'Texture']",9
131,0.1549070797334956,0.04837932190831747,0.036514664420014706,"['TWI', 'Texture']",2
132,0.1548159582554185,0.04838193006914122,0.036705652449093636,"['DEM_QGIS', 'ProfCurv', 'TWI', 'Texture']",2
133,0.15378909076434355,0.04841131227908109,0.037141899226640206,"['DEM_QGIS', 'TWI', 'Texture']",1
134,0.15372719013681346,0.04841308289901561,0.03748981689686344,"['DEM_QGIS', 'PlnCurv', 'TWI', 'NDVI']",9
135,0.15336850250873524,0.04842334160875402,0.03585959720335108,"['DEM_QGIS', 'ProfCurv', 'PlnCurv']",3
136,0.15326761128330613,0.048426226774702326,0.0365548442015043,"['ProfCurv', 'PlnCurv', 'TWI', 'Texture']",7
137,0.1531978400513191,0.04842822190796257,0.0343689145530353,"['PlnCurv', 'TPI', 'TWI']",7
138,0.15310976155154854,0.048430740426704706,0.036819817667109324,"['DEM_QGIS', 'TWI', 'Texture']",9
139,0.1522476308127202,0.048455385302321935,0.03789461654147286,"['DEM_QGIS', 'ProfCurv', 'TWI']",7
140,0.1519836653601213,0.048462928514632964,0.03743782516960319,['DEM_QGIS'],4
141,0.1517132558474158,0.04847065465847036,0.03596118189484554,"['DEM_QGIS', 'PlnCurv', 'TWI']",1
142,0.15039154385039133,0.04850840092237894,0.03790086942799068,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI', 'NDVI']",9
143,0.15016047004406718,0.04851499705422877,0.039094570245230345,"['DEM_QGIS', 'ProfCurv', 'TWI']",1
144,0.14997109887837845,0.04852040209216303,0.035644077055937536,"['DEM_QGIS', 'ProfCurv', 'PlnCurv']",2
145,0.14951148367616762,0.04853351794073897,0.037314015181202,"['DEM_QGIS', 'PlnCurv', 'TPI', 'TWI']",8
146,0.14763163193525064,0.04858712563619634,0.03882304888181185,"['DEM_QGIS', 'ProfCurv', 'TWI']",2
147,0.1472444449887843,0.048598159694731496,0.03744533076265616,"['DEM_QGIS', 'PlnCurv', 'TPI', 'TWI']",9
148,0.1469568788319946,0.04860635313771125,0.03780125796419491,"['ProfCurv', 'Texture']",6
149,0.14580998372422982,0.048639017174508865,0.03972751067626642,"['DEM_QGIS', 'ProfCurv', 'TPI', 'TWI']",5
150,0.145343635599254,0.04865229268636526,0.03867895992011052,"['ProfCurv', 'TWI']",4
151,0.1449431644155431,0.04866368999186423,0.03749393874832721,"['PlnCurv', 'TWI', 'NDVI']",9
152,0.1446927997383345,0.048670813949478024,0.03770014535001222,"['DEM_QGIS', 'TWI']",2
153,0.14401428589078458,0.048690115362108724,0.036100483257236506,"['DEM_QGIS', 'TPI']",9
154,0.14380622268947618,0.04869603252028865,0.03666079286105866,"['ProfCurv', 'PlnCurv', 'TWI']",2
155,0.14323313341291855,0.04871232702421172,0.03720576348366639,"['DEM_QGIS', 'TPI', 'TWI']",7
156,0.14190992596789764,0.048749928645213256,0.039698068396242354,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI', 'Texture', 'NDVI']",6
157,0.14156070497794104,0.04875984763103661,0.03630896325124973,['Texture'],4
158,0.1413152721792834,0.0487668174952309,0.034442668791396444,"['TPI', 'TWI']",5
159,0.13999823019396362,0.04880420219235917,0.03882848636812066,"['DEM_QGIS', 'PlnCurv', 'TPI', 'TWI', 'NDVI']",9
160,0.1396149771416344,0.048815075586295505,0.037662279196210305,"['ProfCurv', 'PlnCurv']",5
161,0.1395922134992933,0.048815721344614225,0.035737112097400436,"['ProfCurv', 'PlnCurv']",4
162,0.13958608570981357,0.04881589517610193,0.03848361390754299,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'TWI']",7
163,0.13899978230430998,0.04883252441178176,0.036018057723719334,"['PlnCurv', 'TPI', 'TWI']",5
164,0.1389529893411361,0.04883385134958287,0.03573344268589041,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI', 'NDVI']",4
165,0.1376907004595267,0.048869633282244404,0.035584880718464426,"['DEM_QGIS', 'PlnCurv', 'TPI', 'TWI']",6
166,0.13598859891210047,0.04891784108390857,0.03677540243971973,"['ProfCurv', 'PlnCurv', 'TWI', 'Texture']",6
167,0.13569361234449462,0.04892619101688627,0.03770971395619871,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI', 'NDVI']",5
168,0.1356330970570686,0.048927903795323746,0.03693007890917901,"['ProfCurv', 'TWI', 'Texture']",2
169,0.13526890828449978,0.048938210250034725,0.03666410580455105,['PlnCurv'],8
170,0.13492482342590106,0.04894794577507739,0.03808570577717331,"['DEM_QGIS', 'NDVI']",7
171,0.13489370383533572,0.04894882617621134,0.03849844999119885,"['PlnCurv', 'TWI', 'NDVI']",8
