,R2 (Validation),RMSE,MAE,Input Parameters,Class Quantity
0,0.3141213874079868,0.043584410423363334,0.03366302290350147,"['PlnCurv', 'TWI']",4
1,0.28707095310235764,0.044435564322675404,0.03479153633504863,"['PlnCurv', 'TWI']",3
2,0.2636318521394563,0.04516011534211038,0.03869334453593043,"['ProfCurv', 'PlnCurv', 'TWI', 'NDVI']",3
3,0.20982822190468087,0.04678087087117521,0.03450039788055485,"['TPI', 'TWI']",2
4,0.2090519557565792,0.04680384403535702,0.03627617314150254,['TWI'],2
5,0.20386238326193418,0.04695713781309012,0.03638187481701298,['TWI'],3
6,0.19106155665296398,0.04733313639474368,0.036902260110771835,"['ProfCurv', 'TWI', 'NDVI']",3
7,0.18345515344837215,0.04755515114263444,0.03652008057615459,"['ProfCurv', 'TWI']",2
8,0.1753098460962499,0.047791751815819676,0.03665687101723007,"['PlnCurv', 'TWI', 'Texture']",4
9,0.173059197823354,0.047856921223041624,0.040853419819710926,"['ProfCurv', 'PlnCurv', 'TWI']",2
10,0.168258615460829,0.047995630445410144,0.0360494949192843,"['DEM_QGIS', 'ProfCurv', 'TPI', 'TWI', 'Texture']",4
11,0.16695738138258298,0.04803315962426441,0.03801203038986919,"['ProfCurv', 'PlnCurv', 'TWI']",5
12,0.16293269114321152,0.04814905144723414,0.041393040296378164,"['DEM_QGIS', 'PlnCurv', 'TWI']",4
13,0.1613759874925379,0.04819380232188067,0.03716535064996511,"['ProfCurv', 'PlnCurv', 'TWI']",3
14,0.16068643478725353,0.04821361175844076,0.039272361603961074,"['ProfCurv', 'TWI']",3
15,0.156651994967418,0.04832935022207701,0.036909453672466674,"['DEM_QGIS', 'ProfCurv', 'TWI', 'Texture']",3
16,0.15573647487643705,0.04835557574766487,0.042063612957555584,"['ProfCurv', 'PlnCurv', 'TWI', 'NDVI']",2
17,0.1462099755164753,0.04862762773809005,0.03692112974244874,"['DEM_QGIS', 'PlnCurv', 'TWI', 'Texture']",3
18,0.1397925311909055,0.04881003844518367,0.03802144980806634,"['ProfCurv', 'TWI', 'NDVI']",2
19,0.1367349974073182,0.048896707050354205,0.04174586474048654,"['TWI', 'NDVI']",6
20,0.13487508151352245,0.04894935301082811,0.04185789949970622,"['DEM_QGIS', 'PlnCurv', 'TWI']",5
21,0.12517299205808907,0.04922306314989262,0.036833858327085627,"['PlnCurv', 'TPI', 'TWI']",4
22,0.12336828256045462,0.04927380893257691,0.03781893344419327,"['ProfCurv', 'PlnCurv', 'TWI']",4
23,0.11720774465963157,0.049446641903040225,0.03901391797511153,"['TWI', 'Texture']",2
24,0.11573473211546037,0.04948787763298374,0.03596316437191546,"['ProfCurv', 'PlnCurv']",2
25,0.11463058627016975,0.04951876473770792,0.03486969184160705,['PlnCurv'],2
26,0.10496327472703593,0.04978837742241591,0.03865786721394495,"['PlnCurv', 'TPI']",4
27,0.09572548543851045,0.050044653981200324,0.03505116891065865,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI']",3
28,0.09085285563057155,0.05017930416721882,0.040273423475576456,"['DEM_QGIS', 'ProfCurv', 'TPI', 'TWI']",2
29,0.08771115953340036,0.050265930499154086,0.04213128010912628,"['ProfCurv', 'TPI']",4
30,0.08674039165253677,0.05029266741319285,0.04215290209015292,"['DEM_QGIS', 'PlnCurv', 'TPI', 'TWI']",2
31,0.08614087434005602,0.05030917223716475,0.039921750186132456,"['DEM_QGIS', 'ProfCurv', 'TWI']",3
32,0.07627119348363542,0.0505801122568707,0.041062609387045854,"['DEM_QGIS', 'ProfCurv']",4
33,0.07279404952424118,0.05067522087138132,0.038976482874986576,"['DEM_QGIS', 'ProfCurv', 'TWI']",4
34,0.07012796576415903,0.05074802422379769,0.0374159020325746,"['ProfCurv', 'TPI', 'TWI']",2
35,0.06890758169810474,0.05078131470406905,0.04082479720355556,"['PlnCurv', 'TWI', 'NDVI']",3
36,0.062137310439256854,0.050965603908163536,0.03913004673882069,"['DEM_QGIS', 'ProfCurv']",3
37,0.05646461701797567,0.05111950510827278,0.04227074057984835,"['DEM_QGIS', 'PlnCurv', 'TWI', 'Texture']",5
38,0.046161237088937934,0.051397859048543465,0.03979564592180622,"['ProfCurv', 'TPI']",2
39,0.04429772428359113,0.05144804249479001,0.04127719283053157,"['ProfCurv', 'TPI', 'TWI', 'NDVI']",3
40,0.04092678824467588,0.05153869593676578,0.042912240779245374,['ProfCurv'],3
41,0.03679479286282461,0.051649599239704,0.041264033751003765,"['PlnCurv', 'TPI']",3
42,0.03348692891993321,0.05173821141332549,0.03973499158710805,"['PlnCurv', 'TWI']",2
43,0.03224770417775069,0.051771369130105147,0.038335852091513294,"['TPI', 'TWI']",3
44,0.022741961206374284,0.05202500983678274,0.03819407076340725,"['ProfCurv', 'PlnCurv', 'TPI', 'TWI']",3
45,0.020810782674595796,0.05207638828143925,0.039223613270724114,"['DEM_QGIS', 'ProfCurv', 'NDVI']",7
46,0.017088399444781133,0.05217527846119009,0.03766149097453696,"['DEM_QGIS', 'TWI']",4
47,0.016903292299259465,0.05218019119301045,0.04318655953413271,"['TWI', 'NDVI']",5
48,0.016278856641482653,0.05219676026470856,0.039533369613754935,"['PlnCurv', 'TPI', 'TWI']",2
49,0.010842849341743732,0.052340780276938205,0.04307070687501703,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI']",2
50,0.0052841493752001645,0.052487642221215394,0.03834960840170383,"['DEM_QGIS', 'PlnCurv']",2
51,-0.00039751840380097825,0.052637329548545546,0.04256163749350507,"['DEM_QGIS', 'ProfCurv']",5
52,-0.00042651272921268024,0.052638092331727004,0.040053042495246764,['ProfCurv'],1
53,-0.0010793431337392523,0.05265526407921068,0.03761712001571884,"['DEM_QGIS', 'PlnCurv', 'NDVI']",2
54,-0.003755339754036413,0.052725593804537015,0.042020948532383515,"['DEM_QGIS', 'TPI', 'TWI']",2
55,-0.0040461623212131315,0.0527332314635449,0.041376796820567975,['TWI'],4
56,-0.0043056953511859675,0.052740046454506015,0.03937550047110612,['PlnCurv'],1
57,-0.004352216668743081,0.05274126794914057,0.03970870655629998,['TWI'],1
58,-0.0047935704240194,0.05275285501967389,0.03976503924389246,"['ProfCurv', 'TWI']",1
59,-0.008354674388597383,0.052846253431565314,0.04483807451487422,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'NDVI']",2
60,-0.009831067874454424,0.05288492698961341,0.039870198374562515,"['ProfCurv', 'PlnCurv']",1
61,-0.012142587574143215,0.05294541962023723,0.03929870372056177,"['PlnCurv', 'TWI']",1
62,-0.016331398881025416,0.05305486535840423,0.03979428252514677,"['ProfCurv', 'PlnCurv', 'TWI']",1
63,-0.01676774854120855,0.05306625337031883,0.03793409499425547,['PlnCurv'],3
64,-0.022066105740858655,0.05320433732914601,0.039693731791279274,"['DEM_QGIS', 'TWI']",3
65,-0.02443370082630336,0.053265925058964936,0.03858888459734265,"['PlnCurv', 'Texture']",2
66,-0.026662082764627337,0.05332382648637358,0.03887330547407648,"['TPI', 'TWI', 'Texture']",2
67,-0.026870047895860116,0.05332922696586531,0.0425368180076231,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI', 'NDVI']",3
68,-0.026924602926447827,0.05333064357109854,0.04102610395135172,['ProfCurv'],2
69,-0.027018482135871214,0.053333081201000214,0.04246747563156934,"['ProfCurv', 'PlnCurv', 'TWI', 'Texture']",3
70,-0.028259467677030026,0.05336529366952792,0.0429930263455124,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI']",2
71,-0.030379111485966392,0.05342026869487496,0.04126232022004735,"['ProfCurv', 'PlnCurv', 'TPI', 'TWI']",2
72,-0.03530642819362151,0.05354784535529606,0.0408712359129332,"['ProfCurv', 'TPI', 'TWI', 'NDVI']",2
73,-0.03615297204387158,0.05356973324052077,0.04367659356524127,"['PlnCurv', 'TWI', 'NDVI']",2
74,-0.03744449177487286,0.053603109017701024,0.04245151182013543,"['TWI', 'NDVI']",2
75,-0.0420341077351547,0.05372154725393655,0.040897950499952276,['DEM_QGIS'],2
76,-0.04227895922690017,0.05372785848131146,0.042166531557128344,"['DEM_QGIS', 'ProfCurv', 'TWI']",2
77,-0.04439000797535253,0.05378224159714278,0.04373315702104191,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'NDVI']",2
78,-0.047032363628897844,0.05385023441362209,0.03999785011275332,['DEM_QGIS'],3
79,-0.04739712438993271,0.0538596136566751,0.03889952440294816,"['PlnCurv', 'TWI', 'Texture']",2
80,-0.04748913560161183,0.0538619793207419,0.047086140429933185,"['DEM_QGIS', 'ProfCurv', 'PlnCurv']",2
81,-0.050836806786205946,0.05394797943032706,0.04841987574855565,"['DEM_QGIS', 'ProfCurv', 'PlnCurv']",4
82,-0.05274556648772166,0.05399695326242781,0.04218197786233645,"['TPI', 'TWI', 'NDVI']",3
83,-0.057502499104608695,0.05411881098785232,0.04371640170034161,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'TWI']",2
84,-0.057597467835421634,0.054121240996014085,0.04056305708761611,"['PlnCurv', 'NDVI']",1
85,-0.06153714550429079,0.05422195135712439,0.04110333077016803,['NDVI'],1
86,-0.0622797297778821,0.054240913166135024,0.041014638248044646,"['ProfCurv', 'NDVI']",1
87,-0.0626634199915046,0.054250708057275346,0.04504709437211001,"['PlnCurv', 'TPI']",5
88,-0.0628407219903393,0.05425523364722907,0.04090997573457453,"['ProfCurv', 'PlnCurv', 'NDVI']",1
89,-0.06420077154100978,0.054289936031923426,0.0412328979936897,"['DEM_QGIS', 'ProfCurv']",1
90,-0.06595475079325808,0.05433465701891033,0.04044154299370677,"['DEM_QGIS', 'PlnCurv', 'TPI', 'Texture']",5
91,-0.0682043398782961,0.05439196068512956,0.03921873328564525,"['DEM_QGIS', 'ProfCurv', 'PlnCurv']",1
92,-0.06848033990601965,0.054398987062255696,0.04495520063902871,"['DEM_QGIS', 'ProfCurv', 'NDVI']",2
93,-0.06848981847829694,0.054399228350545184,0.04085400135984378,"['DEM_QGIS', 'PlnCurv']",1
94,-0.06922394958345479,0.05441791327740312,0.04162607271933357,['DEM_QGIS'],1
95,-0.0693621361047605,0.05442142964980838,0.040304240689556216,"['PlnCurv', 'TWI', 'NDVI']",1
96,-0.07079690339346412,0.054457926132724196,0.04071649447861929,"['TWI', 'NDVI']",1
97,-0.07089532265369924,0.05446042874813007,0.040681044571184447,"['ProfCurv', 'TWI', 'NDVI']",1
98,-0.07290605675439221,0.05451153275648425,0.040836161785000644,"['ProfCurv', 'PlnCurv', 'TWI', 'NDVI']",1
99,-0.07434084531353635,0.054547969494013276,0.04127897357332729,"['ProfCurv', 'PlnCurv', 'NDVI']",2
100,-0.0746190082533793,0.054555030680231084,0.04265076997055829,"['PlnCurv', 'TWI', 'NDVI']",4
101,-0.07503167013077405,0.054565504448307954,0.046318492590539405,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'NDVI']",2
102,-0.07598878407657472,0.05458978921482185,0.047109251955714776,"['TWI', 'NDVI']",3
103,-0.07888413351365586,0.05466318697375549,0.039655815055676995,"['PlnCurv', 'Texture']",1
104,-0.08004248106907186,0.05469252375816906,0.039192747622173014,"['ProfCurv', 'TPI', 'Texture']",3
105,-0.0812006955801512,0.05472184144809175,0.040592857140258495,['Texture'],1
106,-0.08214663883669271,0.05474577430349413,0.04047209578326914,"['ProfCurv', 'Texture']",1
107,-0.08509662679698593,0.05482034343078394,0.04428356238556505,"['TPI', 'TWI', 'NDVI']",4
108,-0.08519745070418039,0.054822890242143964,0.040190904151389026,"['PlnCurv', 'Texture', 'NDVI']",1
109,-0.08734789089547368,0.05487718220513393,0.0402851576986021,"['TWI', 'Texture']",1
110,-0.08763660702016884,0.05488446730492582,0.04023148925040254,"['ProfCurv', 'TWI', 'Texture']",1
111,-0.08778703687408629,0.05488826267963405,0.04222612812614324,['PlnCurv'],4
112,-0.08805782293552666,0.054895094003739965,0.04122686782882599,"['Texture', 'NDVI']",1
113,-0.08868318808393849,0.05491086731401558,0.04417657765018066,"['DEM_QGIS', 'TWI']",2
114,-0.08870580708607045,0.0549114377382617,0.039715714907522126,"['PlnCurv', 'TWI', 'Texture']",1
115,-0.08949659070506666,0.05493137663402738,0.040225689219414704,"['ProfCurv', 'PlnCurv', 'Texture']",1
116,-0.08965029840998562,0.05493525139514305,0.04105519799585372,"['ProfCurv', 'Texture', 'NDVI']",1
117,-0.08985349377710339,0.05494037325315867,0.03937348729736963,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI']",1
118,-0.09093007243498774,0.05496750214435832,0.03970428870605132,"['ProfCurv', 'PlnCurv', 'TPI']",1
119,-0.09140180815685417,0.054979385276198035,0.04152518869185604,"['ProfCurv', 'PlnCurv', 'TWI', 'NDVI']",4
120,-0.09418737595952331,0.0550495020787227,0.04079730463722294,"['ProfCurv', 'PlnCurv', 'Texture', 'NDVI']",1
121,-0.09534451602952654,0.05507860273998357,0.03994383633920223,"['PlnCurv', 'TPI']",1
122,-0.09709604953160977,0.05512262244380365,0.040258727441209244,"['PlnCurv', 'TWI', 'Texture', 'NDVI']",1
123,-0.09727253106790101,0.05512705584501152,0.040902146094000835,"['TWI', 'Texture', 'NDVI']",1
124,-0.09733680534282607,0.05512867039361119,0.040143062239017216,"['ProfCurv', 'PlnCurv', 'TWI', 'Texture']",1
125,-0.09755447313521604,0.05513413778562589,0.040972677156568604,['TPI'],1
126,-0.09783111650674026,0.05514108574727298,0.04080505268039907,"['ProfCurv', 'TWI', 'Texture', 'NDVI']",1
127,-0.09963070947924679,0.05518626158374793,0.045650334288539686,"['DEM_QGIS', 'PlnCurv', 'NDVI']",3
128,-0.09997192847944292,0.055194823158223445,0.04061327024495639,"['DEM_QGIS', 'PlnCurv', 'Texture']",1
129,-0.10008040751740022,0.05519754474299648,0.04085425358792262,"['DEM_QGIS', 'ProfCurv', 'Texture']",1
130,-0.10146171231703249,0.05523218798999229,0.04131502632995038,"['DEM_QGIS', 'ProfCurv', 'TPI']",1
131,-0.10232956320856812,0.055253942656998796,0.039336571843958376,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'Texture']",1
132,-0.10316873915258218,0.05527497037853347,0.0407618847834083,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'NDVI']",1
133,-0.1035558574853721,0.05528466793282988,0.03960443047128017,"['ProfCurv', 'PlnCurv', 'TPI', 'TWI']",1
134,-0.1036018142145172,0.05528581906443865,0.04142692973184881,"['DEM_QGIS', 'Texture']",1
135,-0.10392341877315592,0.055293873996957364,0.04071888867936142,"['ProfCurv', 'PlnCurv', 'TWI', 'Texture', 'NDVI']",1
136,-0.10400867754349119,0.05529600919791575,0.0411110897705661,"['ProfCurv', 'TPI']",1
137,-0.10506970685333727,0.05532257447669683,0.0405591330418289,"['TPI', 'TWI']",1
138,-0.10545940035572321,0.055332328136295746,0.042737077905174746,"['DEM_QGIS', 'ProfCurv', 'NDVI']",1
139,-0.10576026678567096,0.05533985736235918,0.04252684091048623,"['DEM_QGIS', 'PlnCurv', 'NDVI']",1
140,-0.10659812126679769,0.05536081939588689,0.040251377857379575,"['PlnCurv', 'TPI', 'TWI']",3
141,-0.10714508094345443,0.05537449933739788,0.03945820881468483,"['PlnCurv', 'TPI', 'TWI']",1
142,-0.10718720406070936,0.05537555273337223,0.041270746458864895,"['DEM_QGIS', 'PlnCurv', 'TPI']",1
143,-0.10835492768614019,0.05540474666743761,0.04321015020730524,"['DEM_QGIS', 'PlnCurv', 'TWI', 'NDVI']",3
