,R2 (Validation),RMSE,MAE,Input Parameters,Class Quantity
0,0.35713578652231337,0.042195600361235916,0.031918024022749805,"['PlnCurv', 'TWI']",2
1,0.34853566688378823,0.04247690518027998,0.03163011436258392,"['PlnCurv', 'TWI']",2
2,0.3420342626637707,0.04268833191347143,0.03500512185579026,"['DEM_QGIS', 'TWI']",2
3,0.3398789488729428,0.04275819233419905,0.0320307082710688,['TWI'],1
4,0.3397966138759443,0.04276085880413135,0.03446319882236981,"['DEM_QGIS', 'TPI', 'TWI']",3
5,0.332401306869354,0.04299968599316712,0.030978465889427497,"['PlnCurv', 'TWI']",2
6,0.31295133112840645,0.04362157041187771,0.03510452459493836,"['ProfCurv', 'TWI']",2
7,0.29622437221284414,0.044149384837435274,0.03412791681796105,"['PlnCurv', 'TPI', 'TWI']",3
8,0.2851357580248486,0.04449583203819605,0.03416280184470424,"['PlnCurv', 'TPI', 'TWI', 'Texture']",4
9,0.26833230822353105,0.04501574939171802,0.034394741018743534,['TWI'],1
10,0.2491627815829448,0.04560163785065889,0.033042375061990634,['PlnCurv'],1
11,0.2490995229382107,0.04560355879768998,0.03397164497712461,['PlnCurv'],1
12,0.2388121818645047,0.04591488066259501,0.036057776302505486,['TWI'],1
13,0.23374588616322833,0.046067426838340975,0.037259527611712216,"['TPI', 'TWI', 'NDVI']",3
14,0.22695760800997566,0.04627103355043705,0.03233564950892636,"['ProfCurv', 'PlnCurv']",2
15,0.2253795482501968,0.0463182374493094,0.03726108523039033,"['DEM_QGIS', 'ProfCurv', 'PlnCurv']",3
16,0.20797583763473593,0.04683567251342513,0.03558950894268961,"['TPI', 'TWI']",2
17,0.19547802050986984,0.04720375004034234,0.03705443145991373,"['DEM_QGIS', 'TWI']",2
18,0.19125525330026705,0.0473274692028873,0.03725527440875038,"['DEM_QGIS', 'TWI']",2
19,0.1882654687640657,0.04741486909218882,0.03975233984901728,"['DEM_QGIS', 'ProfCurv', 'TPI', 'TWI']",4
20,0.1840066064591962,0.047539090260891516,0.03760137006322098,"['TWI', 'NDVI']",2
