,R2 (Validation),RMSE,MAE,Input Parameters,Class Quantity
0,0.5496483009245375,0.03531697093980686,0.026619096214146078,"['PlnCurv', 'TWI']",6
1,0.5457519945528617,0.035469417781891006,0.028548473688238506,"['PlnCurv', 'TWI']",7
2,0.520705803033392,0.036434149046481866,0.03083769851478666,"['DEM_QGIS', 'PlnCurv', 'TWI']",7
3,0.5184147928797854,0.036521122242136224,0.029091232378397808,"['PlnCurv', 'TWI']",5
4,0.5009243916357613,0.03717840188174434,0.03147863122278908,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI']",6
5,0.4905313031557357,0.037563521326163814,0.03219862890825191,"['DEM_QGIS', 'PlnCurv', 'TWI']",9
6,0.48686394527311305,0.03769847746223848,0.02964578156950824,"['PlnCurv', 'TWI']",4
7,0.48008781394165245,0.0379465715395327,0.031271421971531696,"['PlnCurv', 'TWI']",3
8,0.42340692209575326,0.039961543778364327,0.034341282414900434,"['DEM_QGIS', 'PlnCurv', 'TWI']",4
9,0.40143219636230565,0.04071591711919815,0.034727823917057886,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI']",5
10,0.393406132899181,0.04098798350613372,0.035043806796242416,"['DEM_QGIS', 'PlnCurv', 'TWI']",8
11,0.3868024539595334,0.04121048723983192,0.032497374814034384,"['PlnCurv', 'TWI']",8
12,0.38422268547642413,0.04129708407488433,0.03342738983248551,"['ProfCurv', 'PlnCurv', 'TWI']",7
13,0.37487679617559666,0.04160929477018349,0.0329699385434374,"['ProfCurv', 'PlnCurv', 'TWI']",3
14,0.35637077030242914,0.042220699534766364,0.03663731994906932,"['DEM_QGIS', 'PlnCurv', 'TPI', 'TWI']",4
15,0.3493215253926796,0.0424512775990488,0.035867192127033744,"['ProfCurv', 'PlnCurv', 'TWI']",4
16,0.3439558960039635,0.042625949254839146,0.0342577745805025,"['PlnCurv', 'TWI']",9
17,0.31569847977554844,0.04353427312640741,0.035274438495550016,"['DEM_QGIS', 'PlnCurv']",6
18,0.3127330330665543,0.043628499868569676,0.03578030485739213,"['ProfCurv', 'PlnCurv', 'TWI']",5
19,0.309240313302213,0.043739220315205746,0.03620815235089468,"['ProfCurv', 'PlnCurv', 'TWI']",6
20,0.30789104837557735,0.04378191751233728,0.034658475129214335,"['ProfCurv', 'PlnCurv']",5
21,0.30628840460958107,0.04383257878791028,0.03418703818848652,"['DEM_QGIS', 'PlnCurv', 'TPI', 'TWI']",6
22,0.304028039647408,0.04390393196221763,0.036106978789555155,"['DEM_QGIS', 'PlnCurv', 'TWI']",3
23,0.29960136153745487,0.04404333450254287,0.039728675383427205,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI']",9
24,0.2893225836226201,0.044365338823580354,0.033467554678358796,"['ProfCurv', 'PlnCurv', 'TWI', 'Texture']",5
25,0.288678499229005,0.044385438344310496,0.03405068493441546,"['ProfCurv', 'PlnCurv', 'TWI', 'Texture']",6
26,0.28800958539405763,0.044406303070762765,0.03691410203911206,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI']",4
27,0.2878842636688892,0.04441021100936067,0.036132092752275226,"['ProfCurv', 'PlnCurv', 'TWI']",8
