,R2 (Validation),RMSE,MAE,Input Parameters,Class Quantity
0,0.35832539603019475,0.04215654115581855,0.031604333333333345,"['PlnCurv', 'TWI']",2
1,0.3518060994843294,0.04237015133846521,0.03105800000000002,"['PlnCurv', 'TWI']",2
2,0.3385216350409179,0.042802128581545,0.03140566666666668,"['DEM_QGIS', 'PlnCurv', 'TWI']",3
3,0.328152884379593,0.04313628835833392,0.03301866666666668,"['PlnCurv', 'TWI']",2
4,0.32306959951416725,0.04329916830096805,0.03128166666666667,"['ProfCurv', 'PlnCurv', 'TWI']",3
5,0.29037990675506686,0.04433232387321919,0.034765000000000004,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI', 'Texture']",5
6,0.2893174813938896,0.044365498081279334,0.03502966666666667,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI']",4
7,0.27838550927409467,0.04470541883634839,0.03392433333333335,"['DEM_QGIS', 'PlnCurv', 'TWI']",3
8,0.27781035182234814,0.0447232313481732,0.033740666666666676,"['DEM_QGIS', 'PlnCurv', 'TWI']",3
9,0.27031744538772595,0.04495464027463929,0.03229899999999999,['TWI'],1
10,0.2618846155890645,0.045213661013262595,0.035134,['TWI'],1
11,0.25875717192141023,0.04530934639907214,0.03609866666666667,"['PlnCurv', 'TPI', 'TWI']",3
12,0.2534182115968937,0.045472228765356205,0.037014999999999985,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI', 'NDVI']",5
13,0.2507354310183576,0.04555385586802114,0.034261,"['PlnCurv', 'TWI']",2
14,0.2506754445482504,0.045555679362975394,0.034307000000000004,"['DEM_QGIS', 'PlnCurv', 'TWI']",3
15,0.24925398296878365,0.045598868236442484,0.037690999999999995,"['ProfCurv', 'TWI', 'Texture']",3
16,0.2409711016933428,0.04584972136108233,0.034251666666666666,"['ProfCurv', 'PlnCurv', 'TWI']",3
17,0.23684054594973325,0.04597430678590426,0.039351999999999984,"['DEM_QGIS', 'TPI', 'TWI']",3
18,0.234948864326466,0.046031250930451836,0.03380733333333334,"['PlnCurv', 'TWI']",2
19,0.2323652120276638,0.04610891143079972,0.038063666666666676,"['ProfCurv', 'TWI', 'Texture']",3
20,0.22266262715616947,0.04639939515889309,0.03680933333333333,"['DEM_QGIS', 'PlnCurv']",2
21,0.22206550815078285,0.04641721280348965,0.03738866666666667,"['ProfCurv', 'TPI', 'TWI']",3
22,0.21968793066356151,0.04648809044619205,0.038703666666666664,"['TPI', 'TWI']",2
23,0.21952352671852948,0.04649298747601024,0.03471866666666666,"['ProfCurv', 'PlnCurv', 'TWI']",3
24,0.21831017635498262,0.046529113084653184,0.034328000000000004,"['PlnCurv', 'TWI']",2
25,0.21096079470318263,0.046747332758137104,0.038402666666666654,"['ProfCurv', 'TWI', 'NDVI']",3
26,0.21020530714812646,0.046769707171297185,0.03449833333333332,['TWI'],1
27,0.20677999160524796,0.046871016844101006,0.03455500000000001,['PlnCurv'],1
28,0.20646219698781865,0.046880405075041744,0.03752966666666666,"['ProfCurv', 'TWI']",2
29,0.2058971950796924,0.04689709161794815,0.03661833333333334,"['ProfCurv', 'PlnCurv', 'TPI', 'TWI']",4
30,0.20545693537395016,0.04691008995941064,0.03646166666666666,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI', 'NDVI']",5
31,0.20095240657077396,0.04704287647100957,0.038122,"['DEM_QGIS', 'PlnCurv', 'TWI']",3
32,0.20084800755026178,0.04704594954816927,0.03727400000000001,"['DEM_QGIS', 'ProfCurv', 'TWI', 'Texture']",4
33,0.20061144203684544,0.04705291231983179,0.037843,"['ProfCurv', 'PlnCurv', 'TWI', 'Texture']",4
34,0.19954979577283605,0.047084146801232366,0.03632800000000001,"['ProfCurv', 'PlnCurv', 'TWI']",3
35,0.1941040413659676,0.04724404061184154,0.037930000000000005,"['DEM_QGIS', 'PlnCurv', 'TWI']",3
36,0.19026883726668076,0.04735632277390916,0.036338666666666665,"['PlnCurv', 'TPI', 'TWI']",3
