,R2 (Validation),RMSE,MAE,Input Parameters,Class Quantity
0,0.41514543774707624,0.04024681210895677,0.030121098063909668,"['DEM_QGIS', 'PlnCurv', 'TWI']",3
1,0.38899921435553675,0.04113660338933058,0.030894112630352282,"['DEM_QGIS', 'TWI']",2
2,0.37441617684578554,0.04162462176176647,0.031757169592795655,"['DEM_QGIS', 'PlnCurv', 'TWI']",3
3,0.373942962948673,0.0416403619593345,0.032193636097553456,"['DEM_QGIS', 'PlnCurv', 'TWI']",3
4,0.3301626552514608,0.04307172085079426,0.032526129620154325,"['DEM_QGIS', 'PlnCurv']",2
5,0.31473781438231985,0.04356482048062871,0.03460287594640156,"['DEM_QGIS', 'TWI']",2
6,0.3114090370177509,0.04367050404665143,0.03442034967775561,"['DEM_QGIS', 'TWI']",2
7,0.2934787814889862,0.04423541946532068,0.03481639599933957,"['DEM_QGIS', 'TWI']",2
8,0.2924152643723946,0.044268700443823965,0.03316242097482751,['PlnCurv'],1
9,0.28932521533101463,0.04436525667889698,0.03337808640720037,"['DEM_QGIS', 'ProfCurv']",2
10,0.2890296521728968,0.04437448127260303,0.03605853513299408,"['DEM_QGIS', 'TWI']",2
11,0.2851694533206688,0.04449478336503328,0.03535209798451687,['TWI'],1
12,0.2842218161729807,0.04452426653747386,0.03391833404517928,"['PlnCurv', 'TWI']",2
13,0.2717457343600366,0.04491062135996475,0.03238183697866704,"['PlnCurv', 'TWI']",2
14,0.26855834956265034,0.04500879527415339,0.035522828985547504,"['PlnCurv', 'TWI']",2
15,0.2684883901830938,0.04501094767557979,0.03437744402467282,"['DEM_QGIS', 'PlnCurv']",2
16,0.26565416199584013,0.0450980604196383,0.034271956976054826,['TWI'],1
17,0.2612115705794087,0.045234270186086806,0.03267295954096159,"['DEM_QGIS', 'PlnCurv', 'TWI']",3
18,0.26032995961540917,0.0452612516174007,0.036707222617268644,"['DEM_QGIS', 'ProfCurv', 'PlnCurv']",3
19,0.25737611767225854,0.04535153604561133,0.033727730616006424,"['PlnCurv', 'TWI']",2
20,0.2557074825998189,0.04540245866178476,0.03466082894769901,['ProfCurv'],1
21,0.2553410331097903,0.04541363414726946,0.03489384707674454,"['ProfCurv', 'PlnCurv']",2
22,0.25250077968189877,0.04550015930579539,0.03393792547490487,"['PlnCurv', 'TWI']",2
23,0.2511996257015561,0.0455397426063465,0.035597890381385465,"['DEM_QGIS', 'PlnCurv', 'TWI']",3
24,0.24420851546230693,0.04575183764814303,0.03617292247548514,"['DEM_QGIS', 'TWI']",2
25,0.23701929993852167,0.04596892221524798,0.03418360631340748,"['PlnCurv', 'TWI']",2
26,0.23668665080419482,0.04597894203345523,0.03749931771279079,"['DEM_QGIS', 'ProfCurv', 'PlnCurv']",3
27,0.23255036272284757,0.04610335044530208,0.03591564491638962,['TWI'],1
28,0.23053985406712463,0.0461637000458571,0.03704622596762575,"['DEM_QGIS', 'TWI']",2
29,0.22985096999762022,0.0461843601951106,0.035910644005523774,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI', 'NDVI']",5
30,0.2295730678516864,0.04619269207289522,0.03531319002881541,"['DEM_QGIS', 'ProfCurv', 'PlnCurv']",3
31,0.22675987511443885,0.046276950897628163,0.035343307173955264,"['DEM_QGIS', 'TWI', 'Texture']",3
32,0.22513794086786854,0.04632546031284107,0.036821141246602164,"['ProfCurv', 'PlnCurv', 'TWI']",3
33,0.22422323822419798,0.04635279519300577,0.03745843404707776,"['ProfCurv', 'TWI']",2
34,0.22290101663191864,0.04639227985989637,0.03763921712534629,"['ProfCurv', 'TWI']",2
35,0.22288735190286268,0.04639268774561063,0.03522004941777033,"['TWI', 'Texture']",2
36,0.22252418433518395,0.046403526812275595,0.035739209805134134,"['DEM_QGIS', 'ProfCurv']",2
37,0.22208532026401184,0.04641662173255714,0.0368440660222024,"['DEM_QGIS', 'ProfCurv', 'TWI', 'Texture']",4
38,0.22089303658003845,0.046452178711561876,0.036915848115803694,"['DEM_QGIS', 'ProfCurv']",2
39,0.22042698770027214,0.04646607009639048,0.033798113202587556,"['DEM_QGIS', 'PlnCurv', 'TWI', 'Texture']",4
40,0.21922215265619305,0.04650196303684733,0.03598318626617306,['TWI'],1
41,0.21691144503412163,0.046570723348758065,0.03433378530464185,"['DEM_QGIS', 'ProfCurv', 'PlnCurv']",3
42,0.21672574890623608,0.04657624474881105,0.03649816218917148,"['DEM_QGIS', 'ProfCurv', 'TWI']",3
43,0.21642146596376177,0.04658529073790448,0.03565385176664102,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI']",4
44,0.21627878482736873,0.04658953188246186,0.036602915979321214,"['ProfCurv', 'PlnCurv']",2
45,0.214653888778515,0.04663780411653869,0.03504161920270131,"['PlnCurv', 'TWI']",2
46,0.21444743741029415,0.04664393377430143,0.035859181224656665,['ProfCurv'],1
47,0.21383121545101258,0.04666222496385131,0.0361276267291822,"['ProfCurv', 'PlnCurv', 'TWI']",3
48,0.21203429409142116,0.04671552171937156,0.03507378897631548,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI']",4
49,0.21194984495262315,0.046718024988137895,0.03654395321538857,"['DEM_QGIS', 'ProfCurv', 'TWI', 'Texture']",4
50,0.21168086653382212,0.04672599723985308,0.036109418804435855,"['DEM_QGIS', 'ProfCurv', 'TWI']",3
51,0.21074405968641186,0.046753752647175385,0.035700411340152324,['PlnCurv'],1
52,0.2097713162196171,0.046782555346406636,0.03533418526330784,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI']",4
53,0.2093256637577029,0.04679574508678608,0.03635158423964073,"['DEM_QGIS', 'TPI', 'TWI']",3
54,0.2092130928798046,0.046799076199469505,0.03645401282993629,['ProfCurv'],1
55,0.2087036102184433,0.04681414946289344,0.03759666702013014,['TWI'],1
56,0.20833182730119804,0.046825145757962594,0.03502312079449713,"['ProfCurv', 'PlnCurv', 'TWI']",3
57,0.20754225216100308,0.04684849061275122,0.03722556109901907,['ProfCurv'],1
58,0.20569544355098524,0.046903048629425306,0.037408730023268465,"['DEM_QGIS', 'TWI']",2
59,0.20543914147652576,0.04691061523531622,0.03644986844356798,"['DEM_QGIS', 'ProfCurv', 'TWI', 'Texture']",4
60,0.20503058238273586,0.046922674283495974,0.03479157234076265,"['DEM_QGIS', 'PlnCurv']",2
61,0.20471599605514423,0.04693195751591471,0.036449312612719796,['TWI'],1
62,0.2033584111368988,0.046971997897634545,0.03590134107692225,"['DEM_QGIS', 'ProfCurv', 'TWI', 'Texture']",4
