,R2 (Validation),RMSE,MAE,Input Parameters,Class Quantity
0,0.26291427976671555,0.04518211368657515,0.03493354158227556,"['ProfCurv', 'TWI']",2
1,0.2573435932279493,0.04535252915759812,0.03589833426192466,"['ProfCurv', 'TWI']",3
2,0.21609077206994642,0.046595119903373214,0.03709530620889971,"['ProfCurv', 'TWI']",4
3,0.21137099479636434,0.04673517984291302,0.03430882417588914,"['ProfCurv', 'PlnCurv', 'TWI']",4
4,0.2001986355675488,0.047065059879012806,0.03548298543871324,"['DEM_QGIS', 'PlnCurv', 'TWI', 'Texture']",5
5,0.18261741033439483,0.047579539752455456,0.0384826419324066,"['DEM_QGIS', 'TPI', 'TWI']",3
6,0.18203721488206548,0.04759642323880879,0.034938814792535154,"['DEM_QGIS', 'PlnCurv', 'TWI']",3
7,0.1545418058696041,0.048389776257347146,0.038903333359248525,['TWI'],4
8,0.14933112243691837,0.04853866386642447,0.03601322210431035,"['DEM_QGIS', 'PlnCurv']",3
9,0.10252907939274325,0.049856035174563884,0.04038824754374992,"['DEM_QGIS', 'PlnCurv', 'TWI']",4
10,0.09860791588952189,0.0499648301183075,0.04261884789033097,"['ProfCurv', 'NDVI']",6
11,0.09454666113457388,0.0500772627961528,0.04343173351317385,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI']",3
12,0.09027461345829657,0.05019525932793425,0.03802805024934815,"['DEM_QGIS', 'ProfCurv', 'TWI']",4
13,0.08447460661725659,0.0503550164873911,0.038860199260233166,"['DEM_QGIS', 'TWI']",6
14,0.07937053934788918,0.05049518636814629,0.03731443815883666,"['ProfCurv', 'PlnCurv']",3
15,0.07147407233791003,0.050711278850752994,0.03705548717441775,"['PlnCurv', 'TWI']",5
16,0.07103941697287319,0.05072314677486642,0.037873222474943,"['PlnCurv', 'TWI']",2
17,0.058298592714135844,0.05106979974849459,0.04181686704564767,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI']",3
18,0.0548713449793915,0.05116264759408849,0.03695161524572619,['PlnCurv'],2
19,0.05075071867795011,0.051274057221303765,0.038292294092885606,['TWI'],3
20,0.050209951942090325,0.0512886600012672,0.038297118579683216,['TWI'],2
21,0.04844542992870393,0.05133627998635405,0.04216053265559719,"['DEM_QGIS', 'ProfCurv', 'TWI']",3
22,0.04803533134398219,0.051347341184830086,0.03836250090255923,"['DEM_QGIS', 'PlnCurv']",4
23,0.04774002516380216,0.051355304721680387,0.04280976750997393,['NDVI'],4
24,0.040760994996104416,0.05154315044476061,0.04546197043879987,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'TWI']",3
25,0.03901677184898078,0.05158999066094808,0.03694130346034206,"['DEM_QGIS', 'PlnCurv']",2
