,R2 (Validation),RMSE,MAE,Input Parameters,Class Quantity
0,0.23647680134986937,0.045985261844871755,0.03290008430786723,"['ProfCurv', 'PlnCurv']",2
1,0.22905979338925175,0.04620807677751309,0.03266988774642303,['PlnCurv'],2
2,0.1525720023143199,0.04844611428732224,0.03762022722638633,"['PlnCurv', 'TWI', 'Texture', 'NDVI']",1
3,0.15225682688122055,0.048455122489579026,0.03762541291321485,"['ProfCurv', 'PlnCurv', 'TWI']",1
4,0.15218644199524456,0.048457133969937755,0.037166513920827024,['ProfCurv'],1
5,0.13442564849001926,0.04896206597216511,0.036606914699104334,"['PlnCurv', 'TWI']",1
6,0.130016083080705,0.04908662324402359,0.039579541637288766,"['PlnCurv', 'TPI', 'TWI', 'Texture', 'NDVI']",1
7,0.10892012363549108,0.0496782013269471,0.040786119378162,"['ProfCurv', 'TWI']",2
8,0.10472457844707705,0.049795015981423336,0.03958100713919675,"['PlnCurv', 'TPI', 'TWI']",1
9,0.08970641205395669,0.050210932499860146,0.040848130784143524,"['ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'NDVI']",1
10,0.07897737626666279,0.05050596742870147,0.041405519635828204,"['ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'Texture', 'NDVI']",1
11,0.07678002021442354,0.05056617956464958,0.041620892890340114,"['PlnCurv', 'TPI', 'TWI', 'NDVI']",1
12,0.06570010125500758,0.05086870669493571,0.042332898217167,"['ProfCurv', 'PlnCurv', 'TPI', 'TWI']",1
13,0.04802420514252759,0.051347641248063375,0.04290527798848235,"['ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'Texture']",1
14,0.04757953184532404,0.05135963223530069,0.04346656499560923,"['TWI', 'NDVI']",1
15,0.04715620176021573,0.05137104508434131,0.04212754449528745,"['PlnCurv', 'TWI', 'NDVI']",1
16,0.03889883923881354,0.05159315614574932,0.03911681827843254,"['DEM_QGIS', 'Texture']",2
17,0.03461059880857331,0.05170812719652744,0.03990389558438085,['TWI'],2
18,0.02861360267716906,0.0518684839155276,0.0432457132328646,"['PlnCurv', 'TPI', 'Texture', 'NDVI']",1
19,0.021941932211144044,0.05204630052964541,0.04089730774761956,"['ProfCurv', 'PlnCurv', 'TPI']",2
20,0.0074257054568649394,0.052431110602274913,0.04107572957998782,"['PlnCurv', 'NDVI']",1
21,0.004157392118437353,0.05251736130801106,0.04230898536190547,"['PlnCurv', 'TPI', 'TWI', 'Texture']",1
22,-0.008209865993523913,0.05284245870729653,0.04296980041853515,"['ProfCurv', 'PlnCurv', 'TPI', 'Texture', 'NDVI']",1
