,R2 (Validation),RMSE,MAE,Input Parameters,Class Quantity
0,0.21952352671852948,0.04649298747601024,0.03471866666666666,"['ProfCurv', 'PlnCurv', 'TWI']",1
1,0.21831017635498262,0.046529113084653184,0.034328000000000004,"['PlnCurv', 'TWI']",1
2,0.19987405585368445,0.0470746090088206,0.03404600000000001,"['ProfCurv', 'PlnCurv']",2
3,0.19026883726668076,0.04735632277390916,0.036338666666666665,"['PlnCurv', 'TPI', 'TWI']",1
4,0.18931327739840875,0.04738425701995689,0.034483333333333345,['PlnCurv'],2
5,0.17668156158433113,0.04775198902198269,0.03650833333333334,"['ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'Texture']",1
6,0.17573774273445242,0.047779351653663586,0.03635733333333335,"['ProfCurv', 'PlnCurv', 'TPI', 'TWI']",1
7,0.1605918659166552,0.04821632789372864,0.037316666666666665,"['TPI', 'TWI']",1
8,0.1603820183811966,0.048222354428902235,0.038582666666666675,"['ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'NDVI']",1
9,0.15720327144585777,0.04831355176805412,0.038560666666666674,"['PlnCurv', 'TPI', 'TWI', 'NDVI']",1
10,0.15106574936199402,0.048489150218259024,0.03865666666666666,"['ProfCurv', 'TPI', 'TWI']",1
11,0.15077966744947446,0.04849731969684282,0.03646600000000001,"['ProfCurv', 'PlnCurv', 'TWI', 'Texture']",1
12,0.14997648326089463,0.04852024841925963,0.03802733333333332,"['ProfCurv', 'TPI']",1
13,0.14874916691865936,0.04855526404692561,0.03893333333333334,"['PlnCurv', 'TPI', 'TWI', 'Texture', 'NDVI']",1
14,0.14530761871377762,0.048653317826799394,0.03759833333333333,"['PlnCurv', 'TPI', 'TWI', 'Texture']",1
15,0.14291314179859305,0.04872142289474815,0.03851133333333333,"['ProfCurv', 'TWI']",2
16,0.14232677288986573,0.048738086225137006,0.039556666666666684,"['ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'Texture', 'NDVI']",1
17,0.1417463912345549,0.0487545738025333,0.03708466666666667,"['PlnCurv', 'TWI', 'NDVI']",1
18,0.13112033871871176,0.04905546094869447,0.036781333333333346,"['ProfCurv', 'PlnCurv', 'TPI', 'Texture']",2
19,0.1301267234440746,0.049083501844645654,0.04126766666666667,"['ProfCurv', 'TPI', 'TWI', 'NDVI']",1
20,0.1300210526738087,0.049086483045516494,0.03830600000000001,"['ProfCurv', 'PlnCurv', 'TWI', 'Texture', 'NDVI']",1
21,0.12539473838613135,0.04921682435915589,0.041246666666666675,"['ProfCurv', 'TPI', 'TWI', 'Texture', 'NDVI']",1
22,0.12437967828141294,0.04924537641015426,0.037618,['ProfCurv'],1
23,0.12188742186336399,0.04931540955928481,0.03873833333333334,"['ProfCurv', 'PlnCurv', 'TWI', 'NDVI']",1
24,0.12126756782372783,0.04933281220445476,0.03860133333333334,['TWI'],2
25,0.11213640699602745,0.04958846548229629,0.03959966666666668,"['ProfCurv', 'PlnCurv', 'TPI', 'NDVI']",1
26,0.1112948673162818,0.04961196052028852,0.039502,"['ProfCurv', 'PlnCurv', 'TPI', 'Texture', 'NDVI']",1
27,0.11012191125533644,0.04964468985814203,0.038181999999999994,"['ProfCurv', 'PlnCurv', 'TPI']",2
28,0.10977542965433595,0.049654353708634885,0.03977766666666667,"['ProfCurv', 'TPI', 'TWI', 'Texture']",1
29,0.10619546613188979,0.04975409394657333,0.04115300000000001,"['TPI', 'TWI', 'Texture', 'NDVI']",1
30,0.10424846620259787,0.04980825484908212,0.04002966666666668,"['PlnCurv', 'TPI', 'Texture', 'NDVI']",1
31,0.1032480813679133,0.04983606028213351,0.038149666666666665,"['PlnCurv', 'TWI', 'Texture', 'NDVI']",1
32,0.09750034376358674,0.04999551746573554,0.041717666666666674,"['ProfCurv', 'TWI', 'NDVI']",1
33,0.08427327093936454,0.05036055303729519,0.04248600000000001,"['ProfCurv', 'TPI', 'NDVI']",1
34,0.08422972975819176,0.05036175030053397,0.04171200000000001,"['ProfCurv', 'TWI', 'Texture', 'NDVI']",1
35,0.0709702894985863,0.05072503399046011,0.03851233333333334,"['ProfCurv', 'PlnCurv', 'NDVI']",1
36,0.06585464522143536,0.050864499385895635,0.039068666666666675,"['PlnCurv', 'NDVI']",1
37,0.06452471512253877,0.0509006940576998,0.04284233333333334,"['ProfCurv', 'TPI', 'Texture', 'NDVI']",1
38,0.062141271539132736,0.05096549628043576,0.039221000000000006,"['ProfCurv', 'PlnCurv', 'Texture', 'NDVI']",1
39,0.047110914531496184,0.051372265863985404,0.04159433333333333,"['TWI', 'NDVI']",1
40,0.029601251289426922,0.05184210879627143,0.037173333333333336,"['PlnCurv', 'TWI', 'Texture']",3
41,0.027610870652117758,0.05189524812328945,0.041047999999999994,"['ProfCurv', 'TWI', 'Texture']",3
42,0.024966650970385973,0.05196575964570859,0.04068099999999999,"['DEM_QGIS', 'ProfCurv', 'PlnCurv']",2
43,0.02396021228592482,0.05199257250372938,0.03975333333333335,"['DEM_QGIS', 'Texture']",2
44,0.020418883477934413,0.052086808460065546,0.03884833333333335,"['PlnCurv', 'Texture']",2
45,0.010221298298031534,0.052357222233422575,0.043174000000000004,"['ProfCurv', 'NDVI']",1
46,-0.0002799117197052059,0.05263423543664331,0.041562999999999996,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'Texture', 'NDVI']",1
47,-0.0022760790189877422,0.052686727930286205,0.039617,"['DEM_QGIS', 'TPI', 'Texture']",2
48,-0.009183653201464415,0.05286797169469537,0.04212266666666667,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'NDVI']",1
49,-0.00982465198638205,0.05288475898908241,0.042588666666666664,"['DEM_QGIS', 'PlnCurv', 'TPI', 'TWI', 'Texture', 'NDVI']",1
50,-0.010283800184845315,0.05289678047333736,0.040527000000000014,['Texture'],2
51,-0.0119995944041007,0.05294167948475631,0.042391333333333336,['NDVI'],1
52,-0.018587648882731234,0.053113723462020625,0.04147833333333334,"['TPI', 'TWI', 'Texture']",3
53,-0.033279749340931586,0.05349540800646143,0.043383000000000005,"['DEM_QGIS', 'PlnCurv', 'TPI', 'TWI', 'NDVI']",1
54,-0.03521435512608906,0.05354546421292635,0.04251733333333334,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'Texture', 'NDVI']",1
55,-0.037580258191277416,0.05360661632050034,0.04227366666666667,"['TWI', 'Texture']",3
56,-0.04831247733943522,0.05388314331340862,0.04277933333333332,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'NDVI']",1
57,-0.0484715399354998,0.05388723105811906,0.04540733333333334,"['TWI', 'Texture', 'NDVI']",3
58,-0.04960531647562849,0.05391635896872529,0.04206733333333333,"['DEM_QGIS', 'ProfCurv', 'TPI', 'TWI', 'Texture', 'NDVI']",1
59,-0.05063051527428586,0.0539426838618753,0.04278199999999999,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'Texture']",1
60,-0.056083048067226304,0.05408247783606894,0.043311333333333334,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI', 'Texture', 'NDVI']",1
61,-0.059517066871671576,0.05417033528089378,0.04178966666666667,"['PlnCurv', 'TPI', 'Texture']",2
62,-0.06331382561482513,0.05426730765387204,0.042525333333333325,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'Texture']",1
63,-0.06433944806261271,0.05429347319071705,0.04405866666666667,"['TPI', 'TWI', 'NDVI']",2
64,-0.06478212288933904,0.05430476275408794,0.04273333333333333,"['DEM_QGIS', 'ProfCurv', 'TPI', 'TWI', 'NDVI']",1
65,-0.06677871704721405,0.054355652879898346,0.042594666666666677,"['PlnCurv', 'Texture', 'NDVI']",2
66,-0.0703474394251451,0.054446495652970064,0.044452,"['DEM_QGIS', 'PlnCurv', 'TPI', 'TWI']",1
67,-0.07103769785211678,0.054464048876300034,0.043197,"['DEM_QGIS', 'ProfCurv', 'TPI', 'Texture']",1
