,R2 (Validation),RMSE,MAE,Input Parameters,Class Quantity
0,0.20569544355098524,0.046903048629425306,0.037408730023268465,"['DEM_QGIS', 'TWI']",1
1,0.1810453787800128,0.04762527146377342,0.034297439014611006,"['PlnCurv', 'TWI']",1
2,0.17461572563902228,0.04781186012870379,0.039093782072035226,"['ProfCurv', 'TWI']",2
3,0.17261965575747362,0.04786963817661251,0.035930655801382626,"['ProfCurv', 'PlnCurv', 'TWI']",1
4,0.16593351764611808,0.04806266850369715,0.03884090055840493,"['DEM_QGIS', 'ProfCurv', 'TWI']",2
5,0.1526803197285631,0.04844301802100864,0.038410126512597495,"['DEM_QGIS', 'TWI', 'Texture']",3
6,0.1517132558474158,0.04847065465847036,0.03596118189484554,"['DEM_QGIS', 'PlnCurv', 'TWI']",1
7,0.1444519626371077,0.0486776658225289,0.039446650552496895,['TWI'],2
8,0.11853006992026505,0.04940959522172497,0.03606809517039881,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI']",1
9,0.10529497016447775,0.04977915092505686,0.03904395659057404,"['ProfCurv', 'TWI', 'Texture']",3
10,0.10439553749231456,0.04980416573245158,0.03539745955932335,"['PlnCurv', 'TWI', 'Texture']",3
11,0.10361232541089815,0.04982593801120099,0.038217146619497364,"['DEM_QGIS', 'TWI', 'Texture', 'NDVI']",2
12,0.09754062995924939,0.049994401591805626,0.03619526851881357,"['DEM_QGIS', 'PlnCurv', 'TWI', 'Texture']",1
13,0.09601241400681237,0.050036713704258266,0.03814985766566413,"['DEM_QGIS', 'ProfCurv', 'TWI', 'Texture']",1
14,0.07179427673618244,0.050702534143570455,0.035211394721177236,"['ProfCurv', 'PlnCurv', 'TWI', 'Texture']",1
15,0.07050102755924126,0.05073784322707035,0.03999279729738481,"['TWI', 'Texture', 'NDVI']",3
16,0.0655770187729775,0.050872057246774446,0.03792407050042248,"['DEM_QGIS', 'ProfCurv']",1
17,0.06021657192853602,0.05101776587713221,0.03976651624808912,"['PlnCurv', 'TWI', 'NDVI']",1
18,0.05833189713814835,0.05106889666749124,0.03586227806142439,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI', 'Texture']",1
19,0.057723696023808,0.051085386100514704,0.039170307364754166,['DEM_QGIS'],2
20,0.055484545419032694,0.051146047712059474,0.04153161228897728,"['TWI', 'NDVI']",1
21,0.05277844961725475,0.051219263618981,0.03988241616255803,"['ProfCurv', 'PlnCurv', 'TWI', 'NDVI']",1
22,0.05238565199272016,0.05122988242287515,0.03553465667027046,"['ProfCurv', 'PlnCurv']",2
23,0.0508442439896305,0.051271531256627874,0.0392967401244755,"['PlnCurv', 'TWI', 'Texture', 'NDVI']",1
24,0.04702154970019867,0.05137467473103554,0.03884618304269142,"['TWI', 'Texture']",3
25,0.041117887342907444,0.05153356103733447,0.04071930832545241,"['ProfCurv', 'TWI', 'Texture', 'NDVI']",1
26,0.03641467307473323,0.0516597897463359,0.04027803021554669,"['TPI', 'TWI']",1
27,0.0315461885226439,0.05179013004999159,0.03649263066565881,"['DEM_QGIS', 'ProfCurv', 'PlnCurv']",2
28,0.03001740546403664,0.05183099139553836,0.04003685549727764,"['DEM_QGIS', 'TPI', 'TWI']",1
29,0.028082811258557383,0.05188265314123249,0.039361243054705376,"['DEM_QGIS', 'PlnCurv', 'TWI', 'Texture', 'NDVI']",1
30,0.027047562931448388,0.05191027747758238,0.0421309097710166,"['ProfCurv', 'TWI', 'NDVI']",1
31,0.026280947588482206,0.051930724201293244,0.04018288291735882,['ProfCurv'],1
32,0.01991036242488875,0.05210032638196768,0.041749528192526225,"['DEM_QGIS', 'TWI', 'NDVI']",1
33,0.017996689712741487,0.05215116578879337,0.0389673113923651,"['TPI', 'TWI', 'Texture']",3
34,0.01661602765008463,0.05218781426272488,0.04016097079592652,"['ProfCurv', 'PlnCurv', 'TWI', 'Texture', 'NDVI']",1
35,0.012196925208213805,0.05230494286781026,0.03915726671208054,"['PlnCurv', 'TPI', 'TWI']",1
36,0.010752517154646202,0.05234317016474028,0.03738030904514528,['PlnCurv'],2
37,0.008087683294339731,0.05241362373891007,0.039964960092451964,"['ProfCurv', 'TPI', 'TWI']",1
