,R2 (Validation),RMSE,MAE,Input Parameters,Class Quantity
0,0.07103941697287319,0.05072314677486642,0.037873222474943,"['PlnCurv', 'TWI']",2
1,0.05018524788154333,0.051289327006531056,0.038371633161108365,['TWI'],3
2,-0.006237509436918254,0.05279074566784996,0.039448385869824,"['PlnCurv', 'TWI', 'NDVI']",2
3,-0.034636567574386934,0.05353051937537061,0.0393024006103917,['PlnCurv'],3
4,-0.0628407219903393,0.05425523364722907,0.04090997573457453,"['ProfCurv', 'PlnCurv', 'NDVI']",1
5,-0.07831856005770743,0.05464885730693575,0.04004991050942146,"['DEM_QGIS', 'ProfCurv', 'PlnCurv']",2
6,-0.08834622966719285,0.054902368923010834,0.040117076265121766,['DEM_QGIS'],3
7,-0.09019884178275706,0.0549490771962187,0.04317729773852891,"['DEM_QGIS', 'NDVI']",2
8,-0.0941621855649244,0.05504886839993439,0.04052673734118532,"['PlnCurv', 'NDVI']",2
9,-0.10316873915258218,0.05527497037853347,0.0407618847834083,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'NDVI']",1
10,-0.10545940035572321,0.055332328136295746,0.042737077905174746,"['DEM_QGIS', 'ProfCurv', 'NDVI']",1
11,-0.10576026678567096,0.05533985736235918,0.04252684091048623,"['DEM_QGIS', 'PlnCurv', 'NDVI']",1
12,-0.12762397810960602,0.055884284682481515,0.04793365424051602,['NDVI'],4
13,-0.14677919117951554,0.05635694556264468,0.04270150648770742,"['DEM_QGIS', 'TWI']",2
14,-0.15407801814705602,0.05653600669559938,0.04249990300750337,"['DEM_QGIS', 'PlnCurv', 'TWI']",1
15,-0.18122501464363006,0.057197080653161966,0.044303501086789966,"['DEM_QGIS', 'ProfCurv', 'Texture']",2
16,-0.19327062587015487,0.05748797621700696,0.04200657761590341,"['TWI', 'NDVI']",2
17,-0.19451390626504317,0.057517917063883976,0.04367444059237323,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI', 'NDVI']",1
18,-0.1958653931608869,0.05755044608498685,0.04356004417800279,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI', 'Texture', 'NDVI']",1
19,-0.19616466850031422,0.057557646875285945,0.04531196616904365,"['DEM_QGIS', 'TWI', 'NDVI']",1
20,-0.19848766630563808,0.05761350934897357,0.04448256553269718,"['DEM_QGIS', 'PlnCurv', 'TWI', 'NDVI']",1
21,-0.23116896657984465,0.05839375120873341,0.042013422855343985,"['ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'Texture', 'NDVI']",1
22,-0.23935027880253434,0.05858744780490967,0.04357008087714028,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'Texture', 'NDVI']",1
23,-0.2518075515616225,0.05888115613004448,0.045421306539820266,"['DEM_QGIS', 'ProfCurv', 'TPI', 'TWI', 'Texture', 'NDVI']",1
24,-0.38592467228739813,0.06195514222652366,0.04878848080983892,"['DEM_QGIS', 'PlnCurv', 'Texture', 'NDVI']",2
25,-1.4051965861773303,0.0816174148090921,0.06677359837307978,"['DEM_QGIS', 'TPI', 'Texture', 'NDVI']",2
26,-1.511691995140711,0.08340474059423586,0.07454703485893166,"['DEM_QGIS', 'ProfCurv', 'Texture', 'NDVI']",2
27,-2.6893436580590997,0.10108392591586832,0.0814467690671788,"['ProfCurv', 'PlnCurv', 'TPI', 'Texture', 'NDVI']",2
28,-3.8708304356037537,0.11614728188411345,0.07354255421337805,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'Texture']",2
29,-7.628178967387054,0.15458491716800218,0.13140196898720288,"['ProfCurv', 'TPI', 'TWI', 'Texture', 'NDVI']",2
30,-13.833928678339143,0.20269154753817342,0.13701198973487233,"['ProfCurv', 'PlnCurv', 'Texture', 'NDVI']",2
31,-52.123910135524184,0.3835770033024282,0.1821112270906491,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'Texture']",2
32,-57.9050426676837,0.40390923467950496,0.19496067570934322,"['DEM_QGIS', 'ProfCurv', 'TPI', 'Texture', 'NDVI']",2
33,-118.35388058370754,0.5749443588219029,0.4233254093398952,"['ProfCurv', 'TWI', 'Texture', 'NDVI']",2
34,-476.4797158663613,1.1499660223532806,0.8257185782598301,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'Texture', 'NDVI']",2
35,-1005.0448783913828,1.6692301577768698,0.7514386701190751,"['ProfCurv', 'PlnCurv', 'TWI', 'Texture', 'NDVI']",2
36,-1022.3810496048344,1.6835508197623346,1.1701124319407203,"['ProfCurv', 'Texture', 'NDVI']",2
37,-6190.3553298570705,4.140954036164917,2.928295225133659,"['Texture', 'NDVI']",2
38,-13347.667422942275,6.080320915563433,2.6226387077240787,"['DEM_QGIS', 'Texture', 'NDVI']",2
