,Shape,Input Parameters,Class Quantity,R2 Score,RMSE,MAE
34,"(5, 80)","['DEM_QGIS', 'PlnCurv', 'TWI']",8,0.6864841494837439,0.02946709318276391,0.023374395476163885
455,"(5, 90)","['ProfCurv', 'PlnCurv', 'TWI']",4,0.6829430177744684,0.02963303991762496,0.02291775466493278
38,"(5, 100)","['DEM_QGIS', 'PlnCurv', 'TWI']",8,0.6763597638106511,0.029939104072217473,0.023370684873830268
30,"(5, 60)","['DEM_QGIS', 'PlnCurv', 'TWI']",8,0.6623787744489109,0.03057893925598102,0.023332662306297443
27,"(5, 45)","['DEM_QGIS', 'PlnCurv', 'TWI']",8,0.6468906582020197,0.03127246743026387,0.024178138871076692
35,"(5, 85)","['DEM_QGIS', 'PlnCurv', 'TWI']",8,0.6426084410532571,0.03146151926186039,0.023998770763534245
25,"(5, 35)","['DEM_QGIS', 'PlnCurv', 'TWI']",8,0.639921089831451,0.03157958278091141,0.024309524290193125
450,"(5, 65)","['ProfCurv', 'PlnCurv', 'TWI']",4,0.6368394224298015,0.031714428831861395,0.024847473414986516
489,"(15, 60)","['ProfCurv', 'PlnCurv', 'TWI']",4,0.6357255352507858,0.0317630288879794,0.026542500814237424
457,"(5, 100)","['ProfCurv', 'PlnCurv', 'TWI']",4,0.6352301912814942,0.031784617389614196,0.02462565171882594
24,"(5, 30)","['DEM_QGIS', 'PlnCurv', 'TWI']",8,0.6309024563712381,0.0319726123911532,0.02444146499298831
36,"(5, 90)","['DEM_QGIS', 'PlnCurv', 'TWI']",8,0.6279555245320694,0.0320999957741436,0.02501941728025069
678,"(65, 5)","['ProfCurv', 'PlnCurv', 'TWI']",4,0.6279383272671882,0.032100737655541285,0.025833818696685756
431,"(65,)","['ProfCurv', 'PlnCurv', 'TWI']",4,0.6200084251617882,0.032441022113633006,0.02696303861356695
446,"(5, 45)","['ProfCurv', 'PlnCurv', 'TWI']",4,0.6192983944382231,0.03247131669633721,0.027099603217328506
37,"(5, 95)","['DEM_QGIS', 'PlnCurv', 'TWI']",8,0.6186665606363528,0.03249825113746222,0.024245605080462636
23,"(5, 25)","['DEM_QGIS', 'PlnCurv', 'TWI']",8,0.6169177605627953,0.03257268459641128,0.024658807465246728
454,"(5, 85)","['ProfCurv', 'PlnCurv', 'TWI']",4,0.6156258247313526,0.032627563671638965,0.02547650635476001
490,"(15, 65)","['ProfCurv', 'PlnCurv', 'TWI']",4,0.6140765583033628,0.03269325221020364,0.026303439317963702
449,"(5, 60)","['ProfCurv', 'PlnCurv', 'TWI']",4,0.6138945329270549,0.03270096138169167,0.023819155572006683
876,"(5, 100)","['DEM_QGIS', 'PlnCurv', 'TWI']",9,0.6122359761626492,0.03277112133219779,0.025924627513692077
862,"(5, 30)","['DEM_QGIS', 'PlnCurv', 'TWI']",9,0.6107354043361819,0.03283446905833965,0.02494488053101067
1295,"(5, 100)","['PlnCurv', 'TWI']",9,0.6085027684326854,0.032928495848329305,0.024029805696168492
31,"(5, 65)","['DEM_QGIS', 'PlnCurv', 'TWI']",8,0.6035954727416079,0.03313422737349178,0.025091475454380417
863,"(5, 35)","['DEM_QGIS', 'PlnCurv', 'TWI']",9,0.6031443326724729,0.03315307671294593,0.026309134259428345
26,"(5, 40)","['DEM_QGIS', 'PlnCurv', 'TWI']",8,0.601141032666798,0.03323664860043721,0.025915048052539476
868,"(5, 60)","['DEM_QGIS', 'PlnCurv', 'TWI']",9,0.5990891296638297,0.03332203077690761,0.025646890928604803
1348,"(20, 65)","['PlnCurv', 'TWI']",9,0.596976419354408,0.033409715221193875,0.023420980532028603
481,"(15, 20)","['ProfCurv', 'PlnCurv', 'TWI']",4,0.5957927592370862,0.03345874058338802,0.027905673282859637
29,"(5, 55)","['DEM_QGIS', 'PlnCurv', 'TWI']",8,0.5951834241282601,0.03348395030947174,0.02592389997229046
28,"(5, 50)","['DEM_QGIS', 'PlnCurv', 'TWI']",8,0.5927577533155697,0.033584118804713556,0.02459369614711832
22,"(5, 20)","['DEM_QGIS', 'PlnCurv', 'TWI']",8,0.5887163968023663,0.03375034705556561,0.025628751355531415
1519,"(65, 20)","['PlnCurv', 'TWI']",9,0.5850111467548371,0.03390203446088653,0.02604047991716015
129,"(30, 55)","['DEM_QGIS', 'PlnCurv', 'TWI']",8,0.5840555839195971,0.033941043818231084,0.028279677729044432
860,"(5, 20)","['DEM_QGIS', 'PlnCurv', 'TWI']",9,0.5825207745631937,0.03400360634226112,0.02648135203574701
867,"(5, 55)","['DEM_QGIS', 'PlnCurv', 'TWI']",9,0.5821854208598438,0.034017260849520746,0.02706801350787863
872,"(5, 80)","['DEM_QGIS', 'PlnCurv', 'TWI']",9,0.5805253952321983,0.03408477111456587,0.025794127181868652
21,"(5, 15)","['DEM_QGIS', 'PlnCurv', 'TWI']",8,0.5777674421107457,0.03419663747246365,0.025031291999182526
1458,"(50, 15)","['PlnCurv', 'TWI']",9,0.5771163427678776,0.03422299360115025,0.025489415784284437
