,Shape,Input Parameters,Class Quantity,R2 Score,RMSE,MAE
876,"(5, 100)","['DEM_QGIS', 'PlnCurv', 'TWI']",7,0.7027231555732071,0.028693801288150904,0.022180284657819856
872,"(5, 80)","['DEM_QGIS', 'PlnCurv', 'TWI']",7,0.6996211436265707,0.028843119211974026,0.022081221097865988
868,"(5, 60)","['DEM_QGIS', 'PlnCurv', 'TWI']",7,0.6876172071694155,0.029413797412756425,0.022292367077124287
510,"(20, 65)","['PlnCurv', 'TWI']",7,0.6856948592176961,0.02950416223342749,0.023809286772701957
863,"(5, 35)","['DEM_QGIS', 'PlnCurv', 'TWI']",7,0.6692516040158638,0.030266096926473918,0.023017171783933112
862,"(5, 30)","['DEM_QGIS', 'PlnCurv', 'TWI']",7,0.667401406610393,0.030350632724367336,0.023703193216172175
865,"(5, 45)","['DEM_QGIS', 'PlnCurv', 'TWI']",7,0.6666955742479264,0.03038282033086497,0.024142085911180992
873,"(5, 85)","['DEM_QGIS', 'PlnCurv', 'TWI']",7,0.6663355891140432,0.030399223371405555,0.023402236257433102
874,"(5, 90)","['DEM_QGIS', 'PlnCurv', 'TWI']",7,0.6568586029488559,0.030827911444101845,0.023549086246576437
861,"(5, 25)","['DEM_QGIS', 'PlnCurv', 'TWI']",7,0.6439115138674767,0.03140411151563692,0.025081619818934465
867,"(5, 55)","['DEM_QGIS', 'PlnCurv', 'TWI']",7,0.640974947946674,0.031533336270584196,0.023977146136748683
866,"(5, 50)","['DEM_QGIS', 'PlnCurv', 'TWI']",7,0.6394731396949107,0.031599219701049924,0.023901121237129487
869,"(5, 65)","['DEM_QGIS', 'PlnCurv', 'TWI']",7,0.6332495803510094,0.03187079192426191,0.023189297229036874
875,"(5, 95)","['DEM_QGIS', 'PlnCurv', 'TWI']",7,0.6298524842320643,0.032018056356170776,0.02456653884576036
859,"(5, 15)","['DEM_QGIS', 'PlnCurv', 'TWI']",7,0.6254960174670191,0.032205924124663186,0.02376053774061754
864,"(5, 40)","['DEM_QGIS', 'PlnCurv', 'TWI']",7,0.6235415648072145,0.032289852529540905,0.025075800345686163
860,"(5, 20)","['DEM_QGIS', 'PlnCurv', 'TWI']",7,0.6232981153234498,0.03230029150064462,0.02432268755760939
