,Model,Input Parameters,R2 Score,RMSE,MAE
0,Universal Krigging with External Drift,"['DEM_QGIS', 'TPI', 'TWI', 'NDVI']",0.16940487756168432,0.04687975136162578,0.028192982371896453
1,Universal Krigging with External Drift,"['DEM_QGIS', 'TWI', 'NDVI']",0.158115241595694,0.04719727610559721,0.027741380583456217
2,Universal Krigging with External Drift,"['DEM_QGIS', 'TPI', 'TWI', 'Texture', 'NDVI']",0.15148869568978374,0.04738265889923606,0.02862535900947153
3,Universal Krigging with External Drift,"['DEM_QGIS', 'ProfCurv', 'TPI', 'TWI', 'NDVI']",0.14696049765363361,0.04750892272652172,0.027376206762388507
4,Universal Krigging with External Drift,"['DEM_QGIS', 'ProfCurv', 'TWI', 'NDVI']",0.1404727796557954,0.04768924302032583,0.027236191751515638
5,Universal Krigging with External Drift,"['DEM_QGIS', 'TPI', 'TWI']",0.1393668948059099,0.04771991212382458,0.029298977451514663
6,Universal Krigging with External Drift,"['DEM_QGIS', 'TWI', 'Texture', 'NDVI']",0.1392868583491278,0.04772213098100578,0.028275512219835035
7,Universal Krigging with External Drift,"['DEM_QGIS', 'TPI', 'NDVI']",0.13592330757397508,0.047815285883626275,0.02904307747202096
8,Universal Krigging with External Drift,"['DEM_QGIS', 'TWI']",0.1323575729836648,0.047913842578714186,0.028827484980314642
9,Universal Krigging with External Drift,"['DEM_QGIS', 'ProfCurv', 'TPI', 'TWI', 'Texture', 'NDVI']",0.12915886966780465,0.04800208236836863,0.027927277214351655
10,Universal Krigging with External Drift,"['DEM_QGIS', 'NDVI']",0.12525304370414836,0.04810960945740068,0.02852040254819226
11,Universal Krigging with External Drift,"['DEM_QGIS', 'ProfCurv', 'TWI', 'Texture', 'NDVI']",0.12329490802903198,0.04816342643892617,0.027847825162067002
12,Universal Krigging with External Drift,"['DEM_QGIS', 'TPI', 'TWI', 'Texture']",0.1231511688878355,0.04816737456576965,0.030105775770817234
13,Universal Krigging with External Drift,"['DEM_QGIS', 'ProfCurv', 'TPI', 'NDVI']",0.1210823078393708,0.04822416479606656,0.027995490600724947
14,Universal Krigging with External Drift,"['DEM_QGIS', 'TPI', 'Texture', 'NDVI']",0.1184134527933608,0.04829732622635583,0.029101607147405638
15,Universal Krigging with External Drift,"['DEM_QGIS', 'ProfCurv', 'NDVI']",0.11585374305271434,0.04836739168286861,0.02776461690088915
16,Universal Krigging with External Drift,"['DEM_QGIS', 'TWI', 'Texture']",0.11554513874075478,0.048375832075652686,0.029907505063143304
17,Universal Krigging with External Drift,"['DEM_QGIS', 'ProfCurv', 'TPI', 'TWI']",0.1136488766732946,0.04842766295092597,0.029166672208201662
18,Universal Krigging with External Drift,"['DEM_QGIS', 'ProfCurv', 'TWI']",0.11024192556639179,0.04852064666358456,0.029072520678780626
19,Universal Krigging with External Drift,"['DEM_QGIS', 'TPI']",0.10750600111721165,0.048595187674387225,0.030349766409430146
20,Universal Krigging without External Drift,N/A,-0.03407613228334516,0.002736111157024786,-0.03407613228334494
