,Model,Input Parameters,R2 Score,RMSE,MAE
0,AdaBoostRegressor,"['ProfCurv', 'TPI', 'TWI']",0.25927142438695083,0.04529362652637461,0.03621500123497148
1,AdaBoostRegressor,"['ProfCurv', 'TWI']",0.18346691900948497,0.047554808531291744,0.03650227272727273
2,AdaBoostRegressor,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'Texture', 'NDVI']",0.17814435485030466,0.047709549585078156,0.03445670033670033
3,AdaBoostRegressor,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI']",0.16560191096468568,0.04807222188973684,0.03975543953757914
4,AdaBoostRegressor,"['ProfCurv', 'TWI', 'Texture']",0.1579060960515163,0.04829340276064548,0.036594499759499764
5,DecisionTreeRegressor,['Texture'],-0.08120069576165734,0.05472184145268495,0.04059285714285714
6,DecisionTreeRegressor,"['TWI', 'Texture', 'NDVI']",-0.205937707330063,0.057792300525242986,0.049550000000000004
7,DecisionTreeRegressor,"['TWI', 'NDVI']",-0.20732780603609768,0.057825599867186855,0.04940000000000001
8,DecisionTreeRegressor,['TWI'],-0.23829360870526783,0.05856246664886992,0.04457500000000001
9,DecisionTreeRegressor,"['TPI', 'TWI']",-0.2653915068579711,0.05919976773603087,0.047525000000000005
10,ExtraTreesRegressor,"['ProfCurv', 'TWI']",0.1659760866916099,0.04806144197795153,0.03665850000000002
11,ExtraTreesRegressor,['TWI'],0.06848593337455466,0.05079281164692499,0.03664450000000001
12,ExtraTreesRegressor,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'Texture']",0.06271342212513564,0.050949947890061686,0.039567000000000005
13,ExtraTreesRegressor,"['ProfCurv', 'PlnCurv', 'TPI', 'TWI']",0.05004926365388318,0.051292998401341286,0.03984649999999999
14,ExtraTreesRegressor,"['ProfCurv', 'PlnCurv', 'TWI', 'NDVI']",0.04205542341594193,0.051508361699825006,0.0416865
15,GaussianProcessRegressor,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI', 'Texture', 'NDVI']",-0.024606667807663518,0.05327042162003935,0.04116494643339813
16,GaussianProcessRegressor,['Texture'],-0.08120188792750738,0.054721871621687304,0.040592858301215604
17,GaussianProcessRegressor,"['DEM_QGIS', 'ProfCurv', 'TWI', 'Texture', 'NDVI']",-0.170223816084897,0.056930108494811685,0.04543054718364609
18,GaussianProcessRegressor,"['DEM_QGIS', 'PlnCurv', 'TPI', 'TWI', 'Texture', 'NDVI']",-0.17428415404496178,0.05702878847118357,0.04368516005199584
19,GaussianProcessRegressor,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'Texture', 'NDVI']",-0.17790208975759647,0.05711657293655245,0.04388098287595464
20,GradientBoostingRegressor,"['PlnCurv', 'TPI', 'TWI', 'Texture']",0.10717193336970132,0.049726908741529886,0.0371637667938749
21,GradientBoostingRegressor,"['ProfCurv', 'TPI', 'TWI', 'NDVI']",0.10216049707780783,0.04986627181070905,0.039543659741176775
22,GradientBoostingRegressor,"['PlnCurv', 'TWI', 'NDVI']",0.08631938061884692,0.05030425849200342,0.03971520546417642
23,GradientBoostingRegressor,"['PlnCurv', 'TPI', 'TWI']",0.07748699327201614,0.05054681485535206,0.036260150831768215
24,GradientBoostingRegressor,"['ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'NDVI']",0.07565433289072987,0.05059699798708413,0.04205449807315505
25,KNeighborsRegressor,"['TWI', 'NDVI']",0.1886300757784325,0.04740421922149969,0.03868000000000001
26,KNeighborsRegressor,"['DEM_QGIS', 'TWI', 'Texture']",0.18147233116845018,0.04761285540691715,0.0369
27,KNeighborsRegressor,"['ProfCurv', 'TWI']",0.14349772303637232,0.048704804691118514,0.041450000000000015
28,KNeighborsRegressor,"['ProfCurv', 'TPI']",0.12792717327038772,0.04914551861563778,0.038290000000000005
29,KNeighborsRegressor,"['ProfCurv', 'TWI', 'Texture']",0.11480680787301356,0.04951383645002677,0.036140000000000005
30,MLPRegressor,"['ProfCurv', 'PlnCurv', 'TWI']",0.10719012377308024,0.04972640217303704,0.037090722495560675
31,MLPRegressor,"['ProfCurv', 'TWI']",0.09699790522569773,0.05000943225193347,0.03972025457509272
32,MLPRegressor,"['PlnCurv', 'TWI']",0.08676940389052157,0.050291868563440346,0.03720793098362868
33,MLPRegressor,"['DEM_QGIS', 'PlnCurv']",0.06568129186911542,0.05086921873840257,0.038120361818896054
34,MLPRegressor,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TWI']",0.053184480746072293,0.051208284748970906,0.03640383232603241
35,RandomForestRegressor,"['ProfCurv', 'TPI', 'TWI']",0.13894519851782972,0.048834072275410326,0.03907949999999999
36,RandomForestRegressor,"['ProfCurv', 'PlnCurv', 'TPI']",0.13046601705127547,0.04907392841417936,0.03538399999999999
37,RandomForestRegressor,"['ProfCurv', 'TWI']",0.11813971214124808,0.04942053449731194,0.038347
38,RandomForestRegressor,"['ProfCurv', 'PlnCurv', 'TPI', 'TWI', 'NDVI']",0.10715171302585669,0.0497274718339873,0.03884950000000001
39,RandomForestRegressor,"['PlnCurv', 'TWI', 'NDVI']",0.08692117869538318,0.05028768924896032,0.039803000000000005
40,SVR,['TWI'],0.1404051683878691,0.048792654167380184,0.03709941886357053
41,SVR,"['DEM_QGIS', 'TWI']",0.12490973156948959,0.049230468907139065,0.03565514634837692
42,SVR,"['PlnCurv', 'TPI', 'TWI']",0.11900858780862866,0.04939618206716556,0.03511975010605135
43,SVR,"['PlnCurv', 'TWI']",0.1124454352983637,0.04957983489248015,0.037586178766400795
44,SVR,"['PlnCurv', 'TPI']",0.09353263806159196,0.0501052958756117,0.03498982771259518
